kg1_treated_rep1	kg1_treated_rep2	kg1_treated_rep3	kg1_DMSO_rep1	kg1_DMSO_rep2	kg1_DMSO_rep3	molm14_treated_rep1	molm14_treated_rep2	molm14_treated_rep3	molm14_DMSO_rep1	molm14_DMSO_rep2	molm14_DMSO_rep3	ociaml2_treated_rep1	ociaml2_treated_rep2	ociaml2_treated_rep3	ociaml2_DMSO_rep1	ociaml2_DMSO_rep2	ociaml2_DMSO_rep3	ociaml3_treated_rep1	ociaml3_treated_rep2	ociaml3_treated_rep3	ociaml3_DMSO_rep1	ociaml3_DMSO_rep2	ociaml3_DMSO_rep3	thp1_treated_rep1	thp1_treated_rep2	thp1_treated_rep3	thp1_DMSO_rep1	thp1_DMSO_rep2	thp1_DMSO_rep3
DAC+SB.46.2-x1-0	1.34843219722036	0	0.468034928199707	0	0	0.652136957688956	0	0	0.632662756812035	0	10.3271846798418	0.586843428495325	0	3.32152229499919	0	1.27477584497218	0	0	0	0	0	0	0	2.94627159034932	1.79493397822575	0	2.0452647776619	0.66820316946013	4.48996790868919	3.36949823208624
DAC+SB.47.1-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.319398796615084	0	0	0	0.401915140241554	0	1.14993417089339	0	0	1.47313579517466	0	0	0	0.66820316946013	0	0
DAC+SB.47.2-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.56236309584013	0	0.448733494556438	0	0	0	0	0
DAC+SB.48.1-x1-0	19.7770055592319	23.7807750067436	13.1049779895918	11.6974325246896	28.3290705649455	12.3906021960902	9.46259133290248	10.6395999126728	3.79597654087221	9.15395634604549	10.3271846798418	14.0842422838878	3.02023371708593	3.32152229499919	10.5401602882978	14.65992221718	4.66939149235353	12.1538546010262	8.44021794507263	15.6276622780959	10.9243746234872	10.7933576738991	14.2494523833605	10.8029958312808	18.8468067713704	22.7510158216174	18.9186991933726	20.714298253264	13.4699037260676	11.7932438123019
DAC+SB.50.1-x1-0	3.14634179351417	9.51231000269743	2.80820956919824	2.78510298206896	3.54113382061819	2.28247935191134	2.70359752368642	0	2.53065102724814	3.26927012358767	5.16359233992089	0.586843428495325	4.5303505756289	6.64304458999839	7.66557111876201	7.01126714734698	14.0081744770606	3.90659612175843	5.62681196338175	19.5345778476199	6.32463793991362	5.03690024781957	7.12472619168026	4.41940738552398	3.14113446189506	0	2.0452647776619	6.01382852514117	0	3.36949823208624
DAC+SB.51.1-x1-0	2.69686439444071	0	7.02052392299561	3.34212357848275	0	10.7602598018678	3.37949690460803	5.31979995633642	5.69396481130831	5.23083219774028	0	0	7.04721200653384	0	3.83278555938101	6.37387922486089	0	2.17033117875468	6.02872710362331	0	0	10.0738004956391	0	7.85672424093151	7.62846940745944	2.27510158216174	10.2263238883095	14.0322665586627	22.4498395434459	15.7243250830691
DAC+SB.51.2-x1-0	3.59581919258762	11.8903875033718	0	0.557020596413791	3.54113382061819	0.978205436533434	0	0	0	1.9615620741526	0	1.76053028548597	0	0	0	0	0	0	0	11.720746708572	4.02476959812685	0	3.56236309584013	0	0	0	0	0	0	0
DAC+SB.52.3-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.52.1-x1-0	19.3275281601585	19.0246200053949	14.9771177023906	15.5965766995861	28.3290705649455	14.999150026846	20.2769814276482	10.6395999126728	17.0818944339249	17.6540586673734	0	16.4316159978691	11.0741902959818	6.64304458999839	11.498356678143	14.022534294694	28.0163489541212	12.1538546010262	13.6651147682128	3.90691556952399	15.5241113070607	12.9520292086789	0	10.3119505662226	25.577809189717	11.3755079108087	9.20369149947854	13.3640633892026	13.4699037260676	16.8474911604312
DAC+SB.52.2-x1-0	0.898954798146905	4.75615500134871	6.0844540665962	0	0	2.28247935191134	0	0	4.42863929768424	4.57697817302274	15.4907770197627	0	0	0	2.23579157630559	1.27477584497218	0	0.868132471501874	2.81340598169088	0	2.87483542723346	0	14.2494523833605	10.3119505662226	3.14113446189506	0	0	3.34101584730065	0	3.93108127076728
DAC+SB.53.1-x1-0	5.84320618795488	11.8903875033718	8.42462870759473	6.1272265605517	21.2468029237092	7.49957501342299	8.11079257105927	5.31979995633642	6.32662756812035	4.57697817302274	15.4907770197627	6.45527771344857	4.02697828944791	3.32152229499919	4.47158315261117	7.64865506983307	18.6775659694141	6.51099353626406	8.03830280483108	0	3.44980251268016	7.19557178259938	24.9365416708809	6.87463371081508	12.1158043530238	13.6506094929705	9.20369149947854	12.0276570502823	17.9598716347568	8.98532861889665
DAC+SB.53.2-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.90691556952399	0	0	0	0	0	0	0	0	0	0
DAC+SB.54.1-x1-0	0	0	0	0	0	0	0.675899380921605	0	0	0	0	1.17368685699065	0	0	0	0	0	0	0	0	1.14993417089339	0	0	0	1.79493397822575	0	0	0	0	0
DAC+SB.54.2-x1-0	0	0	0	0	0	0	0	0	0	0	5.16359233992089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.55.1-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.58.2-x1-0	0.449477399073453	0	0	2.78510298206896	10.6234014618546	1.63034239422239	2.70359752368642	0	1.26532551362407	0	10.3271846798418	0	1.00674457236198	0	0	2.54955168994436	0	3.90659612175843	0	3.90691556952399	1.72490125634008	0	14.2494523833605	0.982090530116439	0.448733494556438	0	6.64711052740117	0	0	1.12316607736208
DAC+SB.58.1-x1-0	14.8327541694239	16.6465425047205	15.4451526305903	16.1535972959999	7.08226764123639	14.999150026846	8.11079257105927	10.6395999126728	7.59195308174442	13.0770804943507	0	5.86843428495325	4.5303505756289	6.64304458999839	6.70737472891676	5.7364913023748	9.33878298470707	2.60439741450562	10.4497936462804	0	9.77444045259378	8.63468613911926	0	11.7850863613973	11.6670708584674	15.9257110751322	3.57921336090832	10.6912507113621	17.9598716347568	6.17741342549145
DAC+SB.61.1-x1-0	0	0	0.468034928199707	0	0	0	0.675899380921606	0	0	0	0	0	0	0	0	0	0	0	0	0	0.574967085446693	0	0	0	0.448733494556438	0	0	0	0	0.561583038681041
DAC+SB.62.2-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.62.3-x1-0	0	4.75615500134871	2.34017464099854	0	3.54113382061819	1.95641087306687	2.70359752368642	0	1.8979882704361	4.57697817302274	0	5.86843428495325	0	0	5.11038074584134	1.91216376745827	4.66939149235353	3.4725298860075	3.61723626217398	0	0.574967085446693	3.59778589129969	0	6.38358844575686	1.79493397822575	6.82530474648523	2.55658097207737	1.33640633892026	13.4699037260676	2.24633215472416
DAC+SB.62.1-x1-0	10.3379801786894	47.5615500134871	12.1689081331924	10.0263707354482	21.2468029237092	10.7602598018678	14.1938869993537	26.5989997816821	10.7552668658046	18.9617667168085	15.4907770197627	12.3237119984018	5.03372286180989	13.2860891799968	11.498356678143	9.56081883729133	18.6775659694141	7.81319224351687	23.3110781340101	11.720746708572	11.4993417089339	15.1107007434587	10.6870892875204	16.2044937469212	16.1544058040318	18.200812657294	14.3168534436333	9.35484437244182	0	11.7932438123019
DAC+SB.64.1-x1-0	0	0	0	0	0	1.95641087306687	0	0	0	1.9615620741526	0	0	1.00674457236198	0	0	0	0	0	0	0	5.74967085446693	3.59778589129969	0	0	0	0	0	0	0	0
DAC+SB.64.2-x1-0	0.898954798146905	0	1.40410478459912	0.557020596413791	0	0	1.35179876184321	5.31979995633642	0.632662756812035	0	0	0	0	0	2.23579157630559	0	0	0	1.20574542072466	3.90691556952399	0	0	0	0.982090530116439	5.38480193467725	6.82530474648523	1.02263238883095	4.00921901676078	0	2.24633215472416
DAC+SB.66.1-x1-0	0	0	0	0	10.6234014618546	0	0	21.2791998253457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.66.2-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.2494523833605	0	0	0	0	0	0	0
DAC+SB.66.3-x1-0	0	0	0	0	0	0	0	0	0	0	0	1.17368685699065	0	0	0.958196389845251	0	0	0.868132471501874	3.21532112193243	0	0	0	0	2.4552263252911	0	0	1.53394858324642	0	0	3.93108127076728
DAC+SB.66.4-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.66.5-x1-0	0	0	0	3.34212357848275	0	0	2.70359752368642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.15867153477982	3.56236309584013	0	0	0	0	0	0	0
STRG.19.1-x3-0	13.4843219722036	28.5369300080923	14.9771177023906	8.91232954262066	0	12.7166706749346	11.4902894756673	0	13.2859178930527	9.15395634604549	0	6.45527771344857	6.04046743417187	6.64304458999839	10.8595590849128	11.4729826047496	9.33878298470707	9.54945718652061	8.03830280483107	0	12.0743087943806	10.7933576738991	0	9.32986003610617	23.7828752114912	20.4759142394557	28.1223906928511	24.0553141005647	22.4498395434459	21.3401554698795
DAC+SB.67.8-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.9598716347568	1.68474911604312
DAC+SB.67.3-x1-0	0	0	0	0	0	0	5.40719504737284	0	0	0.653854024717535	5.16359233992089	0	0	0	3.19398796615084	0	0	0	0	0	0	0.719557178259938	0	0	8.07720290201588	0	11.7602724715559	9.35484437244182	0	9.54691165757769
DAC+SB.67.7-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STRG.20.6-x3-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.67.9-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STRG.20.5-x3-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC.10.1-x2-0	0	0	0	0	0	0	0	0	0	0	0	0	0.503372286180989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.67.2-x1-0	3.59581919258762	2.37807750067436	2.80820956919824	3.34212357848275	3.54113382061819	0.652136957688956	0	0	3.16331378406017	0	0	1.76053028548597	2.51686143090495	0	0	2.54955168994436	0	1.73626494300375	0	0	4.02476959812685	0	7.12472619168026	0	0	11.3755079108087	0	0	0	0
DAC+SB.67.6-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.67.4-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49104526505822	0	0	0	0	0	0
DAC+SB.67.1-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STRG.20.2-x3-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.67.5-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STRG.20.1-x3-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66820316946013	0	0.561583038681041
DAC+SB.68.1-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STRG.21.1-x3-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STRG.22.1-x3-0	92.1428668100578	104.635410029672	139.942443531713	114.189222264827	99.1517469773094	118.036789341701	91.2464164244168	106.395999126728	113.246633469354	100.039665781783	149.744177857706	132.626614839943	86.0766609369491	76.3950127849815	68.670741272243	69.4752835509837	79.3796553700101	98.0989692797118	92.0385671153158	85.9521425295277	110.968647491212	81.309961143373	67.6848988209625	101.155324601993	103.208703747981	147.881602840513	122.204570465298	103.57149126632	94.289326082473	97.15386569182
DAC+SB.71.1-x1-0	0	0	0	0	0	0	0	0	0	0	10.3271846798418	0	0	0	0	0	0	0	0	0	0	0	0	0	0.897466989112876	0	0	0	0	0
DAC+SB.71.2-x1-0	22.9233473527461	38.0492400107897	22.465676553586	13.9255149103448	21.2468029237092	19.5641087306687	10.8143900947457	5.31979995633642	13.2859178930527	9.15395634604549	0	11.1500251414112	12.0809348683437	6.64304458999839	10.5401602882978	10.8355946822635	9.33878298470707	11.2857221295244	18.4880964511115	19.5345778476199	16.0990783925074	13.6715863869388	0	26.0253990480856	15.2569388149189	20.4759142394557	17.3847506101261	27.3963299478653	13.4699037260676	18.5322402764743
DAC+SB.70.1-x1-0	5.84320618795488	4.75615500134871	3.74427942559766	6.1272265605517	3.54113382061819	3.58675326728926	3.37949690460803	5.31979995633642	5.69396481130831	5.23083219774028	5.16359233992089	4.6947474279626	1.00674457236198	0	6.06857713568659	7.01126714734698	0	3.4725298860075	7.23447252434797	3.90691556952399	9.19947336714709	7.19557178259938	14.2494523833605	9.32986003610617	8.52593639657232	4.55020316432349	5.62447813857022	13.3640633892026	8.97993581737838	14.039575967026
DAC+SB.72.1-x1-0	0.898954798146905	0	2.34017464099854	1.67106178924137	0	0.652136957688956	0	0	0	0.653854024717535	0	0	0	0	0	0.637387922486089	0	0	0.803830280483108	0	0.574967085446693	0	0	1.47313579517466	0.448733494556438	0	0.511316194415475	0	0	0
DAC+SB.74.3-x1-0	0	130.79426253709	0	0	123.939683721637	0	0	0	0	0	0	0	0	0	113.386572798355	0	0	0	61.0911013167162	0	0	0	0	0	0	0	0	0	0	0
STRG.23.1-x3-0	99.7839825943065	95.1231000269743	72.0773789427549	80.2109658835859	77.9049440536002	69.7786544727183	109.4956997093	0	65.7969267084516	114.424454325569	180.725731897231	110.326564557121	117.28574268017	159.433070159961	146.604047646323	120.466317349871	205.453225663556	105.912161523229	84.4021794507263	101.579804807624	144.891705532567	83.4686326781529	81.934351204323	107.53891304775	152.120654654632	129.680790183219	144.702483019579	128.295008536345	130.209069351987	151.627420443881
DAC+SB.74.1-x1-0	3.14634179351417	0	6.0844540665962	4.45616477131033	3.54113382061819	4.56495870382269	6.08309442829445	0	8.22461583855645	3.26927012358767	5.16359233992089	4.10790399946727	4.02697828944791	0	3.19398796615084	5.7364913023748	9.33878298470707	6.07692730051312	1.20574542072466	7.81383113904797	5.17470376902024	5.75645742607951	3.56236309584013	3.43731685540754	3.5898679564515	13.6506094929705	6.64711052740117	6.01382852514117	0	9.54691165757769
DAC+SB.74.2-x1-0	0.898954798146905	0	0.936069856399415	2.22808238565516	0	0.652136957688956	2.02769814276482	0	1.26532551362407	0.653854024717535	0	0.586843428495325	0	3.32152229499919	0.319398796615084	0	0	0	0	0	0	0.719557178259938	0	0.982090530116439	0.448733494556438	0	0.511316194415475	0.66820316946013	0	0
STRG.24.1-x3-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.75.1-x1-0	0	0	0	0	0	0	0	21.2791998253457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.75.2-x1-0	10.3379801786894	0	4.21231435379737	10.0263707354482	10.6234014618546	9.78205436533434	0	0	1.26532551362407	3.92312414830521	0	0	0	0	0	0	0	0	2.41149084144932	0	0	1.43911435651988	0	0	0	0	0	0	0	0
STRG.25.1-x3-0	0	0	7.95659377939503	0	0	0	5.40719504737284	0	10.7552668658046	7.84624829661042	0	11.7368685699065	1.51011685854297	0	7.02677352553184	2.54955168994436	0	6.07692730051312	0	0	6.32463793991362	0	0	3.43731685540754	8.52593639657232	25.0261174037792	16.3621182212952	19.3778919143438	13.4699037260676	26.3944028180089
DAC+SB.77.1-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.77.2-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.78.1-x1-0	0	0	0.468034928199707	0.557020596413791	0	0	0	0	0.632662756812035	1.30770804943507	0	0.586843428495325	0	3.32152229499919	0	1.27477584497218	0	0.434066235750937	0.803830280483107	0	0	0	0	0	0	0	0	0.66820316946013	0	0
DAC+SB.83.1-x1-0	0.898954798146905	0	2.34017464099854	0.557020596413791	0	2.28247935191134	1.35179876184321	0	0.632662756812035	0.653854024717535	0	1.76053028548597	4.02697828944791	0	2.87458916953575	0.637387922486089	0	1.73626494300375	0.803830280483108	3.90691556952399	2.87483542723347	3.59778589129969	0	4.41940738552398	0.448733494556438	2.27510158216174	3.57921336090832	2.67281267784052	0	1.12316607736208
DAC+SB.84.1-x1-0	17.5296185638646	33.293085009441	15.9131875587901	12.2544531211034	3.54113382061819	10.7602598018678	14.8697863802753	10.6395999126728	20.2452082179851	8.50010232132795	30.9815540395253	7.62896457043922	9.56407343743879	0	4.15218435599609	8.92343091480524	4.66939149235353	5.64286106476218	6.83255738410641	11.720746708572	11.4993417089339	5.75645742607951	7.12472619168026	7.3656789758733	9.87213688024163	15.9257110751322	15.3394858324642	14.7004697281229	17.9598716347568	16.8474911604312
DAC+SB.84.2-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
