chr	start	end	strand	pvalue	qvalue	meth.diff	symbol	tss	tss.strand	distance
chr1	2128001	2129000	*	0.0273759292746634	0.103899411672368	-20.1357466063348	PRKCZ	2104716	+	-23285
chr1	2159001	2160000	*	0.216425804993267	0.393459831349393	-16.1538461538462	PRKCZ-AS1	2183875	-	-24874
chr1	2189001	2190000	*	1	0.790350066518014	-0.649350649350649	LOC112268219	2189798	+	797
chr1	2206001	2207000	*	1	0.790350066518014	5.26315789473685	FAAP20	2207733	-	-1732
chr1	2229001	2230000	*	1	0.790350066518014	0	SKI	2228319	+	-682
chr1	2282001	2283000	*	0.0140712282273081	0.0655249394033913	-27.9166666666667	SKI	2228319	+	-53682
chr1	2283001	2284000	*	0.0781644542876892	0.205698363667847	-23.75	SKI	2228319	+	-54682
chr1	2315001	2316000	*	0.26004904439276	0.444921449257256	25.3846153846154	LOC100129534	2352661	-	-37660
chr1	2343001	2344000	*	0.196149098366284	0.370716792619286	-12.2153209109731	LOC100129534	2352661	-	-9660
chr1	2348001	2349000	*	0.237732642737222	0.418630482247426	-17.092803030303	LOC100129534	2352661	-	-4660
chr1	2390001	2391000	*	0.305859503227924	0.4904747966789	-16.6666666666667	MORN1	2391554	-	-1553
chr1	2415001	2416000	*	1	0.790350066518014	-2.15827338129496	PEX10	2413827	-	1174
chr1	2433001	2434000	*	0.818293610487823	0.790350066518014	5.0564819795589	PEX10	2413827	-	19174
chr1	2463001	2464000	*	0.120994638874411	0.271841994930039	-23.121387283237	PLCH2	2467451	+	4450
chr1	2537001	2538000	*	0.688167990308251	0.790350066518014	16.25	HES5	2530263	-	6738
chr1	2590001	2591000	*	0.000322469958932942	0.00485020415577689	-54.6153846153846	PRXL2B	2586777	+	-3224
chr1	2654001	2655000	*	0.758598942774331	0.790350066518014	-4.61922596754057	MMEL1	2633016	-	20985
chr1	2658001	2659000	*	0.297373066167148	0.481821297787051	-8.79470198675497	MMEL1	2633016	-	24985
chr1	2659001	2660000	*	0.0290924505365292	0.107821614373268	-17.0001274372372	MMEL1	2633016	-	25985
chr1	2660001	2661000	*	0.277734877734878	0.462337062158593	-11.2179487179487	MMEL1	2633016	-	26985
chr1	3018001	3019000	*	0.0635985357648856	0.180026647876017	28.75	ACTRT2	3021467	+	3466
chr1	3141001	3142000	*	0.472819082007965	0.641223096942049	17.5757575757576	MIR4251	3127975	+	-13026
chr1	3160001	3161000	*	1	0.790350066518014	-0.476190476190474	MIR4251	3127975	+	-32026
chr1	3168001	3169000	*	0.188536777885303	0.361218926962364	-16.8292682926829	MIR4251	3127975	+	-40026
chr1	3207001	3208000	*	1	0.790350066518014	0.843373493975903	MIR4251	3127975	+	-79026
chr1	3290001	3291000	*	1.72701154344942e-07	2.18335654563892e-05	-60.1612903225806	MIR4251	3127975	+	-162026
chr1	3308001	3309000	*	3.89194145598539e-05	0.00111161135513093	-66.1971830985916	ARHGEF16	3454665	+	146664
chr1	3313001	3314000	*	0.592825653055428	0.731097488193538	-11.9047619047619	ARHGEF16	3454665	+	141664
chr1	3320001	3321000	*	0.223254741304477	0.401274071766393	20	ARHGEF16	3454665	+	134664
chr1	3322001	3323000	*	0.0849535226942159	0.216146846644235	-24.1379310344828	ARHGEF16	3454665	+	132664
chr1	3362001	3363000	*	0.0104186127699989	0.0541500090490636	-40.1980198019802	ARHGEF16	3454665	+	92664
chr1	3398001	3399000	*	1	0.790350066518014	0	ARHGEF16	3454665	+	56664
chr1	3413001	3414000	*	1	0.790350066518014	-3	ARHGEF16	3454665	+	41664
chr1	3435001	3436000	*	0.0625356569629015	0.178258513954949	-29.2857142857143	ARHGEF16	3454665	+	19664
chr1	3478001	3479000	*	0.188823206926207	0.361471592200556	-24.1666666666667	ARHGEF16	3454665	+	-23336
chr1	3510001	3511000	*	1	0.790350066518014	0	MIR551A	3560790	-	-50789
chr1	3521001	3522000	*	0.575982557900366	0.720496162818903	5.31732418524871	MIR551A	3560790	-	-39789
chr1	3536001	3537000	*	0.145023589767525	0.306887555532858	-24.468085106383	MIR551A	3560790	-	-24789
chr1	3550001	3551000	*	0.321088816184283	0.503082545351676	17.9310344827586	MIR551A	3560790	-	-10789
chr1	3619001	3620000	*	1	0.790350066518014	0	TPRG1L	3625015	+	6014
chr1	3625001	3626000	*	1	0.790350066518014	-5.73770491803279	TPRG1L	3625015	+	14
chr1	3635001	3636000	*	0.011965811965812	0.0594186003244742	-40	TPRG1L	3625015	+	-9986
chr1	3739001	3740000	*	1	0.790350066518014	4.28571428571429	TP73-AS1	3746771	-	-7770
chr1	3745001	3746000	*	0.753011768250921	0.790350066518014	-5.70469798657718	TP73-AS1	3746771	-	-1770
chr1	3773001	3774000	*	7.16358914272861e-05	0.00168387069676429	-65.2136752136752	SMIM1	3772749	+	-252
chr1	3782001	3783000	*	0.00725323256559628	0.042278318663703	-27.7011494252874	SMIM1	3772749	+	-9252
chr1	3911001	3912000	*	0.602497937265606	0.735655622437549	-10.1063829787234	LINC01134	3900404	+	-10597
chr1	3959001	3960000	*	0.0296593425794311	0.109027204178931	-32.4675324675325	LINC01345	3948980	-	10021
chr1	3967001	3968000	*	0.748011630589515	0.790350066518014	8.84184308841843	LINC01345	3948980	-	18021
chr1	4360001	4361000	*	0.174186849693456	0.344311881342232	25	LINC01777	4412051	+	52050
chr1	4553001	4554000	*	0.37037037037037	0.546005867643294	10	LINC01646	4571487	+	18486
chr1	4562001	4563000	*	0.489863900256972	0.652457270408818	-3.85572139303483	LINC01646	4571487	+	9486
chr1	4703001	4704000	*	1	0.790350066518014	1.5645371577575	AJAP1	4654609	+	-48392
chr1	4778001	4779000	*	0.392279343494966	0.568520728591994	-8.67861142217244	AJAP1	4654609	+	-123392
chr1	4964001	4965000	*	1	0.790350066518014	2.60869565217391	AJAP1	4654609	+	-309392
chr1	4965001	4966000	*	1	0.790350066518014	0.454545454545453	AJAP1	4654609	+	-310392
chr1	5343001	5344000	*	0.0321822811171502	0.115399489295579	-32.4074074074074	MIR4689	5862741	-	-519740
chr1	5362001	5363000	*	0.361455108359133	0.538616447571937	-21.8181818181818	MIR4689	5862741	-	-500740
chr1	5567001	5568000	*	0.296216216216216	0.480279620411336	6.74603174603175	MIR4689	5862741	-	-295740
chr1	5758001	5759000	*	4.31585784396525e-06	0.000262115623888973	-50.4140786749482	MIR4689	5862741	-	-104740
chr1	5811001	5812000	*	0.0571760297282651	0.169219590929171	-26.2295081967213	MIR4689	5862741	-	-51740
chr1	5986001	5987000	*	0.000524044749133571	0.00688572258883822	-23.4126984126984	NPHP4	5992425	-	-6424
chr1	6066001	6067000	*	1.73733045140259e-05	0.000691633007582613	-48.9130434782609	KCNAB2	6045888	+	-20113
chr1	6089001	6090000	*	0.0673683009611819	0.186521347600986	-30.4761904761905	KCNAB2	6045888	+	-43113
chr1	6112001	6113000	*	0.0127234914420269	0.0615157714131463	52.3529411764706	KCNAB2	6045888	+	-66113
chr1	6135001	6136000	*	0.0293352658508983	0.108261292197385	32.9710144927536	CHD5	6180321	-	-45320
chr1	6280001	6281000	*	0.426428984823641	0.600867078327609	-5.03105590062113	GPR153	6261098	-	18903
chr1	6368001	6369000	*	0.332000865849721	0.511695581739015	-15.5518394648829	ACOT7	6360714	-	7287
chr1	6423001	6424000	*	1	0.790350066518014	-2.56410256410256	ESPN	6424776	+	1775
chr1	6601001	6602000	*	1	0.790350066518014	-0.28328611898017	KLHL21	6602869	-	-1868
chr1	6657001	6658000	*	0.090725806451613	0.224602759190122	-20	THAP3	6625150	+	-31851
chr1	6919001	6920000	*	0.735443835631912	0.790350066518014	9.09090909090908	CAMTA1	6785454	+	-133547
chr1	7054001	7055000	*	0.0816452931035452	0.210833729597641	-33.0769230769231	CAMTA1	6785454	+	-268547
chr1	7075001	7076000	*	0.0084066406769391	0.0470378381630226	45	CAMTA1	6785454	+	-289547
chr1	7155001	7156000	*	0.0354348840492632	0.123008008764883	-37.9166666666667	CAMTA1-AS2	7389754	-	-234753
chr1	7350001	7351000	*	1.176372755389e-05	0.000524066989577535	-76.2820512820513	CAMTA1-AS2	7389754	-	-39753
chr1	7446001	7447000	*	0.000493334318149074	0.00663563507165761	-58.2692307692308	CAMTA1-AS2	7389754	-	56247
chr1	7473001	7474000	*	0.404807860984548	0.5815296940308	-5.76260569996867	CAMTA1-AS2	7389754	-	83247
chr1	7513001	7514000	*	0.173681533212773	0.343982337071075	28.1081081081081	CAMTA1-AS2	7389754	-	123247
chr1	7531001	7532000	*	0.686999508905705	0.790350066518014	-8.28538550057537	CAMTA1	7669730	+	138729
chr1	7536001	7537000	*	1	0.790350066518014	-4.34782608695652	CAMTA1	7669730	+	133729
chr1	7583001	7584000	*	0.0291008765587731	0.107821614373268	-34.6534653465347	CAMTA1	7669730	+	86729
chr1	7646001	7647000	*	0.00511873398770724	0.0333725820108947	-35.9848484848485	CAMTA1	7669730	+	23729
chr1	7651001	7652000	*	1	0.790350066518014	-0.645161290322577	CAMTA1	7669730	+	18729
chr1	7680001	7681000	*	1	0.790350066518014	-3.72340425531915	CAMTA1	7680088	+	87
chr1	8313001	8314000	*	0.0164298236616723	0.0732545757563283	-43.3333333333333	SLC45A1	8318114	+	5113
chr1	8703001	8704000	*	0.581774534676087	0.724825969207816	-8.33333333333333	RERE	8817640	-	-114639
chr1	8798001	8799000	*	0.000823897743698899	0.0094691293779879	-55.7142857142857	RERE	8817640	-	-19639
chr1	8870001	8871000	*	0.0183547637648005	0.0786243932604916	-38.2352941176471	MIR6728	8866590	-	3411
chr1	8877001	8878000	*	4.31654736085643e-05	0.00119015220653653	31.6915814319434	ENO1	8878686	-	-1685
chr1	9015001	9016000	*	0.0405425003277381	0.135026786334492	-23.1297709923664	SLC2A7	9026345	-	-11344
chr1	9163001	9164000	*	1	0.790350066518014	0	MIR34A	9151777	-	11224
chr1	9269001	9270000	*	0.438172242560888	0.610735795447436	-5.12540894220284	SPSB1	9292894	+	23893
chr1	9316001	9317000	*	2.54038118615614e-08	4.32113007852426e-06	-62.6865671641791	SPSB1	9292894	+	-23107
chr1	9480001	9481000	*	0.783233210997595	0.790350066518014	5.006105006105	LINC02606	9428996	-	51005
chr1	9487001	9488000	*	0.0139630713088363	0.0653148753078818	-39.9386503067485	SLC25A33	9539465	+	52464
chr1	9502001	9503000	*	0.0311345251173474	0.112703654971968	-34.3434343434343	SLC25A33	9539465	+	37464
chr1	9504001	9505000	*	0.367830008608945	0.544319392970275	-14.2857142857143	SLC25A33	9539465	+	35464
chr1	9540001	9541000	*	1	0.790350066518014	-0.297619047619048	SLC25A33	9539465	+	-536
chr1	9543001	9544000	*	0.0252815510131942	0.098426283141453	-31.4893617021277	SLC25A33	9539465	+	-3536
chr1	9589001	9590000	*	1	0.790350066518014	0.233899890846718	TMEM201	9588911	+	-90
chr1	9591001	9592000	*	1	0.790350066518014	3.93063583815029	TMEM201	9588911	+	-2090
chr1	9646001	9647000	*	1	0.790350066518014	-2.30769230769231	PIK3CD	9651731	+	5730
chr1	9774001	9775000	*	0.000462534690101758	0.00637287907570292	-41.6666666666667	CLSTN1	9823965	-	-49964
chr1	9824001	9825000	*	0.196200932376458	0.370739860634812	-9.57473898650369	CLSTN1	9823965	-	36
chr1	9982001	9983000	*	0.380537124476343	0.556434357677665	-10.553083280356	MIR5697	9967381	+	-14620
chr1	10425001	10426000	*	0.116544063810229	0.265800408049005	-23.8095238095238	CENPS	10430433	+	5432
chr1	10430001	10431000	*	1	0.790350066518014	0	CENPS	10430433	+	432
chr1	10600001	10601000	*	0.10258400579862	0.244015182741675	-7.38699305611845	PEX14	10474950	+	-125051
chr1	10683001	10684000	*	0.0410665819013733	0.136218707352173	-37.4712643678161	CASZ1	10796646	-	-113645
chr1	10716001	10717000	*	1	0.790350066518014	-1.90476190476191	CASZ1	10796646	-	-80645
chr1	10732001	10733000	*	0.66533180778032	0.782683124407725	-8.57142857142857	CASZ1	10796646	-	-64645
chr1	10747001	10748000	*	1	0.790350066518014	-4.70588235294117	CASZ1	10796646	-	-49645
chr1	10761001	10762000	*	0.322681704260652	0.504058764663733	7.87234042553191	CASZ1	10796646	-	-35645
chr1	10813001	10814000	*	1	0.790350066518014	0	CASZ1	10796646	-	16355
chr1	10837001	10838000	*	0.480842474959671	0.645403308759182	14.4827586206897	CASZ1	10796646	-	40355
chr1	10874001	10875000	*	0.0417533549297223	0.137465551625903	-28.1468531468532	CASZ1	10796646	-	77355
chr1	11010001	11011000	*	0.848203910526766	0.790350066518014	-2.50836120401338	TARDBP	11012654	+	2653
chr1	11057001	11058000	*	0.58388646855597	0.726393102863885	-10.2439024390244	SRM	11060018	-	-3017
chr1	11095001	11096000	*	0.0642745267516632	0.181291742722683	-16.5916591659166	EXOSC10-AS1	11099675	+	4674
chr1	11328001	11329000	*	0.11145230851933	0.257581933304406	27.4489795918367	UBIAD1	11273198	+	-54803
chr1	11331001	11332000	*	0.00372096130114881	0.0270902596377833	-34.3661971830986	UBIAD1	11273198	+	-57803
chr1	11345001	11346000	*	0.00218495946065702	0.018736124982087	-47.3684210526316	UBIAD1	11273198	+	-71803
chr1	11439001	11440000	*	1	0.790350066518014	-0.416666666666671	DISP3	11479155	+	40154
chr1	11542001	11543000	*	1	0.790350066518014	-4.05405405405406	DISP3	11479155	+	-62846
chr1	11560001	11561000	*	0.052957427109363	0.1617218593282	-20.9183673469388	LINC01647	11609531	+	49530
chr1	11651001	11652000	*	0.0119305724880232	0.0593500819086002	-32.0792079207921	FBXO44	11654407	+	3406
chr1	11719001	11720000	*	0.367648031360122	0.544136171046297	-12.2699386503067	AGTRAP	11736085	+	17084
chr1	11736001	11737000	*	1	0.790350066518014	0	AGTRAP	11736085	+	84
chr1	11865001	11866000	*	0.0177497482169328	0.0769953034331186	-43.4848484848485	NPPB	11858945	-	6056
chr1	11937001	11938000	*	0.00240631801782097	0.0201278326534928	-27.8021978021978	PLOD1	11934717	+	-2284
chr1	12548001	12549000	*	0.153400230975412	0.317822955147908	-27.8378378378378	MIR6730	12579023	-	-31022
chr1	12618001	12619000	*	1	0.790350066518014	-0.809716599190283	DHRS3	12618210	-	-209
chr1	12740001	12741000	*	0.126362625139043	0.279935966045799	-35.2173913043478	CFAP107	12746200	+	6199
chr1	13005001	13006000	*	1	0.790350066518014	-3.86904761904761	PRAMEF27	13056575	-	-51574
chr1	13428001	13429000	*	0.256112891358268	0.440528004709689	-17.1428571428571	PRAMEF20	13410450	+	-17551
chr1	13665001	13666000	*	1	0.790350066518014	0	PRDM2	13700188	+	35187
chr1	13668001	13669000	*	0.1556011955682	0.320640382934513	-11.2830188679245	PRDM2	13700188	+	32187
chr1	14149001	14150000	*	1	0.790350066518014	0	KAZN-AS1	14419973	-	-270972
chr1	14734001	14735000	*	0.19277934716756	0.366221313112289	20.3125	KAZN	14598717	+	-135284
chr1	14967001	14968000	*	1	0.790350066518014	6.19047619047619	KAZN	14945919	+	-21082
chr1	14988001	14989000	*	0.00179991121113428	0.0163325335346752	-54.1379310344828	KAZN	14945919	+	-42082
chr1	15000001	15001000	*	0.502651211099775	0.661112039840002	16.25	KAZN	14945919	+	-54082
chr1	15056001	15057000	*	0.024783326617164	0.096725377145705	-30.625	TMEM51-AS1	15152464	-	-96463
chr1	15483001	15484000	*	1	0.790350066518014	7.60869565217391	CELA2B	15476104	+	-6897
chr1	15599001	15600000	*	0.395339960386021	0.571205109301891	-12.2784810126582	AGMAT	15585051	-	13950
chr1	15618001	15619000	*	1	0.790350066518014	0	DDI2	15617458	+	-543
chr1	15771001	15772000	*	0.180471965364757	0.352480727579472	-23.6363636363636	FBLIM1	15764499	+	-6502
chr1	15779001	15780000	*	0.865882431526991	0.790350066518014	-2.34375	FBLIM1	15764499	+	-14502
chr1	15976001	15977000	*	0.57515638195846	0.720032505105991	-3.77358490566038	ZBTB17	15976101	-	-100
chr1	16009001	16010000	*	0.00462816579864196	0.0312622532598024	-46.875	SRARP	16004236	+	-4765
chr1	16047001	16048000	*	0.18512534510747	0.357767887559572	17.8571428571429	CLCNKB	16048762	+	1761
chr1	16113001	16114000	*	0.000776243611135785	0.00907756136677984	-51.8987341772152	FAM131C	16073651	-	39350
chr1	16114001	16115000	*	0.775728613605576	0.790350066518014	5	FAM131C	16073651	-	40350
chr1	16126001	16127000	*	0.331922355233997	0.511658870489927	13.0503144654088	EPHA2	16156069	-	-30068
chr1	16162001	16163000	*	0.60657853591732	0.738133312249675	-12.9310344827586	EPHA2	16156069	-	5932
chr1	16207001	16208000	*	0.152043864588126	0.315884338817802	21.1302211302211	ARHGEF19	16212652	-	-5651
chr1	16440001	16441000	*	0.161376274328082	0.328782498709824	2.59467566554181	NECAP2	16440672	+	671
chr1	16441001	16442000	*	0.0364513755514294	0.125363924848042	-12	NECAP2	16440724	+	-277
chr1	16547001	16548000	*	0.434877047691693	0.60768816746213	-19.7860962566845	MIR3675	16548914	+	1913
chr1	16550001	16551000	*	0.0480089907358885	0.151606679406718	-34.2342342342342	MIR3675	16548914	+	-1087
chr1	16560001	16561000	*	0.00486497166298388	0.0324171140519564	-34.1666666666667	MIR3675	16548914	+	-11087
chr1	16576001	16577000	*	0.0879917496600244	0.220164670734142	-23.2142857142857	MIR3675	16548914	+	-27087
chr1	16594001	16595000	*	0.457354982522701	0.627839587989714	-11.6666666666667	NBPF1	16613564	-	-19563
chr1	16608001	16609000	*	0.00373132985800093	0.0271024731048295	-40.7894736842105	NBPF1	16613564	-	-5563
chr1	16609001	16610000	*	0.0166871042459967	0.0738477279166583	-27.8280542986425	NBPF1	16613564	-	-4563
chr1	16612001	16613000	*	0.795111647780081	0.790350066518014	4.21363392377884	NBPF1	16613564	-	-1563
chr1	16613001	16614000	*	0.00135452875821595	0.0135097257687964	-3.54083380925186	NBPF1	16613564	-	-563
chr1	16618001	16619000	*	4.52533265667548e-08	6.94035709658057e-06	-66.0878809355067	NBPF1	16613564	-	4437
chr1	16620001	16621000	*	0.117702750886071	0.267270200110727	-12.2685185185185	NBPF1	16613564	-	6437
chr1	16621001	16622000	*	0.579988313400536	0.723385784252335	-10.1694915254237	NBPF1	16613564	-	7437
chr1	16623001	16624000	*	3.92183943625662e-05	0.00111315907422206	-40.0793650793651	CROCCP2	16630906	-	-7905
chr1	16624001	16625000	*	0.0631459069660433	0.179451263564024	-11.2732919254658	CROCCP2	16630906	-	-6905
chr1	16630001	16631000	*	0.00256850986670528	0.0210900895915398	-23.7197452229299	CROCCP2	16630906	-	-905
chr1	16637001	16638000	*	0.0359625718687761	0.124240509745038	-11.7460317460317	CROCCP2	16630906	-	6095
chr1	16642001	16643000	*	0.000444861548039028	0.0061656978419137	-26.3305322128852	MST1P2	16645574	+	3573
chr1	16644001	16645000	*	0.610878496792768	0.740282408247752	-2.1505376344086	MST1P2	16645574	+	1573
chr1	16646001	16647000	*	0.005322096174959	0.0342200678920884	-20.4911433172303	MST1P2	16645574	+	-427
chr1	16674001	16675000	*	0.222222222222222	0.400264139707087	-8.33333333333334	RNU1-1	16666948	-	7053
chr1	16697001	16698000	*	0.513327753399299	0.669278159192259	-6.07843137254902	MIR3675	16681255	+	-15746
chr1	16700001	16701000	*	1	0.790350066518014	1.14196476501878	MIR3675	16681255	+	-18746
chr1	16708001	16709000	*	0.498926125885235	0.658262248846876	9.51269331777065	ESPNP	16720157	-	-12156
chr1	16714001	16715000	*	0.00744966312984307	0.0431811541494518	-40.4048582995951	ESPNP	16720157	-	-6156
chr1	16725001	16726000	*	1.26120428262128e-11	1.07263976573622e-08	-52.9827422204104	ESPNP	16720157	-	4844
chr1	16733001	16734000	*	0.115783220957301	0.264322914732179	-11.7994470972606	RNU1-4	16740516	+	7515
chr1	16788001	16789000	*	0.0556547555020115	0.167012720739059	-22.5108225108225	MST1L	16764480	-	23521
chr1	16873001	16874000	*	0.0585715124668118	0.171881552537725	-23.9454094292804	LOC112267871	16872226	+	-775
chr1	16875001	16876000	*	0.000440408191231369	0.00611303149253741	-34.6296296296296	LOC112267871	16872226	+	-2775
chr1	16876001	16877000	*	0.166626136584568	0.33470699820111	-19.8989898989899	LOC112267871	16872226	+	-3775
chr1	16904001	16905000	*	0.424582337527554	0.599204472749741	6.81259772168864	RNU1-1	16895980	+	-8021
chr1	16913001	16914000	*	0.000959575214366721	0.0105489832661824	-48.9795918367347	CROCC	16921931	+	8930
chr1	16961001	16962000	*	0.839066721968914	0.790350066518014	-3.57142857142858	MFAP2	16980620	-	-19619
chr1	16971001	16972000	*	0.204548523890554	0.380216151087672	-15	MFAP2	16980620	-	-9619
chr1	17062001	17063000	*	0.0353751615625686	0.122891889133979	-38	SDHB	17054032	-	7969
chr1	17122001	17123000	*	0.214778022548239	0.391376835121319	20.6451612903226	PADI2	17119451	-	2550
chr1	17127001	17128000	*	0.052991553151826	0.1617218593282	-35.9259259259259	PADI2	17119451	-	7550
chr1	17152001	17153000	*	0.700379371681679	0.790350066518014	8.54700854700855	PADI2	17119451	-	32550
chr1	17168001	17169000	*	0.00231663364543811	0.0194900841417699	-36.2962962962963	LINC02783	17189789	+	21788
chr1	17190001	17191000	*	0.321820957158763	0.503723495188149	-10.1960784313726	LINC02783	17189789	+	-212
chr1	17193001	17194000	*	0.146936589278152	0.309535399322697	-17.8048780487805	LINC02783	17189789	+	-3212
chr1	17438001	17439000	*	1	0.790350066518014	-4.01146131805158	RCC2	17438536	-	-535
chr1	17662001	17663000	*	0.00050856035927625	0.00674861309084026	-55.3846153846154	ARHGEF10L	17618313	+	-43688
chr1	17738001	17739000	*	1	0.790350066518014	0	ACTL8	17755333	+	17332
chr1	17742001	17743000	*	1	0.790350066518014	0	ACTL8	17755333	+	13332
chr1	17791001	17792000	*	0.689067905621176	0.790350066518014	-10.8588957055215	ACTL8	17755333	+	-35668
chr1	17796001	17797000	*	0.724221609513864	0.790350066518014	-7.57575757575759	ACTL8	17755333	+	-40668
chr1	18004001	18005000	*	1	0.790350066518014	-3.78787878787879	LINC01654	18065657	+	61656
chr1	18015001	18016000	*	0.0715772432932469	0.194434338588633	-21.8673218673219	LINC01654	18065657	+	50656
chr1	18352001	18353000	*	0.00227703697603861	0.0192608787745574	-28.1914893617021	KLHDC7A	18480930	+	128929
chr1	18361001	18362000	*	0.69618887338352	0.790350066518014	9.40438871473356	KLHDC7A	18480930	+	119929
chr1	18650001	18651000	*	0.69123886914713	0.790350066518014	-4.4973544973545	PAX7	18630846	+	-19155
chr1	18670001	18671000	*	0.286627469279638	0.471367283188007	-10.3174603174603	PAX7	18630846	+	-39155
chr1	18735001	18736000	*	0.513438530983934	0.669278159192259	-11.1111111111111	PAX7	18630846	+	-104155
chr1	18794001	18795000	*	0.51434150468708	0.66945899691745	-14.8275862068966	TAS1R2	18859660	-	-65659
chr1	18965001	18966000	*	0.717812031173134	0.790350066518014	-9.33333333333333	IFFO2	18956676	-	8325
chr1	19088001	19089000	*	0.318263217345786	0.500920482020329	-7.02970297029702	UBR4	19210266	-	-122265
chr1	19089001	19090000	*	0.206564746678936	0.382671367553936	-12.4125874125874	UBR4	19210266	-	-121265
chr1	19288001	19289000	*	0.0414873937411761	0.137051579745156	35.9183673469388	AKR7A3	19288770	-	-769
chr1	19366001	19367000	*	0.0483641536273115	0.152499067298705	-26.4285714285714	SLC66A1	19312326	+	-53675
chr1	19902001	19903000	*	0.00328397072514101	0.0249575739043773	-29.0450928381963	OTUD3	19882395	+	-19606
chr1	20154001	20155000	*	0.0357142857142857	0.123632843027641	-18.1818181818182	LOC117779438	20154214	+	213
chr1	20169001	20170000	*	0.00608129734343327	0.0373067602989615	-15	LOC117779438	20154214	+	-14787
chr1	20281001	20282000	*	0.184172421183511	0.356581505026645	-21.5686274509804	VWA5B1	20290875	+	9874
chr1	20367001	20368000	*	0.000283277669224826	0.00440227320108037	-46.969696969697	LINC01141	20428794	-	-61793
chr1	20441001	20442000	*	1	0.790350066518014	1.33689839572193	LINC01141	20428794	-	12207
chr1	20500001	20501000	*	0.0418534193147327	0.137679029307677	-10.4076086956522	MUL1	20508151	-	-8150
chr1	20534001	20535000	*	0.000550343480763036	0.00711601758874144	-27.6190476190476	FAM43B	20552573	+	18572
chr1	20548001	20549000	*	0.000715474380470166	0.00855950157137383	-54	FAM43B	20552573	+	4572
chr1	20559001	20560000	*	0.674179883854865	0.788705055809607	-2.7027027027027	FAM43B	20552573	+	-6428
chr1	20662001	20663000	*	0.037554540247995	0.128084855834939	-25.5555555555556	DDOST	20661369	-	632
