seqnames	start	end	width	strand	symbol	coverage1	numCs1	numTs1	coverage2	numCs2	numTs2
chr11	10449868	10449868	1	*	AMPD3	21	21	0	12	10	2
chr12	121351961	121351967	7	*	ANAPC5	21	0	21	20	0	20
chr4	112706971	112706971	1	*	ANK2	14	0	14	11	0	11
chr18	9138016	9138016	1	*	ANKRD12	30	0	30	10	0	10
chr19	4184278	4184286	9	*	ANKRD24	53	2	51	24	3	21
chr18	14748110	14748131	22	*	ANKRD30B	129	124	5	64	60	4
chr2	96858175	96858199	25	*	ANKRD39	80	0	80	53	0	53
chr2	197311130	197311143	14	*	ANKRD44	35	0	35	21	0	21
chr12	56257597	56257618	22	*	ANKRD52	68	9	59	21	3	18
chr1	150235380	150235380	1	*	ANP32E	23	0	23	10	0	10
chr2	69012740	69012740	1	*	ANTXR1	16	0	16	11	0	11
chr4	80072321	80072334	14	*	ANTXR2	54	0	54	32	0	32
chr11	926517	926517	1	*	AP2A2	30	1	29	10	0	10
chr1	113904868	113905170	303	*	AP4B1	74	0	74	30	0	30
chr7	100101804	100101813	10	*	AP4M1	45	0	45	25	0	25
chr7	4775610	4775610	1	*	AP5Z1	15	0	15	10	0	10
chr11	116791424	116791445	22	*	APOA5	34	0	34	21	0	21
chr19	44906300	44906300	1	*	APOE	24	1	23	11	0	11
chr7	77696121	77696121	1	*	APTR	26	1	25	10	0	10
chr18	26863272	26863300	29	*	AQP4	33	22	11	31	12	19
chr18	26864375	26864700	326	*	AQP4-AS1	38	18	20	20	3	17
chr4	74445269	74445269	1	*	AREG	16	0	16	12	0	12
chr18	6729232	6729232	1	*	ARHGAP28	27	0	27	10	0	10
chr19	46860148	46861961	1814	*	ARHGAP35	190	0	190	94	0	94
chr19	1075894	1075894	1	*	ARHGAP45	20	19	1	11	8	3
chr22	44753206	44753206	1	*	ARHGAP8	21	1	20	11	0	11
chr19	41884547	41884574	28	*	ARHGEF1	70	2	68	41	0	41
chr1	157045578	157045588	11	*	ARHGEF11	31	2	29	20	3	17
chr11	73309098	73309109	12	*	ARHGEF17-AS1	57	0	57	43	0	43
chr5	149581367	149581376	10	*	ARHGEF37	40	21	19	21	9	12
chr12	45730204	45730204	1	*	ARID2	16	0	16	10	0	10
chr3	97764398	97764410	13	*	ARL6	38	0	38	34	0	34
chr2	152718547	152718704	158	*	ARL6IP6	142	0	142	54	1	53
chr3	138188099	138188101	3	*	ARMC8	24	0	24	21	0	21
chr2	218216867	218217898	1032	*	ARPC2	48	0	48	22	0	22
chr11	2269833	2269836	4	*	ASCL2	38	0	38	20	0	20
chr19	14136389	14136412	24	*	ASF1B	30	0	30	21	0	21
chr3	131026599	131026617	19	*	ASTE1	88	0	88	32	0	32
chr2	25877646	25877665	20	*	ASXL2	46	0	46	40	0	40
chr1	1511500	1511511	12	*	ATAD3A	32	0	32	20	0	20
chr1	212609347	212609372	26	*	ATF3	41	0	41	42	0	42
chr11	46617628	46617628	1	*	ATG13	25	0	25	10	0	10
chr10	68231397	68231397	1	*	ATOH7	30	14	16	12	2	10
chr3	194487513	194487842	330	*	ATP13A3-DT	125	0	125	61	1	60
chr1	116372697	116372697	1	*	ATP1A1	21	0	21	10	0	10
chr12	57941695	57941737	43	*	ATP23	44	0	44	21	0	21
chr12	110281783	110281800	18	*	ATP2A2	50	1	49	35	0	35
chr3	10620906	10620906	1	*	ATP2B2	17	16	1	12	8	4
chr18	46098022	46098547	526	*	ATP5F1A	67	0	67	22	0	22
chr14	103921533	103921545	13	*	ATP5MJ	44	0	44	20	0	20
chr5	172983961	172983961	1	*	ATP6V0E1	32	0	32	10	0	10
chr2	70948567	70948567	1	*	ATP6V1B1-AS1	29	1	28	11	0	11
chr22	17628905	17628905	1	*	ATP6V1E1	22	1	21	10	0	10
chr7	128863506	128863506	1	*	ATP6V1F	16	0	16	12	0	12
chr18	57803580	57803580	1	*	ATP8B1	28	24	4	13	8	5
chr1	154326364	154326364	1	*	ATP8B2	17	3	14	10	0	10
chr3	142578734	142578742	9	*	ATR	80	0	80	30	0	30
chr14	92106756	92106758	3	*	ATXN3	29	0	29	22	0	22
chr7	105679232	105877366	198135	*	ATXN7L1	35	3	32	21	2	19
chr10	97686560	97686560	1	*	AVPI1	22	21	1	10	7	3
chr9	33166523	33167830	1308	*	B4GALT1-AS1	109	2	107	42	0	42
chr1	161177611	161177611	1	*	B4GALT3	16	0	16	10	0	10
chr11	64989550	64997127	7578	*	BATF2	44	20	24	32	11	21
chr2	111121447	111121449	3	*	BCL2L11	41	0	41	26	0	26
chr19	44747846	44747859	14	*	BCL3	42	0	42	21	0	21
chr7	73556957	73556957	1	*	BCL7B	21	0	21	11	0	11
chr6	136289141	136289141	1	*	BCLAF1	43	0	43	11	0	11
chr22	23181007	23181024	18	*	BCR	91	0	91	45	0	45
chr11	61955543	61955543	1	*	BEST1	14	10	4	10	5	5
chr12	69699060	69699060	1	*	BEST3	16	16	0	12	9	3
chr3	4979529	4979540	12	*	BHLHE40	57	0	57	25	1	24
chr12	51324848	51324848	1	*	BIN2	16	15	1	11	6	5
chr19	45179067	45179067	1	*	BLOC1S3	26	0	26	10	0	10
chr20	6768595	6768609	15	*	BMP2	32	27	5	20	15	5
chr4	78775584	78775584	1	*	BMP2K	36	0	36	10	0	10
chr10	42781916	42781931	16	*	BMS1	48	37	11	20	11	9
chr14	19098959	19098969	11	*	BMS1P22	69	63	6	21	21	0
chr2	94209235	94209253	19	*	BMS1P23	83	11	72	23	4	19
chr5	173145098	173145114	17	*	BNIP1	53	8	45	20	1	19
chr5	173616792	173616807	16	*	BOD1	93	0	93	46	0	46
chr7	2555254	2555254	1	*	BRAT1	24	0	24	11	0	11
chr17	43124742	43124742	1	*	BRCA1	22	0	22	11	0	11
chr9	134025939	134025956	18	*	BRD3OS	83	0	83	30	0	30
chr16	2211713	2211713	1	*	BRICD5	17	16	1	12	11	1
chr1	222712985	222712996	12	*	BROX	47	0	47	22	0	22
chr1	44809442	44809442	1	*	BTBD19	29	0	29	10	0	10
chr19	2015428	2015428	1	*	BTBD2	13	0	13	10	0	10
chr1	52056391	52056391	1	*	BTF3L4	18	0	18	10	0	10
chr2	200811859	200811859	1	*	BZW1	23	1	22	10	0	10
chr10	49299598	49299598	1	*	C10orf71	13	10	3	10	8	2
chr10	49298841	49298852	12	*	C10orf71-AS1	47	45	2	21	20	1
chr10	122954288	122954304	17	*	C10orf88	100	0	100	30	0	30
chr11	66975356	66975378	23	*	C11orf86	38	38	0	21	21	0
chr12	103957194	103957194	1	*	C12orf73	25	0	25	10	0	10
chr12	105331182	105331184	3	*	C12orf75	36	4	32	20	1	19
chr16	67667239	67667429	191	*	C16orf86	92	1	91	41	1	40
chr18	13238745	13238745	1	*	C18orf15	19	18	1	10	7	3
chr18	54358004	54358032	29	*	C18orf54	52	0	52	34	0	34
chr18	74315278	74315278	1	*	C18orf63	27	26	1	10	8	2
chr19	1479546	1479550	5	*	C19orf25	49	0	49	20	0	20
chr1	37692020	37692020	1	*	C1orf109	24	0	24	11	0	11
chr1	1116332	1116332	1	*	C1orf159	10	0	10	11	0	11
chr1	22643847	22643847	1	*	C1QC	11	0	11	11	0	11
chr17	79023610	79023610	1	*	C1QTNF1	22	17	5	10	8	2
chr21	41953290	41953293	4	*	C2CD2	35	3	32	22	3	19
chr12	22544206	22544735	530	*	C2CD5	76	0	76	41	0	41
chr4	129093718	129093731	14	*	C4orf33	35	0	35	20	1	19
chr5	41903987	41903987	1	*	C5orf51	16	0	16	10	0	10
chr6	169702631	169702631	1	*	C6orf120	19	1	18	10	0	10
chr6	30647509	30647509	1	*	C6orf136	23	0	23	10	0	10
chr6	31660651	31660679	29	*	C6orf47	135	0	135	72	0	72
chr7	42911628	42911645	18	*	C7orf25	74	1	73	30	0	30
chr9	93346403	93346412	10	*	C9orf129	37	32	5	20	12	8
chr13	49444021	49444035	15	*	CAB39L	68	0	68	38	0	38
chr18	23136582	23136588	7	*	CABLES1	54	40	14	22	9	13
chr20	62407949	62407949	1	*	CABLES2	11	10	1	10	7	3
chr12	120649553	120649553	1	*	CABP1	13	0	13	10	0	10
chr12	2691499	2691511	13	*	CACNA1C-AS1	77	6	71	46	13	33
chr7	82444377	82444377	1	*	CACNA2D1	10	4	6	10	2	8
chr4	113761795	113761820	26	*	CAMK2D	71	0	71	61	2	59
chr10	73873733	73873737	5	*	CAMK2G	57	0	57	20	0	20
chr1	200739600	200739600	1	*	CAMSAP2	28	0	28	10	0	10
chr1	7680810	7680810	1	*	CAMTA1	29	0	29	10	0	10
chr8	127733442	127733526	85	*	CASC11	236	136	100	77	32	45
chr10	113679868	113679868	1	*	CASP7	15	0	15	10	0	10
chr19	5720629	5720650	22	*	CATSPERD	70	0	70	33	0	33
chr7	116525736	116525736	1	*	CAV1	14	3	11	10	0	10
chr20	33489798	33489798	1	*	CBFA2T2	15	0	15	11	0	11
chr18	2655402	2655426	25	*	CBX3P2	159	0	159	65	0	65
chr22	38871614	38871638	25	*	CBX6	121	0	121	82	0	82
chr22	39152953	39152953	1	*	CBX7	25	0	25	10	0	10
chr8	127219770	127219771	2	*	CCAT1	101	97	4	42	34	8
chr18	59696609	59696939	331	*	CCBE1	43	22	21	23	8	15
chr2	130342222	130342244	23	*	CCDC115	59	1	58	20	0	20
chr3	46976355	46976580	226	*	CCDC12	90	0	90	37	0	37
chr19	17933381	17933381	1	*	CCDC124	18	0	18	10	0	10
chr5	218162	218184	23	*	CCDC127	48	0	48	40	0	40
chr2	74482266	74482291	26	*	CCDC142	141	5	136	60	2	58
chr1	223393925	223393925	1	*	CCDC185	14	13	1	10	7	3
chr1	42463128	42463133	6	*	CCDC30	35	0	35	23	0	23
chr17	80037285	80037309	25	*	CCDC40	35	26	9	30	10	20
chr7	106660211	106660211	1	*	CCDC71L	18	0	18	10	0	10
chr11	60842115	60842143	29	*	CCDC86	47	0	47	40	0	40
chr11	83285629	83286009	381	*	CCDC90B	108	0	108	66	0	66
chr6	112054422	112054437	16	*	CCN6	44	35	9	22	15	7
chr11	69640676	69641231	556	*	CCND1	88	2	86	52	0	52
chr12	4274253	4274278	26	*	CCND2	81	1	80	35	0	35
chr16	2430154	2430164	11	*	CCNF	49	0	49	21	0	21
chr1	156338455	156338461	7	*	CCT3	36	0	36	24	0	24
chr5	10250134	10250528	395	*	CCT5	128	1	127	56	0	56
chr7	65037545	65037545	1	*	CCT6P3	34	33	1	10	8	2
chr4	15778979	15778984	6	*	CD38	52	0	52	30	0	30
chr19	6590688	6590709	22	*	CD70	49	3	46	33	5	28
chr5	150412631	150412631	1	*	CD74	23	0	23	10	0	10
chr1	22052662	22052668	7	*	CDC42	32	0	32	21	0	21
chr14	103058066	103058073	8	*	CDC42BPB	28	7	21	20	5	15
chr11	65315806	65315810	5	*	CDC42EP2	33	1	32	20	0	20
chr17	73311884	73311896	13	*	CDC42EP4	31	0	31	20	0	20
chr1	193121663	193121663	1	*	CDC73	21	2	19	10	0	10
chr7	21946118	21946118	1	*	CDCA7L	24	0	24	10	0	10
chr1	54153772	54153772	1	*	CDCP2	36	33	3	10	8	2
chr10	71811637	71811647	11	*	CDH23	66	11	55	22	5	17
chr9	87974352	87974636	285	*	CDK20	165	0	165	79	0	79
chr11	67507625	67507968	344	*	CDK2AP2	224	7	217	99	7	92
chr17	76000496	76000506	11	*	CDK3	48	1	47	23	0	23
chr17	47971457	47971457	1	*	CDK5RAP3	17	0	17	11	0	11
chr13	26254025	26254622	598	*	CDK8	109	0	109	43	1	42
chr6	36679033	36679495	463	*	CDKN1A	247	2	245	89	2	87
chr19	33374229	33374252	24	*	CEBPG	50	0	50	46	0	46
chr2	37196978	37197003	26	*	CEBPZOS	88	1	87	42	1	41
chr18	37485527	37485554	28	*	CELF4	74	41	33	43	19	24
chr9	71768135	71768135	1	*	CEMIP2	18	0	18	10	0	10
chr2	26786823	26786823	1	*	CENPA	13	2	11	10	0	10
chr1	10430951	10430979	29	*	CENPS-CORT	58	0	58	36	0	36
chr1	179955446	179955446	1	*	CEP350	29	0	29	12	0	12
chr18	12702391	12702391	1	*	CEP76	25	2	23	10	0	10
chr19	32972068	32972068	1	*	CEP89	29	0	29	14	0	14
chr1	111139625	111139640	16	*	CEPT1	61	0	61	24	0	24
chr1	150975100	150975122	23	*	CERS2	112	4	108	43	0	43
chr12	50167219	50167219	1	*	CERS5	29	0	29	10	0	10
chr16	58129673	58129697	25	*	CFAP20	67	0	67	33	0	33
chr2	55520595	55520595	1	*	CFAP36	27	6	21	10	2	8
chr10	104232793	104232793	1	*	CFAP43	24	1	23	11	1	10
chr4	185203073	185203086	14	*	CFAP97	36	33	3	21	13	8
chr16	75434206	75434206	1	*	CFDP1	19	3	16	11	2	9
chr6	73451957	73451957	1	*	CGAS	26	0	26	10	0	10
chr3	88149368	88149368	1	*	CGGBP1	18	0	18	10	0	10
chr2	53767857	53767857	1	*	CHAC2	18	0	18	10	0	10
chr21	36385413	36385423	11	*	CHAF1B	42	1	41	20	0	20
chr16	53130435	53130446	12	*	CHD9	75	0	75	35	0	35
chr15	20282754	20282762	9	*	CHEK2P2	47	16	31	21	17	4
chr2	86562853	86562864	12	*	CHMP3	46	0	46	24	0	24
chr1	154568521	154568521	1	*	CHRNB2	27	18	9	11	10	1
chr18	27184805	27184810	6	*	CHST9	69	23	46	22	3	19
chr16	788605	788633	29	*	CHTF18	77	0	77	41	0	41
chr15	90265758	90265758	1	*	CIB1	13	0	13	10	0	10
chr10	58269226	58269236	11	*	CISD1	38	1	37	20	0	20
chr1	40862299	40862308	10	*	CITED4	28	1	27	20	0	20
chr19	45323181	45323181	1	*	CKM	24	7	17	10	4	6
chr1	108963423	108963423	1	*	CLCC1	18	0	18	10	0	10
chr11	67373638	67373638	1	*	CLCF1	20	0	20	10	0	10
chr4	169620329	169620353	25	*	CLCN3	65	0	65	21	0	21
chr16	1474817	1475644	828	*	CLCN7	32	7	25	20	7	13
chr1	16047917	16047938	22	*	CLCNKB	29	18	11	20	15	5
chr16	3012128	3012128	1	*	CLDN9	22	3	19	11	1	10
chr19	50724290	50724290	1	*	CLEC11A	12	0	12	10	0	10
chr14	38256331	38256331	1	*	CLEC14A	17	13	4	10	6	4
chr15	68230030	68230030	1	*	CLN6	15	0	15	11	0	11
chr6	35796858	35796882	25	*	CLPS	74	68	6	22	19	3
chr1	9824402	9824415	14	*	CLSTN1	71	5	66	33	1	32
chr9	36191416	36191438	23	*	CLTA	33	0	33	21	0	21
chr16	31700981	31700991	11	*	CLUHP3	28	0	28	22	0	22
chr18	597442	597442	1	*	CLUL1	28	28	0	10	8	2
chr18	74497187	74497187	1	*	CNDP2	19	18	1	11	4	7
chr19	11538471	11538471	1	*	CNN1	21	0	21	10	0	10
chr16	58629412	58629418	7	*	CNOT1	28	0	28	21	0	21
chr7	135510007	135510466	460	*	CNOT4	44	0	44	31	0	31
chr2	218569030	218569035	6	*	CNOT9	63	0	63	27	0	27
chr7	155510351	155510351	1	*	CNPY1	13	3	10	10	2	8
chr7	43729516	43729524	9	*	COA1	48	1	47	20	0	20
chr1	234373932	234374292	361	*	COA6	53	1	52	34	1	33
chr1	52698032	52698032	1	*	COA7	21	0	21	10	0	10
chr6	75205670	75206170	501	*	COL12A1	84	14	70	43	8	35
chr1	40317042	40317042	1	*	COL9A2	21	14	7	15	11	4
chr18	501165	501169	5	*	COLEC12	45	45	0	20	17	3
chr2	61889439	61889439	1	*	COMMD1	13	12	1	10	8	2
chr3	149752459	149752469	11	*	COMMD2	36	0	36	21	0	21
chr22	19941370	19941386	17	*	COMT	66	1	65	22	0	22
chr11	14499782	14499782	1	*	COPB1	22	0	22	10	0	10
chr3	129249616	129249616	1	*	COPG1	20	0	20	10	0	10
chr4	83034899	83034923	25	*	COPS4	109	1	108	57	1	56
chr2	237085745	237085745	1	*	COPS8	16	0	16	10	0	10
chr17	48038523	48038536	14	*	COPZ2	36	34	2	21	20	1
chr2	197453190	197453196	7	*	COQ10B	45	0	45	20	1	19
chr16	4416740	4416766	27	*	CORO7-PAM16	123	0	123	64	0	64
chr2	97645490	97645496	7	*	COX5B	28	0	28	24	0	24
chr2	42360980	42360980	1	*	COX7A2L	22	0	22	11	0	11
chr12	68932542	68933559	1018	*	CPM	118	3	115	50	0	50
chr1	156705961	156705988	28	*	CRABP2	106	8	98	41	2	39
chr16	1612987	1613012	26	*	CRAMP1	86	1	85	45	0	45
chr5	173056114	173056114	1	*	CREBRF	14	0	14	10	0	10
chr7	30681986	30682002	17	*	CRHR2	39	37	2	31	23	8
chr2	46617192	46617192	1	*	CRIPT	15	0	15	10	0	10
chr16	84819248	84819248	1	*	CRISPLD2	25	8	17	11	3	8
chr4	5890327	5890327	1	*	CRMP1	20	16	4	10	10	0
chr1	16630364	16630386	23	*	CROCCP2	101	97	4	25	17	8
chr12	107093635	107093635	1	*	CRY1	24	0	24	10	0	10
chr3	97821853	97821853	1	*	CRYBG3	26	0	26	10	0	10
chr10	43137878	43137878	1	*	CSGALNACT2	23	0	23	10	0	10
chr17	82273498	82273504	7	*	CSNK1D	43	0	43	20	0	20
chr19	1940473	1940473	1	*	CSNK1G2	28	0	28	10	0	10
chr15	75713785	75713785	1	*	CSPG4	21	21	0	11	10	1
chr2	222318273	222318273	1	*	CT75	15	0	15	10	0	10
chr10	125160108	125160108	1	*	CTBP2	10	0	10	11	0	11
chr16	67561982	67561996	15	*	CTCF-DT	82	1	81	30	0	30
chr20	37694292	37694292	1	*	CTNNBL1	10	0	10	10	0	10
chr11	65879083	65879083	1	*	CTSW	38	17	21	15	8	7
chr11	107457717	107457717	1	*	CWF19L2	20	0	20	10	0	10
chr18	50287466	50287487	22	*	CXXC1	133	1	132	37	0	37
chr1	109494558	109494564	7	*	CYB561D1	30	2	28	20	0	20
chr17	82450356	82450356	1	*	CYBC1	10	0	10	12	0	12
chr7	25125316	25125321	6	*	CYCS	64	1	63	20	0	20
chr15	22979921	22979945	25	*	CYFIP1	26	1	25	22	0	22
chr17	76538368	76538551	184	*	CYGB	134	48	86	45	11	34
chr16	50741785	50741787	3	*	CYLD	38	0	38	21	0	21
chr10	93072554	93074592	2039	*	CYP26A1	199	47	152	86	12	74
chr19	40891098	40891098	1	*	CYP2G1P	10	10	0	11	10	1
chr19	48469656	48469676	21	*	CYTH2	57	1	56	20	0	20
chr7	6448335	6448360	26	*	DAGLB	123	0	123	46	0	46
chr2	158795611	158795611	1	*	DAPL1	17	1	16	13	0	13
chr6	33323040	33323065	26	*	DAXX	75	0	75	45	0	45
chr12	51238587	51238587	1	*	DAZAP2	15	0	15	10	0	10
chr2	119367098	119367126	29	*	DBI	123	1	122	50	0	50
chr2	171434309	171434323	15	*	DCAF17	59	0	59	31	0	31
chr1	113905180	113905180	1	*	DCLRE1B	23	0	23	10	0	10
chr4	182917992	182918002	11	*	DCTD	30	0	30	20	0	20
chr9	34620576	34620576	1	*	DCTN3	28	0	28	12	0	12
chr16	30429204	30429204	1	*	DCTPP1	23	1	22	10	0	10
chr13	113490335	113490357	23	*	DCUN1D2	29	1	28	21	0	21
chr1	85464376	85464400	25	*	DDAH1	76	16	60	51	13	38
chr1	15618331	15618331	1	*	DDI2	16	0	16	10	0	10
chr12	57520932	57520941	10	*	DDIT3	56	0	56	21	0	21
chr4	100190813	100190813	1	*	DDIT4L	15	8	7	10	6	4
chr12	48997937	48997949	13	*	DDN-AS1	35	3	32	22	1	21
chr1	20662042	20662042	1	*	DDOST	25	0	25	13	0	13
chr2	113601833	113601833	1	*	DDX11L2	19	18	1	10	8	2
chr22	38506256	38506277	22	*	DDX17	45	0	45	30	0	30
chr16	70346864	70346864	1	*	DDX19A	14	0	14	10	0	10
chr16	68023185	68023191	7	*	DDX28	51	0	51	20	0	20
chr10	68900966	68900969	4	*	DDX50	46	0	46	23	0	23
chr7	44573614	44573640	27	*	DDX56	98	0	98	32	0	32
chr19	42219939	42219966	28	*	DEDD2	39	0	39	21	0	21
chr5	141923639	141923653	15	*	DELE1	54	0	54	31	0	31
chr11	8871483	8871493	11	*	DENND2B	37	36	1	20	14	6
chr11	33016169	33016322	154	*	DEPDC7	93	0	93	41	5	36
chr8	144326859	144326863	5	*	DGAT1	32	0	32	20	0	20
chr22	20319804	20319816	13	*	DGCR6L	52	0	52	20	0	20
chr12	55932089	55932106	18	*	DGKA	45	1	44	31	0	31
chr13	42047957	42047988	32	*	DGKH	72	11	61	43	7	36
chr1	12618404	12618423	20	*	DHRS3	81	0	81	57	0	57
chr3	47802651	47802672	22	*	DHX30	78	0	78	32	0	32
chr12	124988717	124988717	1	*	DHX37	25	0	25	11	0	11
chr1	182839009	182839029	21	*	DHX9	50	2	48	22	3	19
chr6	36677723	36677723	1	*	DINOL	23	2	21	10	1	9
chr18	74456644	74458015	1372	*	DIPK1C	164	64	100	63	29	34
chr3	143972499	143972525	27	*	DIPK2A	99	1	98	41	0	41
chr13	50125976	50125992	17	*	DLEU2	66	0	66	30	0	30
chr3	197298594	197298594	1	*	DLG1	15	0	15	10	0	10
chr18	3603663	3603663	1	*	DLGAP1-AS2	40	0	40	15	0	15
chr18	3878918	3878927	10	*	DLGAP1-AS3	66	64	2	22	21	1
chr18	4265074	4265074	1	*	DLGAP1-AS5	14	3	11	10	4	6
chr2	172084956	172086459	1504	*	DLX1	106	8	98	46	2	44
chr17	49994694	49994694	1	*	DLX3	37	6	31	10	1	9
chr17	49968549	49968549	1	*	DLX4	14	0	14	11	0	11
chr5	119069971	119069971	1	*	DMXL1-DT	36	23	13	18	6	12
chr2	68157594	68157594	1	*	DNAAF10	18	0	18	10	0	10
chr7	21543217	21543217	1	*	DNAH11	14	2	12	10	1	9
chr3	186570648	186570651	4	*	DNAJB11	31	0	31	22	0	22
chr2	219279256	219279284	29	*	DNAJB2	58	0	58	33	0	33
chr12	49347382	49347749	368	*	DNAJC22	85	1	84	53	0	53
chr11	64230631	64230631	1	*	DNAJC4	22	0	22	10	0	10
chr1	28233018	28233018	1	*	DNAJC8	13	0	13	10	0	10
chr10	73247365	73247382	18	*	DNAJC9-AS1	66	0	66	45	0	45
chr11	119101698	119101698	1	*	DPAGT1	25	0	25	10	0	10
chr16	67998647	67998647	1	*	DPEP2	32	22	10	10	3	7
chr5	31532069	31532081	13	*	DROSHA	113	0	113	47	0	47
chr6	116370513	116370522	10	*	DSE	63	20	43	22	0	22
chr18	67516122	67516149	28	*	DSEL-AS1	135	5	130	54	3	51
chr6	56851779	56851779	1	*	DST	21	0	21	11	2	9
chr18	34494108	34494124	17	*	DTNA	141	0	141	68	0	68
chr2	25673035	25673058	24	*	DTNB	55	0	55	41	2	39
chr2	73780294	73780294	1	*	DUSP11	16	0	16	10	0	10
chr10	75099449	75099449	1	*	DUSP13	14	0	14	10	0	10
chr6	291883	291904	22	*	DUSP22	54	11	43	24	2	22
chr10	110497440	110497449	10	*	DUSP5	28	7	21	24	9	15
chr3	32571167	32571167	1	*	DYNC1LI1	31	0	31	10	0	10
chr12	120496566	120496586	21	*	DYNLL1	122	0	122	68	0	68
chr1	66751534	66751534	1	*	DYNLT5	30	9	21	10	4	6
chr2	71466364	71466391	28	*	DYSF	54	17	37	30	12	18
chr9	111483112	111483123	12	*	ECPAS	40	0	40	30	0	30
chr10	124792478	124792478	1	*	EEF1AKMT2	31	0	31	11	0	11
chr12	57772748	57772759	12	*	EEF1AKMT3	38	0	38	20	0	20
chr6	8102499	8102517	19	*	EEF1E1	86	1	85	33	0	33
chr6	8102648	8102652	5	*	EEF1E1-BLOC1S5	109	0	109	30	0	30
chr11	62574241	62574241	1	*	EEF1G	10	0	10	10	0	10
chr19	3984813	3984818	6	*	EEF2	40	0	40	21	1	20
chr13	106536556	106536567	12	*	EFNB2	60	1	59	24	0	24
chr19	39540138	39540145	8	*	EID2	50	0	50	25	0	25
chr17	41689612	41689626	15	*	EIF1	22	0	22	21	0	21
chr10	119079842	119079842	1	*	EIF3A	20	0	20	10	0	10
chr17	80147722	80147743	22	*	EIF4A3	65	1	64	46	2	44
chr4	98929207	98929513	307	*	EIF4E	47	0	47	23	0	23
chr2	232551369	232551374	6	*	EIF4E2	40	1	39	23	0	23
chr7	74174458	74174485	28	*	EIF4H	153	0	153	55	0	55
chr2	3377929	3377953	25	*	EIPR1	57	1	56	20	0	20
chr7	55254723	55254741	19	*	ELDR	78	32	46	33	11	22
chr4	139083920	139083926	7	*	ELF2	39	0	39	20	0	20
chr1	202010604	202010604	1	*	ELF3	19	18	1	10	4	6
chr7	74028763	74028763	1	*	ELN	36	2	34	10	0	10
chr1	23744223	23744236	14	*	ELOA	36	2	34	21	0	21
chr18	47034834	47035296	463	*	ELOA2	122	109	13	53	46	7
chr18	36129964	36130709	746	*	ELP2	82	0	82	30	0	30
chr8	28093082	28093108	27	*	ELP3	27	0	27	20	0	20
chr18	2846392	2847947	1556	*	EMILIN2	232	7	225	68	3	65
chr19	45640030	45640042	13	*	EML2	22	20	2	21	17	4
