chr	start	end	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	logFC	p_value
chr3	179290480	179290529	2350541:Retroposon:SVA_D	0	-	179290480	179290529	0	1	50	0	20.9861648603138	2.29546328467389e-06
chr3	197731149	197731198	2364533:Retroposon:SVA_D	0	-	197731149	197731198	0	1	50	0	5.03695260240426	7.89596594774623e-08
chr3	122746676	122746725	2445116:Retroposon:SVA_D	0	+	122746676	122746725	0	1	50	0	4.21950770517611	0.00585703314401587
chr4	44181707	44181756	2643972:Retroposon:SVA_C	0	+	44181707	44181756	0	1	50	0	5.53733426701855	0.000561977227281574
chr4	48186920	48186969	2646456:Retroposon:SVA_B	0	+	48186920	48186969	0	1	50	0	4.03424064167636	0.00013422284724296
chr1	172572217	172572266	284284:Retroposon:SVA_D	0	+	172572217	172572266	0	1	50	0	4.33729074067147	5.49135565675041e-06
chr5	80301051	80301100	2892738:Retroposon:SVA_D	0	+	80301051	80301100	0	1	50	0	1.48664233495417	0.000300714805712809
chr5	176433113	176433162	2956919:Retroposon:SVA_F	0	+	176433113	176433162	0	1	50	0	5.27811465923052	0.00090191161823816
chr6	32384626	32384675	2983702:Retroposon:SVA_D	0	-	32384626	32384675	0	1	50	0	3.95124371980872	0.000793595504596234
chr6	58257792	58257841	3110654:Retroposon:SVA_C	0	+	58257792	58257841	0	1	50	0	-2.33367568006408	0.000148322320211669
chr1	34967243	34967292	31117:Retroposon:SVA_D	0	-	34967243	34967292	0	1	50	0	5.21493575759961	4.5370773249509e-08
chr7	32754301	32754350	3199465:Retroposon:SVA_B	0	+	32754301	32754350	0	1	50	0	1.5234954826334	0.0013532262011694
chr7	64718441	64718490	3217276:Retroposon:SVA_D	0	+	64718441	64718490	0	1	50	0	2.397895272789	0.00116669521064128
chr8	67310789	67310838	3430606:Retroposon:SVA_C	0	+	67310789	67310838	0	1	50	0	4.74493213210274	0.000113925724999575
chr8	58675985	58676034	3520586:Retroposon:SVA_D	0	-	58675985	58676034	0	1	50	0	4.92725368514784	6.81739061869635e-08
chr10	32234073	32234122	358782:Retroposon:SVA_B	0	-	32234073	32234122	0	1	50	0	5.58724865840026	0.00051278742573424
chr9	16976923	16976972	3589012:Retroposon:SVA_D	0	-	16976923	16976972	0	1	50	0	5.08759633522302	1.18377160962524e-07
chr9	35183406	35183455	3600425:Retroposon:SVA_A	0	-	35183406	35183455	0	1	50	0	5.61677109766659	0.000485709685139835
chr9	72850833	72850882	3613356:Retroposon:SVA_F	0	-	72850833	72850882	0	1	50	0	4.77068462446567	0.00224230483289833
chr10	45330456	45330505	366187:Retroposon:SVA_D	0	-	45330456	45330505	0	1	50	0	3.46573590279973	0.007079271095774
chr9	86311868	86311917	3707463:Retroposon:SVA_D	0	+	86311868	86311917	0	1	50	0	4.24849524204936	0.00178236790959496
chr9	97796273	97796322	3715355:Retroposon:SVA_D	0	+	97796273	97796322	0	1	50	0	-3.26766598876541	9.07037506474584e-05
chr1	45765358	45765407	40874:Retroposon:SVA_B	0	-	45765358	45765407	0	1	50	0	-3.3787245258101	0.00592266634571825
chr10	122202845	122202894	421041:Retroposon:SVA_D	0	-	122202845	122202894	0	1	50	0	21.3098814858656	4.1320300805392e-06
chr10	87080708	87080757	485154:Retroposon:SVA_D	0	+	87080708	87080757	0	1	50	0	5.393627546343	1.16001129413235e-06
chr10	93970508	93970557	490378:Retroposon:SVA_D	0	+	93970508	93970557	0	1	50	0	2.44234703536926	0.000405069035451233
chr10	103607663	103607712	498209:Retroposon:SVA_D	0	+	103607663	103607712	0	1	50	0	3.1986731184885	0.00105189927417893
chr11	4335041	4335090	520079:Retroposon:SVA_B	0	-	4335041	4335090	0	1	50	0	4.14313472639153	0.00667128131265793
chr11	61166044	61166093	556481:Retroposon:SVA_D	0	-	61166044	61166093	0	1	50	0	-3.97029191355212	0.00327086464824933
chr11	76933568	76933617	569864:Retroposon:SVA_D	0	-	76933568	76933617	0	1	50	0	6.06378520868761	0.000212327382968725
chr11	4282868	4282917	612414:Retroposon:SVA_B	0	+	4282868	4282917	0	1	50	0	4.14313472639153	0.00667128131265793
chr11	78879927	78879976	664348:Retroposon:SVA_A	0	+	78879927	78879976	0	1	50	0	4.53259949315325	0.0034090941011462
chr1	89797655	89797704	73444:Retroposon:SVA_F	0	-	89797655	89797704	0	1	50	0	5.27299955856374	0.00091033213844316
chr12	57495377	57495426	740219:Retroposon:SVA_B	0	-	57495377	57495426	0	1	50	0	23.1743872698453	0.00071508426900091
chr12	111507732	111507781	874694:Retroposon:SVA_D	0	+	111507732	111507781	0	1	50	0	3.09104245334898	0.00181818864966887
chr1	117300498	117300547	91731:Retroposon:SVA_B	0	-	117300498	117300547	0	1	50	0	-3.76120011569369	0.00748729983980123
