chr	start	end	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	logFC	p_value	ensembl
chr11	3360355	3360404	ZNF195	0	-	3360355	3360404	0	1	49	0	-0.564241856324702	0.000785967490891881	ENSG00000005801.18
chr13	77007624	77007673	FBXL3	0	-	77007624	77007673	0	1	49	0	5.11799381225573	1.52489592508687e-07	ENSG00000005812.11
chrX	24207386	24207435	ZFX	0	+	24207386	24207435	0	1	49	0	-0.804372815670168	0.000978760319264916	ENSG00000005889.15
chr17	35723667	35723716	AP2B1	0	+	35723667	35723716	0	1	49	0	1.64750986033299	0.0040528112516206	ENSG00000006125.18
chr16	3289538	3289587	ZNF263	0	+	3289538	3289587	0	1	49	0	1.3721764795741	0.00126356839192232	ENSG00000006194.10
chr11	68028187	68028236	ALDH3B1	0	+	68028187	68028236	0	1	49	0	-0.80349523772881	0.00270007774043102	ENSG00000006534.16
chr7	87907706	87907755	DBF4	0	+	87907706	87907755	0	1	49	0	-0.727490401760097	0.000445364420838978	ENSG00000006634.8
chr19	39386179	39386228	PAF1	0	-	39386179	39386228	0	1	49	0	1.06635142649319	0.000182994930118974	ENSG00000006712.15
chr19	39386429	39386478	PAF1	0	-	39386429	39386478	0	1	49	0	1.00680473941499	0.000382981080234379	ENSG00000006712.15
chrX	2905068	2905117	ARSD	0	-	2905068	2905117	0	1	49	0	4.79579054559673	0.00214463998310832	ENSG00000006756.16
chr17	28633963	28634012	KIAA0100	0	-	28633963	28634012	0	1	49	0	-6.72743172484149	0.000474111416210787	ENSG00000007202.15
chr17	28634593	28634642	KIAA0100	0	-	28634593	28634642	0	1	49	0	2.0193376176476	0.00215351325073809	ENSG00000007202.15
chr17	28635491	28635540	KIAA0100	0	-	28635491	28635540	0	1	49	0	-2.60268968544438	4.71636283667642e-05	ENSG00000007202.15
chr19	3778070	3778119	MATK	0	-	3778070	3778119	0	1	49	0	2.29192238724926	0.000358500453891852	ENSG00000007264.15
chr16	785716	785765	RPUSD1	0	-	785716	785765	0	1	49	0	1.01968967071885	0.000205879537344522	ENSG00000007376.8
chr16	785963	786012	RPUSD1	0	-	785963	786012	0	1	49	0	-0.53143265373265	0.00115663618496487	ENSG00000007376.8
chr16	1674461	1674510	CRAMP1	0	+	1674461	1674510	0	1	49	0	-2.91568956588045	0.000883710079001343	ENSG00000007545.16
chr16	1674760	1674809	CRAMP1	0	+	1674760	1674809	0	1	49	0	-2.49192422244665	2.55663990539334e-05	ENSG00000007545.16
chr1	6634467	6634516	DNAJC11	0	-	6634467	6634516	0	1	49	0	0.754791343671151	0.000849416469211217	ENSG00000007923.16
chr1	23509765	23509814	E2F2	0	-	23509765	23509814	0	1	49	0	1.48727027845989	0.000414702259462052	ENSG00000007968.7
chr6	15496194	15496243	JARID2	0	+	15496194	15496243	0	1	49	0	-1.14896617481373	0.000191703925853104	ENSG00000008083.14
chr6	15501028	15501077	JARID2	0	+	15501028	15501077	0	1	49	0	0.568830777707334	0.00367823512951992	ENSG00000008083.14
chr1	1719219	1719268	CDK11A	0	-	1719219	1719268	0	1	49	0	3.83945231259331	0.00369373276347562	ENSG00000008128.23
chr8	133458727	133458776	ST3GAL1	0	-	133458727	133458776	0	1	49	0	4.61512051683903	3.45513215067594e-05	ENSG00000008513.16
chr16	3059128	3059177	MMP25	0	+	3059128	3059177	0	1	49	0	3.38439026318475	3.1227758937602e-06	ENSG00000008516.17
chr16	2108391	2108440	PKD1	0	-	2108391	2108440	0	1	49	0	1.410835470036	0.00254424431578981	ENSG00000008710.20
chr16	2111239	2111288	PKD1	0	-	2111239	2111288	0	1	49	0	1.2668891598416	0.00213937755833249	ENSG00000008710.20
chr16	2118052	2118101	PKD1	0	-	2118052	2118101	0	1	49	0	5.11198778834717	2.52801052846863e-06	ENSG00000008710.20
chr8	23018460	23018509	RHOBTB2	0	+	23018460	23018509	0	1	49	0	-1.05455229887408	0.00137047417268832	ENSG00000008853.17
chr3	169988356	169992639	SEC62	0	+	169988356	169992639	0	2	4,46	0,4238	-3.80666248925057	0.000414568345597388	ENSG00000008952.17
chr3	169993138	169993187	SEC62	0	+	169993138	169993187	0	1	49	0	-0.824891262610373	0.00127123743808555	ENSG00000008952.17
chr6	111367293	111367342	REV3L	0	-	111367293	111367342	0	1	49	0	-2.07047287169709	0.000571954125081708	ENSG00000009413.16
chr6	111373457	111373506	REV3L	0	-	111373457	111373506	0	1	49	0	-2.47951580116238	0.00158385170304765	ENSG00000009413.16
chr6	142218720	142218769	VTA1	0	+	142218720	142218769	0	1	49	0	5.48479693348129	2.32479674511232e-07	ENSG00000009844.16
chr7	73469611	73470354	BAZ1B	0	-	73469611	73470354	0	2	40,10	0,734	4.68675017298052	0.000803703174849235	ENSG00000009954.11
chr7	73477733	73477782	BAZ1B	0	-	73477733	73477782	0	1	49	0	1.01160091167847	0.00407546071395171	ENSG00000009954.11
chr1	231352642	231352691	SPRTN	0	+	231352642	231352691	0	1	49	0	-0.630408839926523	0.00252140356101294	ENSG00000010072.16
chr1	171784224	171784273	EEF1AKNMT	0	+	171784224	171784273	0	1	49	0	-6.24027584516141	0.00286885739606957	ENSG00000010165.20
chr12	6494053	6494119	NCAPD2	0	+	6494053	6494119	0	2	23,27	0,40	4.91998092581878	6.44368164548492e-06	ENSG00000010292.13
chr12	6521042	6521091	NCAPD2	0	+	6521042	6521091	0	1	49	0	-2.27083639467947	1.54403403865855e-05	ENSG00000010292.13
chr3	52411303	52412823	PHF7	0	+	52411303	52412823	0	2	37,13	0,1508	-0.731348922785608	0.00403575738742656	ENSG00000010318.21
chr3	52481411	52481460	NISCH	0	+	52481411	52481460	0	1	49	0	5.57972982597685	5.48584722093182e-09	ENSG00000010322.16
chr3	52487867	52487916	NISCH	0	+	52487867	52487916	0	1	49	0	1.62924053973062	0.00188314745144369	ENSG00000010322.16
chr1	23751667	23751716	ELOA	0	+	23751667	23751716	0	1	49	0	-1.08576738217964	0.000147260215233258	ENSG00000011007.12
chr1	23759714	23759813	ELOA	0	+	23759714	23759813	0	1	99	0	3.49650756145711	1.26891540650762e-06	ENSG00000011007.12
chr17	62693498	62693547	MRC2	0	+	62693498	62693547	0	1	49	0	4.57471097850338	0.0031669971077346	ENSG00000011028.14
chr14	93242742	93242791	BTBD7	0	-	93242742	93242791	0	1	49	0	-1.84045995139039	0.00424922650311865	ENSG00000011114.15
chr19	810931	810980	PTBP1	0	+	810931	810980	0	1	49	0	-1.40722757078636	9.88605152474341e-05	ENSG00000011304.20
chr19	811280	811329	PTBP1	0	+	811280	811329	0	1	49	0	-1.32350868880973	0.00080056011005003	ENSG00000011304.20
chr19	43661520	43665130	PLAUR	0	-	43661520	43665130	0	2	29,21	0,3590	4.47733681431718	1.28507918761844e-06	ENSG00000011422.12
chr2	65072456	65072505	CEP68	0	+	65072456	65072505	0	1	49	0	-0.916290731874154	0.00280492442113001	ENSG00000011523.14
chr17	43093483	43093532	BRCA1	0	-	43093483	43093532	0	1	49	0	4.77912349311153	0.00220901947627705	ENSG00000012048.23
chrX	21856912	21856961	MBTPS2	0	+	21856912	21856961	0	1	49	0	3.98898404656406	0.000900968681113778	ENSG00000012174.12
chrX	21857112	21857161	MBTPS2	0	+	21857112	21857161	0	1	49	0	0.60602971964335	0.00128120790404618	ENSG00000012174.12
chrX	49175691	49175740	PRICKLE3	0	-	49175691	49175740	0	1	49	0	1.90768893623512	0.000103100398038292	ENSG00000012211.13
chrX	49175790	49175839	PRICKLE3	0	-	49175790	49175839	0	1	49	0	-1.23317195901126	7.80780998875797e-05	ENSG00000012211.13
chr8	28718008	28718057	EXTL3	0	+	28718008	28718057	0	1	49	0	4.99043258676937	1.07254215619967e-07	ENSG00000012232.9
chr14	76788997	76789046	ANGEL1	0	-	76788997	76789046	0	1	49	0	6.08677472690294	4.06627232996115e-08	ENSG00000013523.11
chr12	31104551	31104600	DDX11	0	+	31104551	31104600	0	1	49	0	-0.896088024556636	0.000431809871928812	ENSG00000013573.17
chr4	1728285	1728334	TACC3	0	+	1728285	1728334	0	1	49	0	-1.44828603715132	0.0044925065631749	ENSG00000013810.19
chr4	1730846	1730895	TACC3	0	+	1730846	1730895	0	1	49	0	-0.626904791226198	0.000745415845385455	ENSG00000013810.19
chr3	132368100	132368149	ACP3	0	+	132368100	132368149	0	1	49	0	0.557176491903863	0.00344065579591446	ENSG00000014257.16
chr14	91309933	91309982	CCDC88C	0	-	91309933	91309982	0	1	49	0	-4.96981329956663	0.000262568631056115	ENSG00000015133.19
chr5	139307790	139307839	MATR3	0	+	139307790	139307839	0	1	49	0	0.835129187673773	0.0011352244989884	ENSG00000015479.19
chr5	139322948	139325325	MATR3	0	+	139322948	139325325	0	2	20,30	0,2348	-1.35260051533342	0.000484247579780495	ENSG00000015479.19
chr2	109836124	109836223	RGPD5	0	+	109836124	109836223	0	1	99	0	4.57471097850343	3.05488430869528e-11	ENSG00000015568.13
chr2	109836774	109836823	RGPD5	0	+	109836774	109836823	0	1	49	0	3.41772668358225	9.36388554473312e-08	ENSG00000015568.13
chr2	109837323	109837372	RGPD5	0	+	109837323	109837372	0	1	49	0	5.60947179517558	3.63814710580002e-08	ENSG00000015568.13
chr7	44385065	44385114	NUDCD3	0	-	44385065	44385114	0	1	49	0	-1.06305298663162	0.000474706353600806	ENSG00000015676.18
chr3	52694886	52694935	GLT8D1	0	-	52694886	52694935	0	1	49	0	3.17805383007573	0.00054782750768112	ENSG00000016864.18
chr3	52694986	52695035	GLT8D1	0	-	52694986	52695035	0	1	49	0	-1.48456458255283	0.00327774763457622	ENSG00000016864.18
chrX	48469463	48469512	SLC38A5	0	-	48469463	48469512	0	1	49	0	4.11087386436968	2.11663751559232e-06	ENSG00000017483.15
chr18	9517099	9517248	RALBP1	0	+	9517099	9517248	0	1	149	0	-0.613161160622032	8.40572261746223e-07	ENSG00000017797.13
chr18	9524639	9524688	RALBP1	0	+	9524639	9524688	0	1	49	0	-0.757372415600249	0.000675860776279458	ENSG00000017797.13
chr7	81751468	81751517	HGF	0	-	81751468	81751517	0	1	49	0	-1.15894027726934	0.00119000688110194	ENSG00000019991.18
chr10	124942922	124942971	ZRANB1	0	+	124942922	124942971	0	1	49	0	-0.766234223579559	0.00140037816014582	ENSG00000019995.6
chr10	124966757	124971989	ZRANB1	0	+	124966757	124971989	0	2	25,25	0,5208	-1.61812732264826	0.000396523388510261	ENSG00000019995.6
chr20	52084140	52084189	ZFP64	0	-	52084140	52084189	0	1	49	0	-0.88358237212807	0.000452782761578008	ENSG00000020256.20
chr1	24902095	24902144	RUNX3	0	-	24902095	24902144	0	1	49	0	-0.508605867028017	0.00122847298551965	ENSG00000020633.18
chr6	2841339	2841388	SERPINB1	0	-	2841339	2841388	0	1	49	0	0.986494990547402	0.00256504825260373	ENSG00000021355.13
chr8	141211495	141211544	SLC45A4	0	-	141211495	141211544	0	1	49	0	4.59005654801702	3.0547909757317e-08	ENSG00000022567.9
chr8	52656175	52656224	RB1CC1	0	-	52656175	52656224	0	1	49	0	1.86801190077593	0.00304161075986431	ENSG00000023287.13
chr8	52657369	52657418	RB1CC1	0	-	52657369	52657418	0	1	49	0	-1.28896601715937	0.0040473828903812	ENSG00000023287.13
chr8	52673979	52674028	RB1CC1	0	-	52673979	52674028	0	1	49	0	4.18205014297331	4.04429645503024e-05	ENSG00000023287.13
chr1	150158912	150158961	PLEKHO1	0	+	150158912	150158961	0	1	49	0	4.41884060778724	2.65381309836332e-05	ENSG00000023902.14
chr1	150159211	150159260	PLEKHO1	0	+	150159211	150159260	0	1	49	0	-1.03489647431404	0.000239011703020986	ENSG00000023902.14
chr6	42564312	42564361	UBR2	0	+	42564312	42564361	0	1	49	0	5.00394630594545	0.0014793526464042	ENSG00000024048.10
chr6	89367563	89367612	RRAGD	0	-	89367563	89367612	0	1	49	0	4.89034912822176	0.00181263476302296	ENSG00000025039.15
chr1	32176067	32176116	KPNA6	0	+	32176067	32176116	0	1	49	0	4.24132675240973	1.21229826699487e-06	ENSG00000025800.14
chr1	32176166	32176215	KPNA6	0	+	32176166	32176215	0	1	49	0	-1.5161694425413	0.000109782837678152	ENSG00000025800.14
chr1	32176315	32176364	KPNA6	0	+	32176315	32176364	0	1	49	0	1.20500055364559	0.000265329459576802	ENSG00000025800.14
chr6	26413961	26414010	BTN3A1	0	+	26413961	26414010	0	1	49	0	-2.26777568833293	0.00146924655826586	ENSG00000026950.17
chr5	177609783	177609832	B4GALT7	0	+	177609783	177609832	0	1	49	0	1.81263705425107	0.00249175020205572	ENSG00000027847.14
chr1	12207390	12207439	TNFRSF1B	0	+	12207390	12207439	0	1	49	0	-2.36907483515875	0.00289879070032883	ENSG00000028137.19
chr19	42089749	42089798	POU2F2	0	-	42089749	42089798	0	1	49	0	5.42495001747204	6.54949793399417e-07	ENSG00000028277.21
chr19	42090995	42091044	POU2F2	0	-	42090995	42091044	0	1	49	0	-3.87120101074687	0.00212218243104001	ENSG00000028277.21
chr5	864129	864178	BRD9	0	-	864129	864178	0	1	49	0	-1.58002402722499	0.00138529637902396	ENSG00000028310.18
chr6	136276061	136276110	BCLAF1	0	-	136276061	136276110	0	1	49	0	-5.52942908750206	0.00271156754110757	ENSG00000029363.17
chr17	5335204	5335253	RABEP1	0	+	5335204	5335253	0	1	49	0	5.10594547390058	0.001231486751606	ENSG00000029725.17
chr2	213007435	213007484	IKZF2	0	-	213007435	213007484	0	1	49	0	2.55460349875658	3.16686018242418e-06	ENSG00000030419.16
chr5	137939500	137939549	FAM13B	0	-	137939500	137939549	0	1	49	0	1.25651531811021	0.00416248401021923	ENSG00000031003.10
chr19	5918600	5920902	RANBP3	0	-	5918600	5920902	0	2	39,11	0,2292	1.56064774822586	0.00435619031799783	ENSG00000031823.14
chr14	58364355	58364404	ARID4A	0	+	58364355	58364404	0	1	49	0	0.646000402134241	0.00102577078397514	ENSG00000032219.19
chr7	151233874	151233923	CHPF2	0	+	151233874	151233923	0	1	49	0	-6.08904487543748	0.00306844897498537	ENSG00000033100.16
chr7	151235241	151235290	CHPF2	0	+	151235241	151235290	0	1	49	0	-1.44130099063213	0.00187193504816829	ENSG00000033100.16
chr14	65742328	65742377	FUT8	0	+	65742328	65742377	0	1	49	0	-1.7773707317748	0.000573250972345063	ENSG00000033170.17
chr11	78218631	78218680	GAB2	0	-	78218631	78218680	0	1	49	0	-0.826058546296773	0.00241961821205883	ENSG00000033327.13
chr3	131025084	131025133	ASTE1	0	-	131025084	131025133	0	1	49	0	0.911400746579965	0.000593450382919691	ENSG00000034533.11
chr2	224474184	224474233	CUL3	0	-	224474184	224474233	0	1	49	0	1.13684386627701	0.00312868227491225	ENSG00000036257.13
chr1	77566096	77566145	AC118549.1	0	-	77566096	77566145	0	1	49	0	-5.35894198820345	0.00110968474682072	ENSG00000036549.13
chr1	77584629	77584789	AC118549.1	0	-	77584629	77584789	0	2	27,23	0,138	-0.571713993441002	0.00150379884335938	ENSG00000036549.13
chr5	6599735	6599784	NSUN2	0	-	6599735	6599784	0	1	49	0	1.02813021362969	8.98591496490963e-05	ENSG00000037474.15
chr5	6600082	6600131	NSUN2	0	-	6600082	6600131	0	1	49	0	0.761200643804962	0.00175656001860025	ENSG00000037474.15
chr1	16251270	16251319	FBXO42	0	-	16251270	16251319	0	1	49	0	-2.88106936324515	0.00269542302515147	ENSG00000037637.11
chr5	154053148	154053247	MFAP3	0	+	154053148	154053247	0	1	99	0	1.94591014905576	4.95687977938046e-07	ENSG00000037749.12
chr5	154053348	154053397	MFAP3	0	+	154053348	154053397	0	1	49	0	1.08498345761333	0.00010410316036491	ENSG00000037749.12
chr4	13597116	13597165	BOD1L1	0	-	13597116	13597165	0	1	49	0	-1.18023652442711	0.000900807764904976	ENSG00000038219.13
chr4	13599342	13599391	BOD1L1	0	-	13599342	13599391	0	1	49	0	0.529314896444881	0.00137444147399979	ENSG00000038219.13
chr4	13599542	13599591	BOD1L1	0	-	13599542	13599591	0	1	49	0	1.26275152637888	0.000294654324519805	ENSG00000038219.13
chr4	13602734	13602783	BOD1L1	0	-	13602734	13602783	0	1	49	0	-1.42486663591993	8.35462325337045e-05	ENSG00000038219.13
chr4	13604979	13605028	BOD1L1	0	-	13604979	13605028	0	1	49	0	4.86753445044622	1.79465266092471e-06	ENSG00000038219.13
chr16	11179044	11179093	CLEC16A	0	+	11179044	11179093	0	1	49	0	-0.598903505010716	0.000712645780807208	ENSG00000038532.16
chr3	194642028	194642127	LSG1	0	-	194642028	194642127	0	1	99	0	-1.45315730634907	8.54505724724976e-05	ENSG00000041802.11
chr1	6632998	6633047	THAP3	0	+	6632998	6633047	0	1	49	0	4.60517018597873	1.96531060792093e-06	ENSG00000041988.15
chr14	89963332	89963381	TDP1	0	+	89963332	89963381	0	1	49	0	1.28275368217913	0.004409609711167	ENSG00000042088.14
chr3	182944938	182944987	DCUN1D1	0	-	182944938	182944987	0	1	49	0	0.919077542781333	0.00235814233376141	ENSG00000043093.15
chr5	134566401	134566450	JADE2	0	+	134566401	134566450	0	1	49	0	5.85793315447413	4.02867863069645e-07	ENSG00000043143.20
chrX	18893098	18893147	PHKA2	0	-	18893098	18893147	0	1	49	0	0.832344310720147	0.00103587333077593	ENSG00000044446.12
chr9	125236640	125236689	HSPA5	0	-	125236640	125236689	0	1	49	0	1.5121390014473	0.000147755827828222	ENSG00000044574.8
chr15	52609467	52609516	FAM214A	0	-	52609467	52609516	0	1	49	0	1.20320327753741	9.35386461665688e-05	ENSG00000047346.12
chr3	47911456	47911505	MAP4	0	-	47911456	47911505	0	1	49	0	3.5189804163284	0.00346808574077684	ENSG00000047849.21
chr3	47911856	47911905	MAP4	0	-	47911856	47911905	0	1	49	0	-0.880860294894654	0.000240647243935465	ENSG00000047849.21
chr3	47916411	47916460	MAP4	0	-	47916411	47916460	0	1	49	0	-0.519075523238135	0.00100153951437409	ENSG00000047849.21
chr3	47916511	47916560	MAP4	0	-	47916511	47916560	0	1	49	0	-0.557106376329997	0.00377345670536599	ENSG00000047849.21
chr3	47917011	47917060	MAP4	0	-	47917011	47917060	0	1	49	0	-1.28230464761204	0.000140713598189235	ENSG00000047849.21
chr7	127374261	127374310	ZNF800	0	-	127374261	127374310	0	1	49	0	1.66162366561009	0.0042857009375874	ENSG00000048405.10
chr16	12569488	12569537	SNX29	0	+	12569488	12569537	0	1	49	0	-0.924387942106772	0.00273549221338532	ENSG00000048471.14
chr11	77666942	77666991	RSF1	0	-	77666942	77666991	0	1	49	0	2.12254664203913	0.00194529897636797	ENSG00000048649.13
chr1	12277045	12277094	VPS13D	0	+	12277045	12277094	0	1	49	0	-0.555107891496232	0.0040339131778584	ENSG00000048707.15
chr9	93564514	93564563	FAM120A	0	+	93564514	93564563	0	1	49	0	-0.522060754942729	0.00308885511237655	ENSG00000048828.17
chr1	7777240	7777289	VAMP3	0	+	7777240	7777289	0	1	49	0	-1.51736854880148	0.00279021973945171	ENSG00000049245.13
chr1	7781234	7781283	VAMP3	0	+	7781234	7781283	0	1	49	0	2.01490302054226	5.63954496086705e-05	ENSG00000049245.13
chr6	156777805	156777854	ARID1B	0	+	156777805	156777854	0	1	49	0	2.46809953001707	0.000921010025269675	ENSG00000049618.24
chr7	144362991	144363040	ARHGEF5	0	+	144362991	144363040	0	1	49	0	5.49716822528383	7.834833193332e-08	ENSG00000050327.15
chr7	26185901	26185950	NFE2L3	0	+	26185901	26185950	0	1	49	0	-2.25218346161664	1.01657387686638e-05	ENSG00000050344.9
chr12	51508376	51508425	SLC4A8	0	+	51508376	51508425	0	1	49	0	-1.3451362885681	0.000302646685889308	ENSG00000050438.17
chr5	178237717	178237766	COL23A1	0	-	178237717	178237766	0	1	49	0	-0.812253019194884	0.000797891477145041	ENSG00000050767.17
chr11	6217500	6217549	FAM160A2	0	-	6217500	6217549	0	1	49	0	3.97029191354276	4.2066069432467e-05	ENSG00000051009.11
chr11	6217748	6217797	FAM160A2	0	-	6217748	6217797	0	1	49	0	3.55534806152174	0.00115854366385126	ENSG00000051009.11
chr11	6217997	6218046	FAM160A2	0	-	6217997	6218046	0	1	49	0	-3.54577860848456	0.00257099038670216	ENSG00000051009.11
chr6	138418863	138418912	HEBP2	0	+	138418863	138418912	0	1	49	0	3.97029191355212	0.00293083381776571	ENSG00000051620.11
chr12	123221766	123221815	MPHOSPH9	0	-	123221766	123221815	0	1	49	0	-5.40717177145075	0.00110987600323276	ENSG00000051825.15
chr1	114774074	114774123	SIKE1	0	-	114774074	114774123	0	1	49	0	-1.83827948486295	3.49760364669605e-05	ENSG00000052723.12
chr10	97356957	97357055	RRP12	0	-	97356957	97357055	0	1	98	0	-5.40717177145075	0.000102958355887312	ENSG00000052749.14
chr14	89161294	89161343	FOXN3	0	-	89161294	89161343	0	1	49	0	4.30406509320417	9.35820208143312e-05	ENSG00000053254.15
chr14	89161993	89162042	FOXN3	0	-	89161993	89162042	0	1	49	0	4.8283137373023	0.00202427804637761	ENSG00000053254.15
chr1	19258527	19258703	MRTO4	0	+	19258527	19258703	0	2	27,23	0,154	0.638549997464598	0.000868406107564778	ENSG00000053372.5
chr1	36136769	36136818	TRAPPC3	0	-	36136769	36136818	0	1	49	0	-4.66343909395104	0.00028944007114251	ENSG00000054116.12
chr1	36286733	36286782	THRAP3	0	+	36286733	36286782	0	1	49	0	1.67726050877286	0.000681403808443837	ENSG00000054118.15
chr1	235131734	235131783	ARID4B	0	-	235131734	235131783	0	1	49	0	-1.37342785052659	0.00392850254626287	ENSG00000054267.22
chr1	235131933	235135686	ARID4B	0	-	235131933	235135686	0	2	65,35	0,3719	4.87519732319179	4.25841557713756e-08	ENSG00000054267.22
chr1	235181852	235181901	ARID4B	0	-	235181852	235181901	0	1	49	0	-5.37989735353109	0.000109089650466521	ENSG00000054267.22
chr11	73404830	73404879	FAM168A	0	-	73404830	73404879	0	1	49	0	1.69734978472099	0.00290680787377851	ENSG00000054965.10
chr6	149378424	149378473	TAB2	0	+	149378424	149378473	0	1	49	0	-0.795618912311704	0.000230996273153372	ENSG00000055208.19
chr6	149378574	149378623	TAB2	0	+	149378574	149378623	0	1	49	0	1.07420332378918	0.00102546323658437	ENSG00000055208.19
chr6	149397643	149397692	TAB2	0	+	149397643	149397692	0	1	49	0	1.51020043288351	0.0031586131165765	ENSG00000055208.19
chr6	149409773	149409822	TAB2	0	+	149409773	149409822	0	1	49	0	0.621053307778817	0.00136237775979975	ENSG00000055208.19
chr6	149582576	149590748	GINM1	0	+	149582576	149590748	0	2	28,22	0,8151	-2.55528744654974	4.7205231704206e-05	ENSG00000055211.14
chr17	78803952	78806178	USP36	0	-	78803952	78806178	0	2	27,23	0,2204	-1.05854830818746	0.000195650344503307	ENSG00000055483.19
chr7	152148501	152148550	KMT2C	0	-	152148501	152148550	0	1	49	0	1.5706799021326	0.00285433636588039	ENSG00000055609.18
chr7	152163576	152163625	KMT2C	0	-	152163576	152163625	0	1	49	0	2.46009148066818	9.37910540242949e-05	ENSG00000055609.18
chr7	152176301	152176350	KMT2C	0	-	152176301	152176350	0	1	49	0	1.84176988980854	0.00238127234220409	ENSG00000055609.18
chr7	152248143	152248192	KMT2C	0	-	152248143	152248192	0	1	49	0	1.0038766564234	0.00138561373309232	ENSG00000055609.18
chr2	20250087	20250136	PUM2	0	-	20250087	20250136	0	1	49	0	-1.80234157855859	6.38615121758557e-05	ENSG00000055917.15
chr9	122848394	122848443	RC3H2	0	-	122848394	122848443	0	1	49	0	4.9344739331307	0.00167531467898807	ENSG00000056586.16
chr3	98799585	98799634	DCBLD2	0	-	98799585	98799634	0	1	49	0	4.02535169078722	0.000298078745700425	ENSG00000057019.16
chr6	106186008	106186057	ATG5	0	-	106186008	106186057	0	1	49	0	-0.72899331233954	0.000572447345696059	ENSG00000057663.16
chr3	128070037	128070086	SEC61A1	0	+	128070037	128070086	0	1	49	0	2.68395264952315	0.00400670523637836	ENSG00000058262.10
chr3	128070836	128070885	SEC61A1	0	+	128070836	128070885	0	1	49	0	-1.89256416835002	0.000284247613940636	ENSG00000058262.10
chr16	22328555	22328604	POLR3E	0	+	22328555	22328604	0	1	49	0	6.31173480915291	0.000133613607732452	ENSG00000058600.16
chr1	203683130	203683179	ATP2B4	0	+	203683130	203683179	0	1	49	0	1.57802171620072	0.000335560306567007	ENSG00000058668.14
chr1	203798902	203798951	ZC3H11A	0	+	203798902	203798951	0	1	49	0	0.840471895316803	0.0019059158712087	ENSG00000058673.16
chr1	203799002	203799051	ZC3H11A	0	+	203799002	203799051	0	1	49	0	1.2672350011039	0.000334893719539542	ENSG00000058673.16
chr5	97167786	97167835	RIOK2	0	-	97167786	97167835	0	1	49	0	3.91202300541878	5.75965970761594e-06	ENSG00000058729.11
