chr	start	end	strand	pvalue	qvalue	meth.diff	dist.to.feature	feature.name	feature.strand
chr1	110070173	110073172	-	3.14129844371809e-21	4.3703314598228e-18	-44.8245813442449	0	ALX3	-
chr22	42857607	42860606	-	5.02432192000761e-21	6.74905035841023e-18	-37.8108003108003	-335	ARFGAP3	-
chr13	113453025	113456024	-	6.41141829981864e-21	8.3252266623145e-18	-39.5833936062491	0	ADPRHL1	-
chr3	101686219	101689218	-	1.11863121577447e-20	1.40568641969337e-17	-24.7488360695908	0	AC084198.4	+
chr18	79608247	79611246	+	1.59782193687119e-20	1.94509854846304e-17	-21.6375051137615	0	AC068473.4	+
chr9	107489983	107492982	-	4.47011094314487e-20	5.27676278152147e-17	-28.2719669816444	-215	KLF4	-
chr16	2089785	2092784	-	5.4872567634163e-20	6.28694374173182e-17	-19.7965987051889	0	AC009065.3	+
chr1	228104912	228107911	-	7.83895570625709e-20	8.72475770106414e-17	-36.9554821319885	415	MRPL55	-
chr1	228147430	228150429	+	8.89504695920706e-20	9.40553903855889e-17	-40.5737234652897	0	GJC2	+
chr9	123485123	123488122	-	8.93351160124962e-20	9.40553903855889e-17	-55.5658914728682	0	MIR7150	-
chr16	2106254	2109253	-	1.11943996260957e-19	1.14757325640673e-16	-37.7208092680785	0	MIR6511B1	-
chr22	38033729	38036728	-	1.20340517141484e-19	1.20201662698629e-16	-50.3614457831325	0	AL031587.1	-
chr11	32437216	32440215	+	2.20272328575288e-19	2.09285574625618e-16	-19.9730354391371	0	AL049692.4	+
chr20	63694152	63697151	+	2.30569589238336e-19	2.13853294018556e-16	-24.0756079430816	0	TNFRSF6B	+
chr14	103725326	103728325	-	2.39044466494432e-19	2.16557609123037e-16	-29.5239503252513	0	AL049840.3	-
chr20	59933156	59936155	-	2.93437496823144e-19	2.59792220198763e-16	-45.1626152869572	0	FAM217B	+
chr17	50507829	50510828	-	3.49631037861384e-19	3.02663935108671e-16	-38.9576224049548	0	MYCBPAP	+
chr19	58355499	58358498	+	6.85956062412276e-19	5.80900400245004e-16	-17.0770563358753	0	AC012313.2	+
chr6	7230056	7233055	+	8.14081394774374e-19	6.74734909222037e-16	-47.8846153846154	0	RREB1	+
chr12	2456893	2459892	-	8.95563537054391e-19	7.26805783040704e-16	-36.5283302870659	0	AC005414.1	-
chr16	57795686	57798685	+	1.05136593416223e-18	8.35835917658974e-16	-33.3605553287056	0	KIFC3	-
chr7	156637781	156640780	+	1.07618150559737e-18	8.38453011010908e-16	-26.6495152087927	0	RNF32	+
chr10	73800900	73803899	-	1.47748396226483e-18	1.1068343798082e-15	-40.447504302926	0	ZSWIM8-AS1	-
chr12	132187713	132190712	+	1.45330906993403e-18	1.1068343798082e-15	-20.6156166219839	0	AC138466.1	+
chr16	2088936	2091935	+	1.86788352647016e-18	1.37289439195557e-15	-21.8989491074297	0	AC009065.3	+
chr1	43448145	43451144	-	2.30899197772632e-18	1.66568115726535e-15	-48.8566243194192	0	MIR6735	+
chr5	179797847	179800846	-	2.43502608674334e-18	1.72466256743794e-15	-22.9477544856352	0	MIR1229	-
chr10	127736497	127739496	-	2.49248474095726e-18	1.7338346979284e-15	-24.9496336996337	0	FOXI2	+
chr11	823644	826643	+	2.66619382150769e-18	1.79071690201435e-15	-19.7813767130705	0	AP006621.1	-
chr19	5785120	5788119	-	4.20940633817562e-18	2.77927837124799e-15	-19.8233346338145	0	AC011499.1	-
chr20	37518706	37521705	+	5.07769660609876e-18	3.29669452150962e-15	-20.2159329972611	0	NNAT	+
chr15	78599514	78602513	-	7.47430499053911e-18	4.77314017879428e-15	-60.958485958486	0	AC067863.2	-
chr19	55230453	55233452	-	1.01179330960338e-17	6.35716264122576e-15	-32.0165128988658	0	MIR6804	-
chr17	81461438	81464437	-	1.17839766734418e-17	7.28642557641154e-15	-15.7192070112454	0	AC110285.4	-
chr21	44347663	44350662	+	1.43597712201022e-17	8.74038887311064e-15	-34.10593745695	0	AP001063.1	-
chr6	26107636	26110635	-	1.46944123413597e-17	8.80647435011794e-15	-36.5352302005153	0	H1-6	-
chr7	1467023	1470022	-	1.61906663881579e-17	9.55617286591956e-15	-19.7534136546185	0	AC102953.2	-
chr9	128631186	128634185	-	2.27075519957414e-17	1.32025774327478e-14	-25.764993880049	0	AL356481.3	-
chr1	8220030	8223029	-	2.59471976159202e-17	1.46299656487677e-14	-58.4975369458128	0	AL358876.2	-
chr3	45034089	45037088	-	2.59752203197244e-17	1.46299656487677e-14	-38.4240929447654	0	RNU5B-3P	-
chr6	32838323	32841322	-	2.62892464488189e-17	1.46299656487677e-14	-32.7031700288184	0	TAP2	-
chr16	1442843	1445842	+	2.84398284570068e-17	1.56038523597563e-14	-30.6122448979592	0	AL031600.3	+
chr11	118528541	118531540	+	3.28263550167363e-17	1.77604258288467e-14	-25.830460624938	0	TMEM25	+
chr20	50583286	50586285	+	4.0556302908003e-17	2.13496051321791e-14	-52.1631205673759	0	MIR645	+
chr9	76905615	76908614	-	5.06044454810208e-17	2.62839489828422e-14	-33.7134502923977	0	PRUNE2	-
chr8	143599042	143602041	-	5.24330010786706e-17	2.68753625923633e-14	-30.6833923349238	1213	TIGD5	+
chr11	32437609	32440608	+	5.41055199461769e-17	2.70215452500426e-14	-18.6309103740296	0	AL049692.4	+
chr16	30894107	30897106	+	5.36368108263698e-17	2.70215452500426e-14	-31.8188185033442	0	CTF1	+
chr19	49007406	49010405	+	5.88954874210166e-17	2.90414393985532e-14	-36.5207373271889	0	MIR6798	+
chr21	45100595	45103594	-	5.9859726230339e-17	2.91479454412857e-14	-22.701684913425	0	AL133499.1	-
chr1	1295671	1298670	-	7.2856208172774e-17	3.46111413337855e-14	-25.0727996672015	0	MIR6726	-
chr19	56147317	56150316	+	7.98560349611483e-17	3.74794197820666e-14	-70.926243567753	0	AC024580.2	+
chr19	5784247	5787246	-	8.36145570556003e-17	3.86702890659666e-14	-21.2222560048647	0	AC011499.1	-
chr21	44347796	44350795	-	8.43787593532836e-17	3.86702890659666e-14	-30.4211098087424	0	AP001063.1	-
chr7	55362948	55365947	+	8.75673977355515e-17	3.96634437510058e-14	-23.0804597701149	0	LANCL2	+
chr19	17049494	17052493	+	8.85822001370172e-17	3.96634437510058e-14	-47.109923154026	0	AC020908.1	+
chr2	85581931	85584930	+	9.16826114204356e-17	4.05851832713985e-14	-38.0216951645523	0	VAMP5	+
chr13	112754194	112757193	-	1.01647739148192e-16	4.44908727923349e-14	-37.3333333333333	0	ATP11A-AS1	-
chr19	9137897	9140896	+	1.10655599100054e-16	4.78954318104732e-14	-40.7613954672778	0	ZNF317	+
chr16	68369763	68372762	-	1.21256756449934e-16	5.19072192033756e-14	-26.9976740025049	0	AC099521.3	-
chr10	132184448	132187447	+	1.42669159738464e-16	5.97599690065793e-14	-21.8236937970957	0	DPYSL4	+
chr11	72011791	72014790	+	1.68813606297787e-16	6.99588726950032e-14	-22.4128233970754	0	AP002490.1	+
chr18	12092642	12095641	-	1.71030633278233e-16	7.01315612563532e-14	-26.5892646811375	0	ANKRD62	+
chr6	7539117	7542116	+	1.95213182350822e-16	7.92138491507946e-14	-25.1960983999819	0	DSP	+
chr10	119816143	119819142	-	2.08518964757302e-16	8.20490532537443e-14	-33.2697066101096	0	INPP5F	+
chr10	119816366	119819365	+	2.08518964757302e-16	8.20490532537443e-14	-33.2697066101096	0	INPP5F	+
chr19	48614355	48617354	-	2.05967172526919e-16	8.20490532537443e-14	-28.2858730833361	-794	FAM83E	-
chr11	32794159	32797158	-	2.41769745284738e-16	9.41814042756695e-14	-47.8118609406953	0	CCDC73	-
chr16	67201896	67204895	-	2.74512998881971e-16	1.05877761103437e-13	-27.2476775310975	0	MIR328	-
chr1	205455455	205458454	-	3.49030730879321e-16	1.32004777877708e-13	-25.5042390744297	0	LEMD1-DT	+
chr1	53456899	53459898	+	4.66941501969158e-16	1.73235297230558e-13	-42.1631000578369	0	DMRTB1	+
chr6	32838271	32841270	-	5.1304928991013e-16	1.88545614041973e-13	-30.2316602316602	0	TAP2	-
chr17	2378807	2381806	-	8.08054274813363e-16	2.93347232451136e-13	-41.1450381679389	0	AC006435.2	-
chr19	55228285	55231284	-	8.13284587465606e-16	2.93347232451136e-13	-30.5404589371981	0	MIR6804	-
chr18	77090586	77093585	+	9.19678414696614e-16	3.28679565545932e-13	-25.7099236641221	0	AC018529.1	+
chr1	61741925	61744924	-	9.77138416723513e-16	3.46040245667859e-13	-43.5511064278188	0	AC099791.2	-
chr18	12091343	12094342	+	1.01559551351136e-15	3.56419128187702e-13	-26.6548900718531	0	ANKRD62	+
chrX	153773912	153776911	+	1.13236081291557e-15	3.93849245242196e-13	-39.8611111111111	0	SRPK3	+
chr19	802440	805439	+	1.19576506942891e-15	4.12221489200028e-13	-23.9522388059701	0	MIR4745	+
chr21	32275363	32278362	+	1.22637925803284e-15	4.19066701725169e-13	-39.5637232929927	0	MIS18A-AS1	+
chr17	80826401	80829400	-	2.00245861429876e-15	6.72463580344899e-13	-28.7190882958553	0	AC016245.2	-
chr6	22567066	22570065	+	2.16793773046433e-15	7.21812087950753e-13	-43.8604797979798	0	HDGFL1	+
chr22	49802952	49805951	+	2.3172349322214e-15	7.58553670459534e-13	-38.5162601626016	0	Z98885.3	+
chr3	42936286	42939285	-	2.40342637053842e-15	7.80212285536034e-13	-71.4484292465944	0	KRBOX1	+
chr12	120292738	120295737	-	2.65031058552936e-15	8.46252859502429e-13	-50.6761325219743	0	RNU4-1	-
chr1	33331993	33334992	-	2.72017380547303e-15	8.61498947904081e-13	-43.5526315789474	0	MIR3605	-
chr17	77466568	77469567	+	3.27938955013269e-15	1.03023080585015e-12	-25.6438127090301	0	AC111170.3	+
chr19	4348562	4351561	-	3.34384240018747e-15	1.04207504559442e-12	-31.9291819291819	2497	AC007292.3	-
chr10	75039376	75042375	+	3.55667602103683e-15	1.09960566983722e-12	-35.9206989247312	0	AC018511.5	+
chr16	532816	535815	+	3.86088905428828e-15	1.16584891088729e-12	-20.2312535062021	0	MIR5587	+
chr20	38721986	38724985	+	3.89065225042607e-15	1.16584891088729e-12	-37.8581187598529	0	SLC32A1	+
chr8	125464439	125467438	+	4.08998941226752e-15	1.21622547751818e-12	-35.0429567190793	0	AC091114.1	+
chr3	159837361	159840360	+	4.16212920801186e-15	1.22830108559168e-12	-29.0003388681803	0	SCHIP1	+
chr8	144107625	144110624	-	4.36983212941139e-15	1.27990083158812e-12	-11.9935946887346	0	WDR97	+
chr18	79900404	79903403	-	4.88551561945386e-15	1.42026314146138e-12	-16.9356894061677	0	AC114341.1	-
chr6	32117111	32120110	-	5.11509073525291e-15	1.47598784882798e-12	-45.1149134352536	0	AL662884.2	-
chr18	79470441	79473440	-	5.35827110036416e-15	1.52749638912541e-12	-15.5139124695119	0	AC018445.1	-
chr19	38301664	38304663	+	5.37201913259352e-15	1.52749638912541e-12	-33.4834834834835	0	C19orf33	+
chr5	154855053	154858052	+	5.85727608793075e-15	1.65340717395176e-12	-21.5093254275537	-197	CNOT8	+
chr6	43016369	43019368	-	5.96254618286973e-15	1.67101429175317e-12	-28.4210526315789	0	MEA1	-
chr10	132942324	132945323	-	6.44410230783436e-15	1.79307146715491e-12	-29.1480334823988	0	CFAP46	-
chr12	50167034	50170033	-	7.24541234710101e-15	1.98764111254451e-12	-23.1254114549045	0	CERS5	-
chr11	74252053	74255052	-	8.6110553726087e-15	2.3457598744054e-12	-51.6333938294011	0	AP000577.1	-
chr11	18409818	18412817	+	8.87784371704917e-15	2.40164168053924e-12	-63.6178861788618	0	LDHC	+
chr19	4357949	4360948	-	1.12225350591225e-14	3.0149920912284e-12	-24.6938230468899	0	AC007292.2	-
chr8	144263953	144266952	+	1.2174136180208e-14	3.24824297876713e-12	-18.2404709819854	0	SCX	+
chr11	74467230	74470229	-	1.42090976656571e-14	3.73996891598427e-12	-28.4783055023269	0	KCNE3	-
chr6	170158106	170161105	+	1.47110213466139e-14	3.84609286280097e-12	-21.3461946652202	0	AL596442.1	+
chr12	47782423	47785422	+	1.56778993748314e-14	4.0715504676437e-12	-26.7859988314654	0	AC004466.1	+
chr19	11383843	11386842	-	1.62697819371864e-14	4.19728049909335e-12	-31.7233311049565	0	EPOR	-
chr19	3121629	3124628	-	1.69295378035558e-14	4.31039310547397e-12	-24.2759516064601	0	KF456478.1	-
chr11	118530595	118533594	-	2.05418134000203e-14	5.16262155482445e-12	-26.411479105254	0	TMEM25	+
chr16	655695	658694	-	2.08260978335989e-14	5.20051693017849e-12	-12.1486928104575	0	AL022341.2	-
chr19	45814809	45817808	-	2.14355903160796e-14	5.31862051441324e-12	-29.0481189851268	0	RSPH6A	-
chr18	75639994	75642993	+	2.43018037861703e-14	5.99162510436875e-12	-70.3612479474548	0	AC090338.1	+
chr7	27105277	27108276	+	2.58734002792861e-14	6.33898306842508e-12	-21.5521333263014	0	HOXA-AS2	+
chr19	6256657	6259656	+	2.67693140777434e-14	6.5174914368656e-12	-41.0492205289893	0	AC011471.2	+
chr4	56794143	56797142	-	2.72206033069063e-14	6.58620249577972e-12	-63.2284921369103	0	RN7SL492P	-
chr10	131889140	131892139	+	2.74613253394727e-14	6.6034316580195e-12	-33.1715721464465	0	FP565171.1	+
chr19	49854468	49857467	-	2.82748459916972e-14	6.75734126138995e-12	-19.7440141233587	0	MIR4749	+
chr18	12303695	12306694	-	2.9900224460863e-14	7.10221490166413e-12	-26.0370424915669	0	RNU6-170P	-
chr20	62332058	62335057	-	3.37290857337696e-14	7.96313051369087e-12	-40.3528275942775	0	MIR4758	-
chr12	132593199	132596198	-	3.89092921556698e-14	9.07611662230011e-12	-26.4125139935252	0	AC131212.1	-
chr1	227561043	227564042	+	3.98613703157081e-14	9.24285524195482e-12	-25.5255255255255	0	ZNF678	+
chr17	50505884	50508883	+	4.08361395835302e-14	9.41285099098473e-12	-34.1214544070055	0	MYCBPAP	+
chr4	39972943	39975942	-	4.16761952573912e-14	9.54997756618632e-12	-35.7584363514868	1970	PDS5A	-
chr10	132185463	132188462	-	5.16189509807524e-14	1.16667366341397e-11	-17.962607172178	0	DPYSL4	+
chr14	74018900	74021899	-	5.18122304635134e-14	1.16667366341397e-11	-23.0756806645132	0	BBOF1	+
chr18	80159252	80162251	+	5.16129610446966e-14	1.16667366341397e-11	-20.9553872053872	0	AC139100.2	+
chr19	52140126	52143125	+	5.35379341635191e-14	1.19860357778154e-11	-44.6394203554851	0	AC011468.3	+
chr17	38719773	38722772	-	6.28141087038888e-14	1.39824205974857e-11	-23.4275330069723	0	AC006449.3	-
chr18	79703152	79706151	-	7.64223614882009e-14	1.69149607487095e-11	-34.5833971120975	0	AC068473.2	-
chr4	39695609	39698608	+	7.75719174051541e-14	1.70723957204394e-11	-17.2794117647059	0	UBE2K	+
chr4	2416474	2419473	+	8.26517347681519e-14	1.7788388551897e-11	-13.2417058382724	0	CFAP99	+
chr7	129124018	129127017	+	8.2420011492514e-14	1.7788388551897e-11	-25.9216025363885	0	AC011005.1	+
chr20	62350495	62353494	+	8.24358199211428e-14	1.7788388551897e-11	-24.1859893795945	0	LAMA5-AS1	+
chr1	25541106	25544105	+	1.01913273752473e-13	2.16941616340306e-11	-34.8125937031484	0	LDLRAP1	+
chr8	98045970	98048969	-	1.03264132539317e-13	2.1862251538419e-11	-35.5325914149444	0	RNU6-703P	+
chr1	48776470	48779469	-	1.07160678660872e-13	2.21156858540258e-11	-24.0465146244041	0	BEND5	-
chr3	183810284	183813283	-	1.0767988331959e-13	2.21156858540258e-11	-29.3766723691714	-770	YEATS2-AS1	-
chr7	27097278	27100277	+	1.08435271418789e-13	2.21156858540258e-11	-28.9196860911671	0	AC004079.5	+
chr7	27097356	27100355	+	1.08435271418789e-13	2.21156858540258e-11	-28.9196860911671	0	AC004079.5	+
chr7	27097467	27100466	+	1.08435271418789e-13	2.21156858540258e-11	-28.9196860911671	0	AC004079.5	+
chr17	76307499	76310498	-	1.07978209304531e-13	2.21156858540258e-11	-25.5626223091977	0	QRICH2	-
chr16	30096416	30099415	-	1.10607400309831e-13	2.24412045784869e-11	-36.4251163430458	0	AC012645.1	+
chr12	131854920	131857919	+	1.13816684059003e-13	2.29726887436189e-11	-25.6206680729734	0	AC131009.2	+
chr22	20083558	20086557	+	1.18306794122986e-13	2.37558822941284e-11	-28.7250384024578	0	MIR1306	+
chr1	179817692	179820691	-	1.20980596815672e-13	2.41682007638692e-11	-31.7720098965777	0	AL359853.1	-
chr4	304975	307974	-	1.28603541889067e-13	2.5559953950452e-11	-23.9486994219653	0	ZNF732	-
chr19	19863382	19866381	+	1.54462515342806e-13	3.02366195235127e-11	-30.7080712086735	0	ZNF253	+
chr1	10614336	10617335	+	1.57858916264728e-13	3.04425449658044e-11	-25.2602739726027	0	RN7SL614P	+
chr17	39865664	39868663	+	1.56766066189693e-13	3.04425449658044e-11	-32.0032230941704	0	ZPBP2	+
chr17	75998406	76001405	+	1.57276272059781e-13	3.04425449658044e-11	-30.3209554440971	0	CDK3	+
chr10	103447696	103450695	+	1.79048010865906e-13	3.43586958782334e-11	-31.8585108461989	0	AL139339.2	+
chr19	19513727	19516726	+	1.80020785651984e-13	3.43760279660442e-11	-19.9739087511459	0	NDUFA13	+
chr2	10040164	10043163	-	1.83532912702272e-13	3.48757298259366e-11	-21.3571117877338	0	AC104794.3	-
chr19	55694059	55697058	-	1.94393652100924e-13	3.67602170756869e-11	-17.6765806902793	0	AC010525.1	-
chr7	66164512	66167511	-	2.10199290778245e-13	3.93668912128198e-11	-57.6166832174777	0	AC068533.3	-
chr16	1157475	1160474	-	2.11828619639492e-13	3.94822195122317e-11	-18.6263975741585	0	AC120498.1	-
chr16	89815679	89818678	+	2.42693735605984e-13	4.48063245048868e-11	-18.4100418410042	0	FANCA	-
chr12	132189196	132192195	-	2.49844684800801e-13	4.59089608321471e-11	-17.32246715014	0	AC138466.1	+
chr14	100290957	100293956	-	2.5800044977408e-13	4.71850118354426e-11	-15.6394062327125	0	AL157871.1	+
chr7	27157437	27160436	-	2.63023453407916e-13	4.78788720911467e-11	-23.5525879230259	0	AC004080.4	+
chr6	31730118	31733117	-	2.8281865247385e-13	5.12427935214829e-11	-28.5814685080654	0	DDAH2	-
chr17	1349570	1352569	+	2.92587127170773e-13	5.27672756432289e-11	-75.5402298850575	0	AC032044.2	+
chr19	1007721	1010720	+	3.23420369448473e-13	5.80591727735727e-11	-14.2355470488261	0	AC004528.2	+
chr5	69331429	69334428	+	3.42337042762972e-13	6.08937876750301e-11	-43.7736508121325	0	CCDC125	-
chr11	46235882	46238881	+	3.47946206886044e-13	6.16102022238448e-11	-18.7971651683181	0	AC116021.1	+
chr1	28642586	28645585	-	3.5859526594152e-13	6.32085003834929e-11	-15.6818918043408	0	LINC01715	+
chr3	54120047	54123046	+	3.61096539998019e-13	6.33626834037064e-11	-32.3463768115942	0	CACNA2D3	+
chr7	1618154	1621153	+	3.66771960873017e-13	6.40699629408448e-11	-19.5029102239991	0	AC074389.2	+
chr22	20447622	20450621	+	3.94775237291439e-13	6.83487527497244e-11	-42.0482859352178	-1003	AC007731.5	-
chr1	241955267	241958266	+	4.1487277650602e-13	7.12810932741753e-11	-34.8997493734336	0	BECN2	+
chr14	32201237	32204236	-	4.15807917151953e-13	7.12810932741753e-11	-24.2371220604703	0	RNU6-8	-
chr11	134329374	134332373	+	4.25392746522659e-13	7.23632071650227e-11	-27.2895722452198	0	GLB1L2	+
chr19	17821075	17824074	-	4.28742738815623e-13	7.26159712633155e-11	-42.8456092410881	0	INSL3	-
chr16	70711487	70714486	+	4.49213332515834e-13	7.5753702892443e-11	-38.6284177498879	0	AC020763.3	+
chr16	29136879	29139878	+	4.92639861040127e-13	8.23638874970736e-11	-34.9410415984278	0	AC009093.2	+
chr5	178375424	178378423	+	4.96649041582004e-13	8.26793308325938e-11	-20.8696602206927	0	RN7SL646P	+
chr8	41621003	41624002	-	4.98930646336745e-13	8.27057162895656e-11	-81.2189054726368	0	AC009630.3	-
chr5	28808792	28811791	-	5.74192794275713e-13	9.43783978945587e-11	-21.6535752979415	0	AC008825.1	-
chr12	120155000	120157999	-	6.07964470979564e-13	9.95094788529786e-11	-34.2706313294549	0	MIR4498	-
chr1	2493980	2496979	-	6.25898133137127e-13	1.0201615806007e-10	-23.7786903649625	0	AL139246.4	-
chr17	7852566	7855565	+	6.3279046560255e-13	1.02709802448114e-10	-24.1789880127541	0	TMEM88	+
chr1	151131111	151134110	-	6.57587887051565e-13	1.05852628678073e-10	-20.6919654017299	0	AL592424.1	-
chr7	117096763	117099762	-	6.55901181610712e-13	1.05852628678073e-10	-72.5833804409271	0	AC002542.6	-
chr17	42112215	42115214	-	6.85118491339402e-13	1.09380290287403e-10	-22.375135302304	0	DHX58	-
chr10	68406795	68409794	-	7.09396115261957e-13	1.12793982326651e-10	-19.9637230514096	0	RUFY2	-
chr12	50841286	50844285	-	7.3746859225804e-13	1.16780849639886e-10	-41.6887417218543	0	RN7SL519P	-
chr2	112433989	112436988	-	7.51989206136914e-13	1.18158686448366e-10	-28.9481878191556	0	RGPD8	-
chr2	226797646	226800645	+	7.80365838849202e-13	1.22084944788637e-10	-19.7311371357053	0	AC010735.2	+
chr21	36963961	36966960	+	7.95113832025482e-13	1.23894637306211e-10	-24.1628772219926	0	AP000704.2	+
chr13	99728472	99731471	-	8.67269221984682e-13	1.3459949220085e-10	-51.1720983419097	0	CLYBL-AS1	-
chr2	96910049	96913048	+	8.87306437576061e-13	1.36082764865258e-10	-30.820633768747	0	AC092636.2	+
chr19	12156232	12159231	-	8.86990141984306e-13	1.36082764865258e-10	-28.9396924298651	0	ZNF625	-
chr19	12156235	12159234	-	8.86990141984306e-13	1.36082764865258e-10	-28.9396924298651	0	ZNF625	-
chr6	116526513	116529512	+	8.92362230099499e-13	1.36321453621671e-10	-38.4484864938238	0	CALHM4	+
chr1	155950837	155953836	-	9.25246426236172e-13	1.40600912848768e-10	-31.7391304347826	0	MIR6738	-
chr6	43507202	43510201	+	9.27594265232535e-13	1.40600912848768e-10	-20.9919070346545	0	POLR1C	+
chr22	21028854	21031853	+	9.47690691810196e-13	1.43090274804133e-10	-31.2079701120797	0	AC002472.1	+
chr1	150974505	150977504	-	9.64806514460128e-13	1.44111078091483e-10	-19.757075330581	0	CERS2	-
chr22	37888847	37891846	+	9.65549772349558e-13	1.44111078091483e-10	-48.859649122807	0	RNU6-900P	+
chr19	55239477	55242476	-	9.93488749156126e-13	1.47715092455637e-10	-57.9163248564397	0	MIR6802	-
chr8	81685832	81688831	-	1.01446632639373e-12	1.50260592185049e-10	-27.0881606532053	0	IMPA1	-
chr20	46089463	46092462	-	1.07389655372421e-12	1.58460758523965e-10	-21.3480913864056	0	NCOA5	-
chr10	133157719	133160718	+	1.16811701753165e-12	1.71067663225359e-10	-26.0082304526749	0	KNDC1	+
chr18	48562295	48565294	+	1.17675050027711e-12	1.71686575798856e-10	-31.1512332004135	0	AC048380.2	+
chr3	184323196	184326195	+	1.20604813348493e-12	1.75304496417558e-10	-39.9520712084902	0	SNORD66	+
chr6	32114835	32117834	-	1.2140720696119e-12	1.75814786140266e-10	-54.6382189239332	0	AL662884.2	-
chr16	68233000	68235999	-	1.23043842549092e-12	1.77524921722217e-10	-25.5518763796909	0	MIR6773	-
chr2	27641670	27644669	-	1.27076910346704e-12	1.82667197142282e-10	-62.4545454545455	0	AC074091.1	-
chr13	50125221	50128220	-	1.27888627028156e-12	1.83158142128008e-10	-15.4705037977055	0	AL137060.3	+
chr12	113156362	113159361	-	1.29679822609154e-12	1.85043131492292e-10	-22.2125303398058	0	MIR7106	-
chr19	48596739	48599738	-	1.31114000387277e-12	1.8640678412724e-10	-32.4549237170596	0	AC008403.3	-
chr17	63431712	63434711	-	1.35199856075908e-12	1.90133949221552e-10	-25.1879232925649	0	AC005828.4	-
chr19	10109193	10112192	+	1.35097722636749e-12	1.90133949221552e-10	-24.8501722158439	0	P2RY11	+
chr22	50598293	50601292	+	1.36044642090836e-12	1.90633778152824e-10	-30.5668684645019	0	MAPK8IP2	+
chr4	1208463	1211462	-	1.43217088649382e-12	1.99105488724065e-10	-22.6749552758195	0	CTBP1-AS	+
chr19	1849882	1852881	+	1.44134893646993e-12	1.99105488724065e-10	-24.7814290021103	0	AC012615.3	+
chr19	7925636	7928635	-	1.44104764146086e-12	1.99105488724065e-10	-24.3041702289351	0	AC010336.5	+
chr15	72319447	72322446	-	1.6693766866666e-12	2.29789995862535e-10	-21.1922141119221	0	CELF6	-
chr9	62798961	62801960	+	1.81703506000653e-12	2.49234509727304e-10	-40.4045224286029	0	LINC01410	+
chr3	73621910	73624909	+	1.83326426903153e-12	2.50578279298678e-10	-21.9563727729557	0	AC117489.1	+
