	T0_Rep1	GSK_Rep1	GSK_Rep2	DMSO_Rep1	DMSO_Rep2
ACSM4_+_7457146.23-ENST00000399422.4	0	0	1	0	0
ACSS1_-_25038372.23-P1P2	0	1	2	1	0
ACSS3_-_81472074.23-P1P2	0	0	1	0	0
ACTA1_-_229569824.23-P1	1	1	1	3	3
ACTA2_-_90712449.23-P1	0	0	2	0	0
ACTA2_-_90751052.23-P2	0	0	1	0	0
ACTL10_-_32254768.23-P1P2	2	0	0	1	0
ACTN3_+_66313730.23-P1P2	0	1	1	0	0
ACTR3_-_114647989.23-P1P2	0	0	0	1	0
ACTRT1_+_127186328.23-P1P2	0	1	1	1	0
ACVR1B_-_52345917.23-P1P2	0	1	0	0	0
ACVR1C_-_158485307.23-P1P2	0	0	1	0	0
ADAD1_+_123300801.23-P1P2	0	0	0	1	0
ADAM10_-_59041337.23-P1P2	2	0	1	3	0
ADAM11_+_42836963.23-P1P2	0	0	0	0	2
ADAM20_-_71001696.23-P1P2	0	0	0	0	1
ADAM23_-_207308295.23-P1P2	0	2	1	2	0
ADAM30_-_120439090.23-P1P2	1	1	3	4	1
ADAM32_+_38965299.23-P1P2	1	2	1	0	0
ADAM33_-_3662638.23-P1P2	0	0	0	1	0
ADAMTS12_-_33892035.23-P1P2	0	1	1	0	0
ADAMTS12_+_33891838.23-P1P2	0	1	1	0	1
ADAMTS12_+_33892096.23-P1P2	1	1	0	0	2
ADAMTS15_+_130318981.23-P1P2	0	0	0	0	1
ADAMTS20_+_43945717.23-P1P2	4	0	0	0	0
ADAMTS3_-_73434891.23-P1P2	0	1	0	1	0
ADAMTS5_-_28339372.23-P1P2	1	1	0	0	0
ADAMTS6_+_64777661.23-P1P2	0	0	1	0	0
ADAMTS7_-_79103411.23-P1P2	2	0	0	0	0
ADAMTS8_+_130298490.23-P1P2	1	0	0	0	1
ADAMTSL3_-_84323104.23-P1P2	1	0	0	0	1
ADAR_-_154580611.23-P1	0	1	1	0	0
ADAT3_+_1907955.23-P2	0	1	0	0	1
ADCK2_+_140372748.23-P1P2	0	1	0	0	0
ADCK2_+_140373084.23-P1P2	0	0	1	1	1
ADCY1_+_45614427.23-P1P2	4	1	5	2	28
ADCYAP1R1_-_31092299.23-P1P2	3	3	2	0	1
ADH1C_-_100273518.23-P1P2	1	0	0	0	1
ADI1_-_3523313.23-P1P2	0	0	2	0	1
ADIPOQ_-_186560537.23-P1P2	0	0	0	1	0
ADIPOR1_+_202927394.23-P1P2	0	0	0	1	0
ADIPOR2_-_1800250.23-P1P2	0	0	1	0	0
ADNP2_+_77867603.23-P1P2	0	0	0	0	1
ADORA1_+_203097472.23-P1P2	0	1	0	0	0
ADORA2B_-_15848949.23-P1P2	1	3	2	1	1
ADORA2B_+_15848965.23-P1P2	1	0	0	0	0
ADRA1B_+_159343520.23-P1P2	0	1	0	0	0
ADRBK1_-_67033953.23-P1P2	0	0	0	1	0
AEBP2_+_19592704.23-P1P2	0	0	1	1	0
AFAP1L2_+_116164197.23-P1P2	0	0	0	3	1
AFF1_-_87856567.23-P1P2	0	0	1	0	1
AFG3L2_-_12377072.23-P1P2	1	0	1	0	0
AGER_+_32151968.23-P1P2	4	0	0	0	2
AGPAT1_+_32143453.23-P1	0	1	1	0	0
AGPAT3_-_45285156.23-P1P2	0	0	1	0	0
AGPAT3_+_45285326.23-P1P2	0	0	0	1	1
AGPAT4_-_161695108.23-P1P2	2	1	2	1	2
AGT_-_230849427.23-P1P2	0	0	0	0	1
AGXT_-_241808273.23-P1P2	0	0	1	0	1
AHDC1_-_27930242.23-P1P2	0	2	1	1	1
AHNAK2_-_105444326.23-P2	0	0	2	2	0
AHSA2_+_61404634.23-P1P2	2	1	0	0	0
AHSG_+_186330893.23-P1P2	0	0	0	1	1
AIFM3_-_21321575.23-P1	0	0	1	1	0
AIM1_-_106960473.23-P1P2	0	1	1	1	0
AIM2_-_159046618.23-P1P2	2	0	1	0	4
AJAP1_-_4715082.23-P1P2	0	0	1	0	0
AKAP13_+_85923789.23-P1P2	1	0	0	0	0
AKAP6_-_32798679.23-P1P2	0	1	0	0	0
AKAP7_-_131456586.23-P1P2	0	0	0	0	2
AKNA_+_117160729.23-P2	0	0	0	1	1
AKT1_+_105262011.23-P1P2	0	1	1	0	0
AKT3_-_244013548.23-P1P2	0	0	1	1	0
ALB_+_74275514.23-P2	0	0	1	0	0
ALDH3B1_+_67777856.23-P1P2	0	1	1	1	3
ALDH8A1_-_135271197.23-P1P2	0	1	0	0	0
ALDOA_-_30077117.23-P1P2	1	1	0	1	1
ALG1_+_5122098.23-P1P2	0	0	0	1	2
ALOX12_+_6899409.23-P1P2	0	5	1	0	0
ALOXE3_-_8021282.23-P1P2	0	0	0	0	1
ALOXE3_+_8021121.23-P1P2	0	0	1	0	0
ALPP_+_233243502.23-P1P2	0	1	0	0	0
ALS2CL_-_46734804.23-P1P2	1	0	0	0	0
AMN_+_103395419.23-P2	6	2	1	10	9
AMTN_-_71384371.23-P1P2	0	4	3	3	0
AMY2A_-_104159734.23-P1P2	0	0	1	0	0
AMZ1_-_2728281.23-P1P2	3	0	1	0	0
AMZ1_+_2727832.23-P1P2	0	0	1	0	0
ANAPC1_+_112641755.23-P1P2	1	0	0	0	1
ANAPC11_+_79849685.23-P1P2	0	0	0	1	0
ANAPC4_+_25378934.23-P1P2	1	0	0	0	0
ANGEL1_+_77278761.23-P1P2	0	0	0	0	1
ANGPT2_+_6420366.23-P1P2	0	0	0	1	2
ANGPTL2_-_129884891.23-P1P2	0	0	1	0	0
ANGPTL3_+_63063204.23-P1P2	1	0	0	0	0
ANGPTL6_-_10213192.23-P1P2	1	3	0	1	1
ANGPTL6_-_10213343.23-P1P2	0	1	0	0	0
ANK1_-_41655095.23-P1P2	0	0	1	0	0
ANK2_-_113971327.23-ENST00000264366.6	0	0	1	2	0
ANKAR_-_190539475.23-P1P2	4	4	4	3	3
ANKAR_+_190539422.23-P1P2	0	0	1	0	0
ANKFY1_+_4167178.23-P1P2	0	0	1	0	0
ANKLE1_+_17392722.23-P1P2	0	0	0	1	0
ANKMY2_-_16685288.23-P1P2	1	3	0	2	0
ANKRD16_-_5931445.23-P1P2	3	1	2	2	2
ANKRD18B_-_33524757.23-P1P2	0	0	0	0	1
ANKRD22_-_90611584.23-P1P2	1	0	0	0	0
ANKRD23_-_97523606.23-P1	0	0	0	2	1
ANKRD34A_-_145470541.23-P2	0	0	0	0	2
ANKRD35_-_145562352.23-P1P2	0	0	1	0	0
ANKRD36_-_97779499.23-P1P2	0	0	0	3	0
ANKRD49_+_94227214.23-P1P2	1	2	2	3	1
ANKRD52_+_56652106.23-P1P2	0	0	0	0	1
ANKRD62_-_12094092.23-P1P2	0	0	0	0	1
ANKUB1_+_149510203.23-ENST00000446160.1	0	1	0	0	1
ANO9_+_441993.23-P1P2	4	1	1	0	3
ANP32B_-_100746010.23-P1P2	1	4	0	2	1
ANXA6_-_150537278.23-P1P2	0	0	0	1	1
AOAH_-_36763676.23-P1P2	1	0	0	1	1
AOAH_-_36763705.23-P1P2	1	0	0	0	0
AOAH_-_36764071.23-P1P2	0	1	0	0	0
AOC3_-_41003258.23-P1P2	0	2	0	1	1
AOX1_-_201474202.23-P2	0	0	0	1	0
AOX1_+_201451194.23-P1	0	0	1	1	0
AP1B1_-_29784085.23-P1P2	0	1	0	0	0
AP1G1_-_71842491.23-P1P2	0	0	0	0	1
APBA2_-_29131600.23-P1P2	0	0	0	0	1
APBB1_-_6440248.23-P1P2	2	1	0	0	0
APEH_+_49711397.23-P1P2	0	1	0	0	0
APH1A_+_150241051.23-P1P2	1	0	0	0	0
APH1B_-_63569807.23-P1P2	3	2	3	2	3
API5_-_43333619.23-P1P2	1	0	0	0	0
APLN_-_128788485.23-P1P2	1	0	2	0	0
APMAP_+_24973311.23-P1P2	0	0	0	1	1
APOB_-_21266492.23-P1P2	1	0	0	0	0
APOBEC3F_-_39437244.23-P1P2	3	7	6	4	7
APOBEC3F_+_39437229.23-P1P2	0	0	0	0	1
APOBEC3G_-_39473646.23-P1P2	2	0	2	3	1
APOC4_+_45445542.23-P1P2	1	0	0	0	0
APOC4_+_45445578.23-P1P2	0	0	0	0	1
APOL1_-_36649175.23-P1P2	1	0	0	0	0
APOL4_-_36597841.23-P1P2	0	0	0	0	1
APOO_-_23925881.23-P1P2	0	0	1	0	1
APPBP2_-_58603391.23-P1P2	1	0	0	0	1
APPL1_+_57261807.23-P1P2	2	2	0	0	1
AQP12B_-_241621874.23-P1P2	1	0	0	0	0
AQP3_+_33443022.23-P2	1	0	0	1	1
ARF6_-_50361209.23-P2	0	0	0	1	1
ARF6_-_50361303.23-P2	0	1	0	0	0
ARFRP1_+_62339213.23-P1P2	0	0	0	1	0
ARHGAP11A_-_32907745.23-P1P2	0	0	0	1	0
ARHGAP27_-_43502593.23-P2	1	0	1	0	0
ARHGAP40_+_37230947.23-P1P2	2	1	0	0	0
ARHGAP44_-_12693223.23-P1P2	0	0	1	0	0
ARHGDIA_+_79829165.23-P1P2	0	1	0	3	0
ARHGEF10_-_1772493.23-P1P2	0	1	2	1	5
ARHGEF16_+_3371660.23-P1P2	0	0	0	1	0
ARHGEF25_-_58005258.23-P1P2	0	0	0	0	1
ARHGEF37_-_148961062.23-P1	0	0	0	1	0
ARHGEF4_+_131792942.23-P1P2	0	1	0	1	1
ARHGEF7_-_111768318.23-ENST00000370623.3	0	1	0	0	0
ARID3B_-_74834100.23-P1P2	0	1	1	0	0
ARIH2_+_48956354.23-P1P2	0	0	1	0	0
ARL11_-_50202704.23-P1P2	0	1	0	0	0
ARL13B_-_93699076.23-P1P2	0	0	0	1	0
ARL14EP_-_30344694.23-P1P2	0	0	0	1	0
ARL14EPL_-_115387369.23-ENST00000601302.2	1	2	0	0	0
ARL14EPL_+_115387383.23-ENST00000601302.2	1	2	0	1	0
ARL15_+_53606225.23-P1P2	3	2	3	5	2
ARL16_+_79650764.23-P1P2	0	0	0	1	0
ARL4A_-_12727508.23-P1P2	0	1	0	0	0
ARL4D_+_41476709.23-P1P2	0	0	2	3	4
ARL5A_-_152684446.23-P1P2	0	1	0	0	0
ARL6IP1_+_18812467.23-P1	0	0	1	0	0
ARL6IP4_-_123464907.23-P1P2	0	0	0	1	0
ARMC1_+_66546158.23-P1P2	0	0	1	0	0
ARMC3_-_23217041.23-P1P2	1	0	0	0	0
ARMCX3_+_100878168.23-P1P2	3	1	1	0	1
ARMCX6_-_100872948.23-P1P2	2	0	1	2	1
ARNT2_-_80696751.23-P1P2	0	0	0	1	0
ARNTL2_+_27485847.23-P1P2	0	1	0	0	0
ARPC1A_+_98923614.23-P1P2	0	0	0	1	0
ARPC4_-_9834808.23-P1P2	2	0	0	0	1
ARPC5L_+_127631807.23-P1	0	0	1	0	0
ARRDC2_+_18111983.23-P2	1	1	1	2	0
ARRDC2_+_18111987.23-P2	1	4	5	3	2
ARRDC4_-_98504068.23-P1P2	0	1	0	0	0
ARRDC4_-_98504352.23-P1P2	0	1	0	0	0
ARSF_+_2985096.23-P1P2	0	2	0	0	0
ARSG_+_66255369.23-ENST00000448504.2	1	1	1	0	1
ARSG_+_66255385.23-ENST00000448504.2	0	0	0	1	2
ARSI_-_149682436.23-P1P2	0	0	0	2	0
ARSK_-_94890941.23-P1P2	0	0	0	1	0
ART3_-_76932744.23-P2	0	0	0	0	1
ART3_+_76995879.23-P1	0	0	1	0	0
ARTN_-_44399487.23-P1	1	0	0	2	1
ARVCF_-_19974404.23-P1	1	1	0	0	0
ASAH2_-_52007914.23-ENST00000395526.4	0	0	2	0	0
ASB10_-_150884414.23-P1P2	0	0	0	1	0
ASB7_+_101142871.23-P1P2	0	2	1	3	0
ASB8_-_48551283.23-P1P2	1	0	0	0	1
ASCL5_-_201096292.23-P1P2	0	0	0	0	1
ASGR1_-_7082646.23-P1P2	1	0	0	2	0
ASH2L_-_37963450.23-P1P2	1	0	0	0	1
ASIC3_-_150748323.23-P1P2	0	0	1	0	0
ASIC4_+_220379365.23-P1P2	0	2	0	0	0
ASPSCR1_-_79935924.23-P1P2	0	0	1	0	0
ASXL3_+_31158641.23-P1P2	1	1	0	0	1
ATAD1_-_89577928.23-P1P2	0	1	0	0	0
ATAD3B_+_1407208.23-P1	3	4	2	1	3
ATE1_-_123687904.23-P1P2	2	1	0	1	0
ATF1_-_51158152.23-P1P2	0	3	0	3	1
ATF3_+_212782164.23-P1P2	0	1	2	0	1
ATF6_+_161736178.23-P1P2	0	2	0	0	0
ATF6B_+_32095602.23-P1P2	0	1	0	0	3
ATF7IP_+_14538571.23-P2	0	1	0	0	0
ATG10_+_81267917.23-P1P2	0	0	2	0	1
ATG13_-_46639118.23-P1P2	0	0	1	2	2
ATG3_-_112280434.23-P1P2	0	0	1	0	0
ATG3_-_112280669.23-P1P2	0	1	1	0	0
ATG4B_+_242577096.23-P1P2	0	1	1	0	0
ATG5_+_106773494.23-P1P2	1	1	0	4	1
ATL1_+_51027314.23-P1P2	0	1	0	0	2
ATMIN_+_81069685.23-P1P2	1	1	0	0	0
ATP12A_+_25254562.23-P1P2	0	1	3	0	1
ATP1A3_+_42498369.23-P1P2	1	1	1	0	0
ATP1A4_+_160147240.23-P1	1	1	1	1	0
ATP2B2_+_10547164.23-P1	1	0	1	1	1
ATP5C1_+_7830138.23-P1P2	0	0	0	1	0
ATP5E_-_57607407.23-P1P2	1	0	0	0	0
ATP5G2_-_54069432.23-P1P2	0	1	0	0	1
ATP5G3_+_176046225.23-P1P2	1	0	2	0	0
ATP5J_+_27107938.23-P1P2	0	2	0	0	0
ATP6V0D2_+_87111184.23-P1P2	1	0	0	0	0
ATP8A1_-_42658683.23-P1P2	0	1	1	1	0
ATP8A1_-_42659062.23-P1P2	3	1	3	3	2
ATP8B3_+_1812259.23-P1P2	0	1	0	2	0
ATP9B_+_76829480.23-P1P2	1	0	0	4	0
ATPAF2_+_17942456.23-P1P2	1	0	0	1	1
ATXN1_-_16761442.23-P1P2	2	0	0	1	1
ATXN3_-_92572804.23-P1P2	1	0	0	2	0
ATXN3_+_92572912.23-P1P2	1	0	0	0	0
ATXN7L1_+_105516907.23-P1P2	0	1	0	0	1
AUH_+_94123849.23-P1P2	0	0	0	0	1
AVP_-_3064932.23-P1P2	0	0	4	1	0
AVPI1_+_99446984.23-P1P2	5	12	0	2	3
AVPR2_+_153170634.23-P1P2	3	0	0	1	1
AXDND1_+_179335249.23-P1P2	0	1	0	0	0
AZI1_+_79196331.23-P1P2	1	0	0	0	0
B2M_+_45003739.23-P1	0	0	0	1	0
B3GALT1_-_168725390.23-P1P2	0	0	1	0	0
B3GALT5_-_40928392.23-ENST00000380620.4	5	0	0	20	0
B3GAT2_+_71666280.23-P1P2	1	1	0	0	0
B3GNT2_+_62423689.23-P1P2	0	0	0	0	1
B3GNT6_-_76745477.23-P1P2	1	1	0	0	0
B4GALT2_+_44445388.23-P1P2	0	0	1	0	0
BAALC_-_104152961.23-P1P2	0	1	0	0	0
BAAT_-_104147077.23-P1	0	0	0	0	1
BAHD1_-_40733183.23-P1P2	0	3	0	1	1
BAI3_+_69345564.23-P1P2	0	4	2	4	0
BAIAP2L1_-_98030377.23-P1P2	0	0	1	1	0
BAIAP2L2_-_38506547.23-P2	0	0	0	0	1
BAMBI_+_28966480.23-P1P2	0	0	1	0	1
BANK1_-_102712131.23-P1P2	1	0	0	0	0
BANK1_+_102711901.23-P1P2	1	0	1	1	0
BARX1_+_96717204.23-P1P2	1	0	0	0	0
BAX_+_49458505.23-P1P2	0	0	0	3	0
BBIP1_-_112678932.23-P1P2	2	1	0	0	0
BBS4_+_72978743.23-P1P2	4	1	4	2	4
BBS5_+_170336349.23-P1P2	6	1	0	1	0
BBS7_-_122791556.23-P1P2	0	1	0	1	0
BCAM_-_45312592.23-P1P2	1	2	1	3	0
BCAM_+_45312370.23-P1P2	1	0	0	0	0
BCAP31_+_152989464.23-P1P2	1	0	0	0	0
BCAR1_+_75299449.23-P2	2	0	1	1	1
BCAR1_+_75299843.23-P2	1	0	0	1	0
BCAS3_+_58755272.23-P1P2	0	1	1	1	0
BCL10_+_85741912.23-P1P2	0	0	0	1	0
BCL11B_+_99737681.23-P1P2	0	2	1	2	3
BCL2_+_60987122.23-P1P2	0	0	0	0	1
BCL2L1_-_30311731.23-P2	0	1	0	0	0
BCL2L12_-_50169277.23-P1P2	1	0	0	0	0
BCL7B_-_72971429.23-P1P2	0	0	1	0	0
BCL7C_+_30905135.23-P1P2	0	2	0	0	1
BCO2_+_112046367.23-P1P2	1	0	2	0	0
BCR_+_23522602.23-P1P2	1	1	0	1	1
BEND6_+_56820183.23-P1P2	0	0	2	0	0
BEST1_-_61722729.23-P2	0	0	1	0	0
BEX1_-_102318658.23-P1P2	2	0	0	0	1
BFAR_-_14726847.23-P1P2	0	1	1	0	1
BHMT2_+_78365675.23-P1P2	0	1	0	1	0
BICD1_+_32259786.23-P1P2	0	1	0	0	1
BIN1_+_127864199.23-P1P2	1	0	0	0	0
BIRC2_+_102218024.23-P1P2	0	1	0	0	0
BLOC1S1_+_56109907.23-P1P2	0	1	0	0	1
BLOC1S3_+_45683973.23-P2	3	1	4	1	1
BLOC1S5_-_8064584.23-P1P2	0	0	0	1	0
BLVRA_-_43798305.23-P1	0	0	1	0	0
BMF_-_40401059.23-P1P2	1	0	0	0	0
BMF_+_40401052.23-P1P2	0	0	1	2	0
BMP1_-_22023348.23-P1P2	0	0	0	1	0
BMPER_-_33944678.23-P1P2	1	0	1	0	0
BOD1L2_+_54814344.23-P1P2	0	1	0	1	1
BOP1_-_145512657.23-P2	2	1	2	3	1
BPIFA1_-_31825571.23-P2	0	0	0	1	0
BPIFA2_+_31755961.23-P1P2	2	0	2	1	1
BPIFB2_+_31595557.23-P1P2	0	1	0	0	0
BPTF_-_65821635.23-P1P2	2	0	0	0	0
BRCC3_+_154300154.23-P1P2	0	3	1	2	2
BRD2_-_32938891.23-P2	1	0	1	2	2
BRD7_-_50402646.23-P1P2	0	2	1	1	0
BRI3_+_97911433.23-P1P2	1	0	0	0	0
BRSK1_-_55795754.23-P1P2	1	0	0	0	1
BSN_-_49592554.23-P1P2	1	0	0	0	0
BSPH1_+_48495372.23-P1P2	0	1	1	0	1
BTBD16_-_124030878.23-ENST00000260723.4,ENST00000368994.2	1	0	0	0	0
BTBD16_+_124030839.23-ENST00000260723.4,ENST00000368994.2	0	0	0	0	1
BTLA_-_112218247.23-P1P2	1	0	0	0	0
C10orf107_-_63422790.23-P1P2	0	0	0	0	1
C10orf131_+_97667678.23-P1P2	0	0	0	1	0
C10orf2_+_102747994.23-P1P2	0	0	1	0	0
C10orf62_+_99349518.23-P1P2	0	0	1	0	0
C10orf82_+_118429463.23-P1P2	0	1	0	0	0
C10orf95_-_104210851.23-P1P2	0	2	1	1	0
C10orf99_+_85933605.23-P1P2	0	2	1	0	0
C11orf31_-_57509094.23-P1P2	3	0	0	0	0
C11orf35_-_560277.23-P1P2	0	0	4	0	3
C11orf44_-_130543244.23-ENST00000317019.2	1	0	1	0	0
C11orf48_+_62439720.23-P2	1	0	0	0	0
C11orf53_+_111154919.23-P1P2	0	1	0	0	0
C11orf63_-_122754042.23-P1P2	2	0	0	0	0
C11orf84_-_63581285.23-P1P2	0	0	0	3	2
C12orf39_-_21680886.23-P2	0	0	1	0	2
C12orf39_+_21679279.23-P1	0	1	0	0	0
C12orf54_-_48876323.23-P1P2	0	0	1	1	0
C12orf61_+_62997180.23-P1P2	0	2	4	3	2
C14orf159_-_91580717.23-P1P2	1	0	1	2	1
C14orf169_-_73957967.23-P1P2	6	0	0	0	1
C14orf182_-_50459398.23-P1P2	0	0	0	1	0
C14orf183_-_50558940.23-ENST00000305273.1	0	1	0	1	2
C14orf37_+_58618906.23-ENST00000267485.7	0	1	1	0	0
C15orf52_+_40631164.23-P2	1	0	0	0	0
C15orf53_+_38988824.23-P1P2	1	0	0	0	0
C15orf57_+_40857098.23-P1P2	2	1	0	1	0
C16orf46_-_81110784.23-P1P2	1	0	0	0	0
C16orf47_-_73178370.23-ENST00000358463.2	1	0	0	0	0
C16orf72_-_9185907.23-P1	0	0	0	1	0
C16orf97_-_52061212.23-ENST00000566314.1	0	0	0	1	0
C17orf59_+_8093421.23-P1P2	0	0	1	0	0
C17orf67_+_54910763.23-P1P2	2	0	1	0	0
C17orf85_+_3749480.23-P1P2	0	0	0	0	1
C17orf96_+_36831156.23-P1P2	2	0	1	7	6
C17orf98_+_36997650.23-P1P2	0	0	0	0	1
C17orf99_+_76142477.23-P1P2	0	0	0	1	0
C18orf21_-_33552665.23-P1P2	2	0	2	1	0
C18orf56_+_658180.23-P1P2	1	0	1	0	0
C19orf40_-_33463225.23-P1P2	55	1	0	49	1
C19orf45_+_7571704.23-P1	0	1	0	0	0
C19orf52_-_11039501.23-P1P2	2	3	2	1	0
C19orf59_-_7742061.23-P1P2	1	0	0	1	0
C1GALT1C1_-_119763744.23-P1P2	0	1	1	0	0
C1orf105_-_172390050.23-ENST00000367727.4	1	1	0	0	1
C1orf105_+_172390355.23-ENST00000367727.4	1	1	0	0	1
C1orf109_-_38157554.23-P2	1	0	0	0	0
C1orf111_+_162346576.23-P1P2	1	3	1	3	1
C1orf115_+_220864128.23-P1P2	0	2	0	0	0
C1orf122_+_38274469.23-P1P2	0	1	0	0	0
C1orf141_+_67600454.23-P1P2	0	0	0	1	0
C1orf172_+_27286883.23-P1P2	0	0	0	2	0
C1orf177_+_55271847.23-P1P2	0	1	1	0	0
C1orf185_-_51568016.23-P1P2	1	0	0	1	0
C1orf186_-_206288073.23-P1P2	1	2	0	1	0
C1orf198_-_231004921.23-P2	2	0	1	0	1
C1orf226_-_162351988.23-P2	1	0	1	0	1
C1orf51_-_150254957.23-P1P2	0	0	0	0	1
C1orf53_-_197872150.23-P1P2	0	1	0	0	1
C1orf56_-_151020236.23-P1P2	0	0	0	1	0
C1orf56_-_151020259.23-P1P2	0	0	1	0	1
C1orf64_-_16330822.23-P1P2	1	0	0	1	0
C1orf74_-_209957832.23-P1P2	0	1	1	0	0
C1orf74_+_209957837.23-P1P2	1	0	0	0	0
C1QL2_-_119915953.23-P1P2	0	1	0	0	0
C1QTNF6_-_37584235.23-P1P2	0	1	0	0	0
C1QTNF6_+_37584201.23-P1P2	1	0	0	0	1
C2_-_31895533.23-P1	1	0	2	3	4
C2_+_31895513.23-P1	1	1	1	0	0
C20orf166_-_61147669.23-P1P2	0	0	0	2	0
C20orf173_+_34117038.23-P1P2	2	0	1	0	0
C20orf194_+_3387952.23-P1P2	0	0	0	1	0
C21orf59_+_33984249.23-P1P2	0	0	1	0	0
C21orf62_-_34185975.23-P1P2	1	0	0	0	1
C22orf26_-_46450089.23-P1P2	0	0	2	0	1
C2CD3_+_73881609.23-P1P2	2	0	1	1	0
C2CD4B_-_62457231.23-P1P2	0	0	1	0	0
C2orf27A_+_132479950.23-ENST00000355171.4	0	0	1	2	0
C2orf40_+_106682177.23-P1P2	0	0	1	0	0
C2orf42_-_70417798.23-ENST00000264434.2	0	0	0	2	1
C2orf42_+_70418122.23-ENST00000264434.2	1	1	2	0	2
C2orf47_+_200820014.23-P1P2	1	1	1	2	0
C2orf74_-_61372320.23-P1P2	2	0	0	0	0
C2orf88_-_191045949.23-P1P2	1	1	0	0	2
C3AR1_+_8218918.23-P1P2	1	0	0	1	1
C3orf67_+_59035522.23-P1P2	0	1	1	0	0
C3orf84_-_49229007.23-P1P2	0	0	0	1	0
C4orf50_+_5991003.23-P1P2	0	0	0	1	0
C4orf51_+_146601766.23-P1P2	8	26	1	5	10
C5orf15_-_133304201.23-P1P2	1	0	0	0	1
C5orf15_-_133304264.23-P1P2	1	1	1	2	0
C5orf15_+_133304251.23-P1P2	0	0	0	1	1
C5orf20_+_134782582.23-ENST00000503143.2	0	0	0	0	1
C5orf22_+_31532423.23-P1P2	1	0	0	1	0
C5orf24_+_134181678.23-P1P2	1	0	1	0	0
C5orf34_+_43515004.23-P1P2	0	0	2	1	1
C5orf45_-_179285318.23-P1P2	0	1	0	0	1
C5orf55_+_443183.23-P1P2	1	0	0	0	0
C5orf63_+_126409172.23-P1P2	1	0	0	0	1
C5orf63_+_126409176.23-P1P2	0	0	0	0	1
C6_-_41213131.23-P1P2	0	4	0	1	2
C6orf1_+_34216784.23-P1P2	0	0	0	1	0
C6orf132_-_42110710.23-P1P2	0	0	1	0	1
C6orf165_+_88117737.23-P1P2	1	1	0	0	0
C6orf62_-_24718947.23-P2	1	0	0	1	3
C7orf25_-_42951623.23-P1P2	2	5	0	1	1
C7orf43_-_99756330.23-P1P2	0	1	0	0	0
C7orf50_-_1177485.23-ENST00000357429.6,ENST00000397098.3,ENST00000397100.2	0	0	1	0	1
C7orf60_-_112579443.23-P1P2	0	0	0	0	1
C7orf61_+_100061471.23-P1P2	0	1	0	2	0
C7orf71_+_26678435.23-P1P2	1	0	0	1	1
