	T0	DAC_Rep1	DAC_Rep2	DMSO_Rep1	DMSO_Rep2
AASDHPPT_-_105948374.23-P1P2	0	0	0	1	0
AASDHPPT_+_105948813.23-P1P2	11	7	0	14	16
AATF_-_35306333.23-P1P2	23	4	0	0	0
AATF_-_35306340.23-P1P2	27	0	1	0	0
AATF_-_35306346.23-P1P2	15	0	0	0	0
ABAT_-_8768523.23-P1	18	0	4	45	1
ABAT_+_8807450.23-P2	79	2	65	81	34
ABAT_+_8807464.23-P2	22	0	1	77	4
ABCA1_-_107690031.23-P1P2	0	0	1	0	0
ABCA1_-_107690385.23-P1P2	1	0	0	0	0
ABCA10_+_67224811.23-P1P2	19	238	35	134	96
ABCA12_-_216002923.23-P1P2	1	0	0	0	0
ABCA13_-_48211093.23-P1P2	4	0	0	1	1
ABCA13_+_48211160.23-P1P2	37	0	4	50	9
ABCA2_+_139922272.23-P1P2	27	0	6	9	1
ABCA3_-_2390323.23-P1P2	22	18	20	47	1
ABCA3_+_2390611.23-P1P2	9	1	0	0	2
ABCA4_-_94586219.23-P1P2	1	0	0	0	0
ABCA5_-_67322851.23-P1P2	14	0	0	1	0
ABCA5_-_67322872.23-P1P2	0	0	0	0	1
ABCA6_-_67137854.23-P1P2	0	0	0	0	1
ABCA6_+_67138026.23-P1P2	0	0	0	1	0
ABCA7_-_1040133.23-P1	9	0	3	0	7
ABCA7_-_1041459.23-P2	6	12	0	0	0
ABCA7_+_1040513.23-P1	11	0	0	17	0
ABCA7_+_1040577.23-P1	2	0	5	0	0
ABCA7_+_1041292.23-P2	15	0	12	14	10
ABCA8_-_66951372.23-P1P2	7	0	0	2	0
ABCA8_-_66951525.23-P1P2	9	0	0	6	5
ABCA8_+_66951401.23-P1P2	11	0	0	19	1
ABCA9_-_67057053.23-P1P2	0	0	0	1	0
ABCA9_+_67057085.23-P1P2	7	0	0	5	0
ABCB1_-_87342302.23-ENST00000265724.3	20	0	0	6	6
ABCB1_-_87342654.23-ENST00000265724.3	7	0	157	9	6
ABCB1_-_87342674.23-ENST00000265724.3	12	9	0	5	0
ABCB10_-_229694467.23-P1P2	10	5	0	17	7
ABCB11_-_169887784.23-P1P2	23	0	0	5	2
ABCB11_-_169887796.23-P1P2	6	0	32	0	0
ABCB11_+_169887811.23-P1P2	22	16	3	13	35
ABCB4_+_87104939.23-P1P2	19	0	0	2	0
ABCB4_+_87105008.23-P1P2	30	0	2	38	48
ABCB6_-_220083181.23-P1P2	3	0	0	0	12
ABCB6_-_220083604.23-P1P2	21	18	6	22	26
ABCB6_+_220083500.23-P1P2	1	0	0	0	0
ABCB8_-_150725580.23-P1P2	14	0	0	2	0
ABCB8_-_150725928.23-P1P2	0	0	0	12	10
ABCB8_+_150725965.23-P1P2	25	0	1	7	0
ABCB9_-_123450999.23-P1	0	0	1	0	0
ABCB9_-_123465738.23-P2	2	0	0	0	1
ABCB9_-_123465787.23-P2	27	0	0	18	15
ABCB9_+_123450566.23-P1	4	0	0	19	1
ABCB9_+_123450826.23-P1	1	0	0	6	8
ABCB9_+_123450970.23-P1	22	0	1	0	0
ABCC1_-_16043934.23-P1P2	42	54	6	66	3
ABCC10_+_43395315.23-P1P2	8	1	0	25	7
ABCC11_-_48277852.23-P1	3	0	6	0	1
ABCC11_-_48280980.23-P2	0	0	1	0	0
ABCC12_-_48180314.23-ENST00000311303.3	2	0	0	0	0
ABCC12_-_48180679.23-ENST00000311303.3	50	0	4	37	60
ABCC3_+_48712662.23-P1P2	4	2	0	8	4
ABCC4_+_95953641.23-P1P2	107	9	44	27	28
ABCC4_+_95953668.23-P1P2	7	0	0	1	13
ABCC5_-_183735467.23-P1P2	29	0	0	19	19
ABCC5_+_183735648.23-P1P2	4	0	0	0	6
ABCC8_-_17497997.23-P1P2	4	0	0	0	0
ABCC8_+_17498387.23-P1P2	28	8	0	4	17
ABCC9_+_22093941.23-P1P2	1	0	0	0	0
ABCD1_+_152990414.23-P1P2	4	0	0	12	5
ABCD1_+_152990711.23-P1P2	67	2	7	105	66
ABCD2_+_40013514.23-P1P2	18	0	0	0	3
ABCD3_+_94884002.23-P1P2	0	0	1	0	0
ABCD3_+_94884219.23-P1P2	2	1	0	0	0
ABCD4_-_74769631.23-P1P2	16	1	0	5	6
ABCF1_-_30539602.23-P1	0	0	7	0	0
ABCF1_-_30546354.23-P2	16	30	7	17	9
ABCF1_+_30539238.23-P1	15	0	0	0	0
ABCF1_+_30546315.23-P2	2	31	415	96	76
ABCF2_+_150923872.23-P1P2	5	0	0	0	5
ABCF2_+_150923902.23-P1P2	29	0	27	0	10
ABCF2_+_150924236.23-P1P2	0	2	0	5	0
ABCF3_-_183903980.23-P1P2	32	5	10	46	22
ABCF3_-_183903991.23-P1P2	5	0	0	0	1
ABCF3_-_183904021.23-P1P2	5	0	0	0	0
ABCF3_-_183904356.23-P1P2	7	0	0	0	0
ABCG1_+_43639544.23-P1P2	0	3	0	0	0
ABCG2_-_89079989.23-P1P2	12	0	0	18	10
ABCG2_+_89080025.23-P1P2	2	26	0	0	0
ABCG4_-_119019784.23-P1P2	0	0	1	0	0
ABCG4_-_119019811.23-P1P2	570	741	373	423	239
ABCG4_+_119019794.23-P1P2	5	10	0	9	6
ABHD1_-_27346733.23-P1P2	0	0	3	0	0
ABHD1_+_27347075.23-P1P2	38	3	0	81	13
ABHD1_+_27347086.23-P1P2	56	26	43	61	24
ABHD11_-_73153135.23-P1P2	29	2	0	0	0
ABHD11_+_73152656.23-P1P2	14	0	0	42	0
ABHD12_-_25371057.23-P1P2	0	1	0	0	0
ABHD13_-_108871313.23-P1P2	0	0	0	1	0
ABHD13_+_108870811.23-P1P2	0	1	0	0	1
ABHD14A_-_52009122.23-P1P2	10	8	13	0	24
ABHD14A_+_52009194.23-P1P2	38	24	16	25	4
ABHD14A_+_52009255.23-P1P2	4	11	8	24	1
ABHD14B_-_52016965.23-P2	72	200	1	69	19
ABHD14B_+_52016945.23-P2	28	11	0	8	37
ABHD14B_+_52017325.23-P2	0	0	1	0	0
ABHD16A_-_31670671.23-P1P2	0	0	2	2	0
ABHD17A_-_1885045.23-P1P2	6	0	0	6	5
ABHD17A_-_1885076.23-P1P2	29	16	1	19	2
ABHD17B_-_74525704.23-P1P2	2	0	0	0	0
ABHD17C_+_80987703.23-P1P2	21	0	12	15	8
ABHD2_-_89631760.23-P1P2	12	10	0	9	1
ABHD2_-_89632154.23-P1P2	1	0	0	0	0
ABHD3_-_19284770.23-P1P2	12	0	0	22	14
ABHD4_-_23067199.23-P1P2	17	0	14	32	20
ABHD4_-_23067680.23-P1P2	79	33	23	57	52
ABHD5_+_43732395.23-P1P2	17	0	0	30	3
ABHD5_+_43732521.23-P1P2	6	0	1	0	0
ABHD5_+_43732806.23-P1P2	49	0	27	34	8
ABHD6_-_58223594.23-P1P2	3	0	0	6	0
ABHD8_-_17413788.23-P1P2	21	0	0	10	7
ABHD8_-_17414173.23-P1P2	0	7	23	0	0
ABHD8_-_17414201.23-P1P2	0	1	0	0	0
ABI1_-_27149855.23-P1P2	14	13	0	3	2
ABI1_+_27149446.23-P1P2	0	0	1	0	0
ABI1_+_27149474.23-P1P2	0	0	0	7	0
ABI1_+_27149800.23-P1P2	36	0	0	5	0
ABI2_-_204193058.23-P1P2	12	3	0	7	10
ABI2_-_204193288.23-P1P2	39	21	10	19	6
ABI2_+_204193030.23-P1P2	12	0	0	0	12
ABI2_+_204193458.23-P1P2	11	0	0	13	4
ABI3BP_-_100712320.23-P1P2	80	40	4	43	7
ABI3BP_+_100712307.23-P1P2	211	121	113	145	101
ABL1_-_133589228.23-ENST00000372348.2	6	0	0	5	0
ABL1_+_133589636.23-ENST00000372348.2	31	10	32	53	40
ABL2_+_179198565.23-P2	2	0	0	0	0
ABLIM1_+_116418018.23-ENST00000277895.5	75	139	42	62	36
ABLIM2_-_8160138.23-P1P2	6	0	0	0	0
ABLIM2_+_8160204.23-P1P2	4	0	15	8	33
ABLIM3_-_148521229.23-P1P2	0	1	0	0	0
ABO_-_136150219.23-P1	0	0	0	0	1
ABO_-_136150600.23-P1	11	0	0	0	2
ABO_+_136150601.23-P1	0	0	0	1	0
ABR_+_1082842.23-P1P2	49	0	0	1	4
ABR_+_1083266.23-P1P2	4	0	0	0	0
ABRA_-_107782347.23-P1P2	26	7	8	47	23
ABRA_-_107782350.23-P1P2	2	0	0	0	0
ABRA_+_107782019.23-P1P2	0	0	2	0	0
ABT1_-_26597263.23-P1P2	3	0	0	2	0
ABTB1_-_127392198.23-P1P2	7	0	0	0	0
ABTB1_+_127392221.23-P1P2	2	0	0	0	0
ABTB2_-_34379074.23-P1P2	17	0	17	17	8
ABTB2_-_34379310.23-P1P2	0	0	0	34	0
ABTB2_-_34379465.23-P1P2	26	0	16	53	21
ACAA1_-_38178168.23-P1P2	21	1	0	26	6
ACAA1_+_38178517.23-P1P2	14	38	0	24	4
ACAA2_-_47339855.23-P1P2	16	1	28	8	4
ACAA2_-_47339876.23-P1P2	25	0	0	24	2
ACAA2_+_47339850.23-P1P2	17	12	10	20	28
ACACB_-_109569178.23-P1	19	106	0	2	3
ACACB_+_109569170.23-P1	0	1	0	0	0
ACACB_+_109592908.23-P2	7	0	0	0	5
ACAD10_-_112123894.23-P1P2	7	0	0	18	7
ACAD10_-_112123925.23-P1P2	10	11	1	12	4
ACAD10_+_112124115.23-P1P2	11	0	0	4	0
ACAD11_+_132378312.23-P1P2	6	0	6	12	10
ACAD11_+_132379379.23-P1P2	2	0	0	0	0
ACAD8_-_134123448.23-P1P2	0	0	0	0	1
ACAD8_+_134123511.23-P1P2	0	0	2	0	1
ACAD9_-_128598528.23-P1P2	7	0	5	9	1
ACAD9_-_128598541.23-P1P2	3	0	0	0	3
ACADL_-_211090030.23-P1P2	9	1	0	18	1
ACADL_-_211090048.23-P1P2	6	1	0	26	1
ACADM_-_76190633.23-P1P2	0	0	0	7	0
ACADM_+_76190432.23-P1P2	13	0	117	12	0
ACADM_+_76190695.23-P1P2	8	0	0	0	1
ACADS_-_121163657.23-P1P2	0	0	1	0	0
ACADS_-_121163671.23-P1P2	8	61	0	26	16
ACADS_+_121163685.23-P1P2	0	0	1	0	0
ACADSB_-_124768552.23-P1P2	26	8	5	21	4
ACADSB_+_124768874.23-P1P2	0	1	0	0	0
ACAP3_-_1243095.23-P1P2	1	0	0	0	0
ACBD3_-_226374403.23-P1P2	0	0	0	0	1
ACBD3_+_226374329.23-P1P2	9	0	0	7	0
ACBD4_-_43213072.23-P1	1	0	0	0	1
ACBD4_+_43210042.23-P2	161	21	73	147	126
ACBD5_-_27529679.23-P1P2	2	0	0	9	0
ACBD6_-_180471707.23-P1P2	3	0	0	0	0
ACBD6_+_180471319.23-P1P2	11	5	0	0	0
ACBD6_+_180471354.23-P1P2	11	0	0	3	7
ACBD7_-_15130397.23-P1P2	2	0	0	0	0
ACBD7_+_15130520.23-P1P2	77	90	8	105	71
ACCS_-_44088090.23-P1P2	33	2	0	26	32
ACCSL_-_44069582.23-ENST00000378832.1	0	0	0	0	1
ACD_-_67693904.23-P1P2	21	0	10	11	3
ACE_-_61554428.23-P1	0	0	0	0	1
ACE_-_61562443.23-P2	55	6	3	24	31
ACE_+_61554829.23-P1	0	0	0	2	0
ACE_+_61562226.23-P2	7	0	5	0	0
ACER1_+_6333137.23-P1P2	14	0	0	15	8
ACER2_+_19409376.23-P1P2	3	0	0	0	0
ACER2_+_19409383.23-P1P2	5	0	0	0	0
ACER3_-_76572003.23-P1P2	23	0	26	24	38
ACER3_+_76571969.23-P1P2	1	0	0	0	8
ACHE_-_100494233.23-P2	0	0	0	0	1
ACHE_-_100494578.23-P2	5	0	40	0	8
ACHE_+_100493456.23-P1	0	0	0	1	0
ACIN1_-_23540756.23-P2	7	5	17	7	1
ACKR2_-_42850992.23-P1P2	1	0	0	0	0
ACKR3_-_237476493.23-P2	0	0	0	0	8
ACKR3_-_237476505.23-P2	15	0	0	4	0
ACKR3_-_237476900.23-P2	0	0	0	1	0
ACN9_-_96747046.23-P1P2	5	0	0	0	8
ACO1_-_32384733.23-P1P2	4	0	1	13	1
ACO1_-_32385047.23-P1P2	19	2	0	54	17
ACO2_-_41865209.23-P1P2	3	0	0	11	0
ACOT1_-_74004076.23-P1P2	24	4	0	9	23
ACOT1_+_74003818.23-P1P2	5	0	0	0	15
ACOT1_+_74003843.23-P1P2	15	10	27	14	0
ACOT1_+_74004100.23-P1P2	0	12	0	15	0
ACOT11_-_55008376.23-P2	11	0	12	6	11
ACOT11_-_55013950.23-P1	4	0	0	0	0
ACOT11_-_55014234.23-P1	3	0	2	40	9
ACOT11_+_55007963.23-P2	0	0	0	13	0
ACOT13_-_24667473.23-P1P2	5	0	0	0	5
ACOT4_+_74058635.23-P1P2	30	40	4	42	19
ACOT6_-_74077984.23-P1P2	0	0	0	18	1
ACOT6_+_74077704.23-P1P2	0	0	1	0	0
ACOT6_+_74077926.23-P1P2	0	4	1	0	0
ACOT7_-_6453388.23-P1P2	756	572	252	606	425
ACOT8_-_44485597.23-P1P2	15	0	0	9	7
ACOT8_-_44485992.23-P1P2	0	0	0	3	1
ACOT9_-_23761316.23-P1P2	8	0	0	1	0
ACOT9_+_23761133.23-P1P2	1	0	47	0	0
ACOX1_-_73975245.23-P1P2	0	0	0	0	1
ACOX2_-_58512043.23-P2	5	0	0	0	0
ACOX2_+_58512428.23-P2	0	0	0	0	1
ACOX2_+_58512441.23-P2	31	0	0	0	7
ACOX2_+_58522520.23-P1	19	7	0	15	0
ACOX3_-_8430121.23-P1	13	53	0	22	12
ACOX3_-_8442435.23-P2	12	2	0	6	17
ACOX3_+_8430113.23-P1	1	0	0	0	0
ACOX3_+_8442373.23-P2	22	0	0	0	16
ACOX3_+_8442467.23-P2	3	138	0	0	0
ACOXL_-_111490612.23-P1P2	1	0	0	0	0
ACOXL_+_111490271.23-P1P2	11	0	3	29	0
ACOXL_+_111490547.23-P1P2	0	0	0	1	0
ACOXL_+_111490560.23-P1P2	4	0	0	0	0
ACP1_-_264967.23-P1P2	0	0	0	1	0
ACP1_-_264970.23-P1P2	2	0	0	0	0
ACP1_+_264980.23-P1P2	0	2	0	0	0
ACP1_+_265303.23-P1P2	26	0	0	55	7
ACP5_-_11689724.23-P2	47	7	823	29	55
ACPL2_-_140950647.23-P1P2	4	0	0	3	0
ACPP_+_132036268.23-P1P2	1	0	0	0	0
ACRBP_-_6756126.23-P1P2	9	71	0	2	3
ACRBP_+_6756572.23-P1P2	2	0	0	0	0
ACRV1_-_125550324.23-P1P2	0	0	0	0	2
ACRV1_+_125550697.23-P1P2	1	0	1	0	0
ACSBG1_-_78526810.23-P1P2	26	0	14	2	4
ACSBG1_+_78526472.23-P1P2	14	0	0	29	10
ACSBG1_+_78526814.23-P1P2	1	0	0	0	0
ACSBG2_-_6135684.23-P1P2	0	0	0	1	0
ACSBG2_-_6135704.23-P1P2	0	0	0	2	0
ACSBG2_+_6135737.23-P1P2	9	0	0	0	3
ACSF2_-_48503638.23-P1P2	2	4	3	4	9
ACSF2_+_48503620.23-P1P2	5	0	0	0	1
ACSF3_-_89160263.23-P1P2	33	17	11	11	22
ACSF3_+_89160393.23-P1P2	2	0	0	0	0
ACSL1_+_185746700.23-P1P2	0	1	0	0	0
ACSL4_-_108976456.23-P1P2	71	0	3	35	39
ACSL5_-_114133923.23-P2	4	0	0	10	0
ACSL5_-_114134322.23-P2	11	0	0	20	10
ACSL5_-_114136407.23-P1	8	0	0	0	6
ACSL5_+_114136352.23-P1	4	0	4	0	2
ACSL6_-_131310298.23-P2	10	0	0	15	1
ACSL6_+_131347320.23-P1	3	1	12	15	5
ACSL6_+_131347346.23-P1	35	33	0	23	88
ACSM1_-_20687521.23-P1P2	0	1	0	0	0
ACSM1_+_20686984.23-P1P2	12	0	2	0	6
ACSM2B_+_20587244.23-P1P2	0	2	0	0	0
ACSM2B_+_20587247.23-P1P2	0	1	0	0	0
ACSM3_-_20775771.23-P1P2	14	0	0	18	2
ACSM3_+_20775307.23-P1P2	15	7	0	19	5
ACSM4_+_7457146.23-ENST00000399422.4	15	0	0	1	2
ACSM5_-_20421270.23-P1P2	6	0	1	0	0
ACSM5_-_20421315.23-P1P2	5	23	2	34	2
ACSS1_-_25038372.23-P1P2	0	0	0	1	0
ACSS1_+_25038767.23-P1P2	27	3	14	79	39
ACSS3_-_81471913.23-P1P2	21	20	50	9	0
ACSS3_-_81472068.23-P1P2	8	0	0	25	30
ACSS3_-_81472074.23-P1P2	24	31	2	74	18
ACTA1_-_229569824.23-P1	0	0	0	1	0
ACTA1_+_229568301.23-P2	41	3	1	65	12
ACTA2_-_90751052.23-P2	3	0	0	36	17
ACTA2_-_90751066.23-P2	0	0	0	0	1
ACTA2_+_90712443.23-P1	15	19	0	7	1
ACTB_-_5570191.23-P1P2	0	0	1	0	0
ACTB_+_5570130.23-P1P2	19	28	0	0	6
ACTBL2_+_56778209.23-P1P2	4	0	0	0	32
ACTBL2_+_56778273.23-P1P2	9	0	0	21	21
ACTBL2_+_56778359.23-P1P2	21	7	0	22	5
ACTC1_-_35087222.23-P1P2	7	23	0	11	7
ACTC1_-_35087295.23-P1P2	0	0	0	4	0
ACTG1_-_79479785.23-P1P2	15	0	0	3	19
ACTG2_-_74120376.23-P1	9	0	3	2	7
ACTG2_-_74128624.23-P2	5	0	0	7	0
ACTG2_-_74128769.23-P2	4	0	0	0	0
ACTG2_+_74120163.23-P1	0	0	0	16	2
ACTG2_+_74120172.23-P1	33	28	65	16	30
ACTG2_+_74120202.23-P1	60	19	35	99	5
ACTG2_+_74128598.23-P2	26	0	29	19	35
ACTL10_-_32254788.23-P1P2	0	0	0	1	2
ACTL6A_-_179280784.23-P1P2	0	0	1	0	0
ACTL6A_-_179280860.23-P1P2	3	0	74	3	0
ACTL6B_-_100254010.23-P1P2	5	0	0	0	0
ACTL6B_+_100253969.23-P1P2	1	1	23	2	2
ACTL6B_+_100254000.23-P1P2	6	0	0	0	0
ACTL7A_-_111624563.23-P1P2	12	0	0	37	31
ACTL7B_-_111618185.23-P1P2	6	0	0	0	0
ACTL8_-_18081836.23-P1P2	0	0	11	0	0
ACTL8_+_18081845.23-P1P2	0	0	1	0	0
ACTL8_+_18081855.23-P1P2	0	0	2	0	3
ACTL9_+_8808881.23-P1P2	1	0	0	0	0
ACTN1_-_69445944.23-P1P2	18	0	0	23	31
ACTN1_-_69445956.23-P1P2	0	0	0	18	2
ACTN2_-_236849849.23-P1P2	0	0	0	0	1
ACTN2_+_236849840.23-P1P2	7	0	0	0	0
ACTN2_+_236849897.23-P1P2	0	0	5	16	2
ACTN3_-_66313676.23-P1P2	12	15	13	12	28
ACTN3_-_66314441.23-P1P2	1	0	0	0	0
ACTN3_+_66313696.23-P1P2	0	0	3	0	0
ACTN3_+_66313715.23-P1P2	2	0	0	14	1
ACTN3_+_66313730.23-P1P2	0	0	1	0	1
ACTN3_+_66313881.23-P1P2	3	0	0	0	0
ACTN4_-_39138687.23-P1P2	18	61	0	1	0
ACTN4_-_39138727.23-P1P2	14	1	0	27	17
ACTR10_+_58666892.23-P1P2	5	0	0	0	0
ACTR10_+_58666925.23-P1P2	6	0	0	0	0
ACTR1B_-_98280450.23-P1P2	8	0	0	4	0
ACTR1B_+_98280441.23-P1P2	7	0	0	0	2
ACTR1B_+_98280464.23-P1P2	14	0	0	18	3
ACTR2_-_65455333.23-P1P2	92	0	11	63	20
ACTR2_-_65455345.23-P1P2	1	0	0	0	0
ACTR2_+_65455294.23-P1P2	44	0	204	9	23
ACTR3_-_114647984.23-P1P2	7	0	1	7	3
ACTR3_-_114647989.23-P1P2	4	0	2	0	3
ACTR3B_+_152457301.23-P1P2	9	0	0	9	4
ACTR5_-_37377124.23-P1P2	24	0	0	34	39
ACTR5_-_37377127.23-P1P2	47	0	7	25	5
ACTR5_+_37377138.23-P1P2	10	96	20	7	12
ACTRT1_-_127186343.23-P1P2	4	0	0	0	0
ACTRT1_+_127185986.23-P1P2	48	2	24	83	41
ACTRT1_+_127186306.23-P1P2	0	0	1	0	0
ACTRT2_-_2938118.23-P1P2	18	0	0	4	6
ACTRT2_-_2938499.23-P1P2	0	0	0	0	1
ACTRT2_+_2938467.23-P1P2	11	0	0	7	1
ACTRT3_+_169487327.23-P1P2	55	1	0	8	29
ACTRT3_+_169487342.23-P1P2	9	26	350	3	35
ACVR1_+_158732198.23-P1P2	46	0	0	38	31
ACVR1_+_158732232.23-P1P2	1	0	0	8	0
ACVR1B_-_52345530.23-P1P2	0	0	1	0	2
ACVR1B_-_52345917.23-P1P2	15	0	0	17	11
ACVR1B_+_52345561.23-P1P2	2	0	36	5	3
ACVR1B_+_52345897.23-P1P2	41	125	8	25	31
ACVR1C_+_158485339.23-P1P2	0	0	0	0	1
ACVR2A_+_148602343.23-P1P2	0	0	0	0	2
ACVRL1_-_52301119.23-P1P2	38	23	2	13	38
ACVRL1_+_52300726.23-P1P2	0	0	0	1	0
ACVRL1_+_52301567.23-P1P2	0	0	0	1	0
ACY3_-_67414607.23-P2	0	0	1	0	0
ACY3_+_67418110.23-P1	23	1	0	20	0
ACYP1_-_75530695.23-P1	2	0	0	0	0
ACYP1_-_75536000.23-P2	0	0	1	2	5
ACYP1_+_75530680.23-P1	2	0	0	6	7
ACYP2_-_54343153.23-P1P2	15	0	0	10	0
ADA_-_43279996.23-P1P2	10	81	57	18	15
ADA_+_43280282.23-P1P2	54	0	12	17	4
ADA_+_43280285.23-P1P2	1	0	0	0	0
ADA_+_43280303.23-P1P2	10	0	5	4	9
ADA_+_43280315.23-P1P2	61	0	1	19	20
ADAD1_-_123300732.23-P1P2	1	0	1	0	0
ADAD2_-_84224806.23-P1P2	13	0	0	115	31
ADAD2_-_84224870.23-P1P2	0	2	0	0	0
ADAD2_+_84224814.23-P1P2	0	0	0	1	0
ADAM10_-_59041703.23-P1P2	1	0	0	0	0
ADAM10_+_59041886.23-P1P2	9	0	0	0	0
ADAM11_-_42836572.23-P1P2	24	0	1	7	5
ADAM11_+_42836733.23-P1P2	0	1	0	0	0
ADAM11_+_42836963.23-P1P2	59	1	0	15	32
ADAM12_-_128076617.23-P1P2	3	0	0	26	6
ADAM12_-_128077031.23-P1P2	19	3	0	0	0
ADAM12_+_128076604.23-P1P2	17	0	0	5	10
ADAM12_+_128076607.23-P1P2	47	63	3	22	10
ADAM15_-_155024217.23-P1P2	0	0	0	1	0
ADAM15_+_155023202.23-P1P2	11	0	0	18	12
ADAM15_+_155023394.23-P1P2	8	0	0	10	3
ADAM15_+_155024155.23-P1P2	0	1	0	0	0
ADAM17_-_9695930.23-P1P2	0	1	0	0	0
ADAM18_-_39442196.23-P1P2	0	0	0	1	0
ADAM18_+_39442286.23-P1P2	7	0	0	0	8
ADAM18_+_39442506.23-P1P2	2	1	0	0	0
ADAM19_-_157002314.23-P1P2	11	0	0	0	1
ADAM19_-_157002317.23-P1P2	0	0	1	0	0
ADAM19_+_157002746.23-P1P2	0	0	1	0	0
ADAM2_-_39695260.23-P1P2	0	0	0	0	1
ADAM2_+_39695270.23-P1P2	26	1	0	5	2
ADAM20_-_71001316.23-P1P2	17	0	0	11	0
ADAM20_-_71001696.23-P1P2	41	9	6	30	73
ADAM21_+_70919032.23-P1P2	0	0	0	0	3
ADAM22_-_87563945.23-P1P2	1	0	0	0	0
ADAM23_-_207308263.23-P1P2	14	0	81	67	5
ADAM23_-_207308295.23-P1P2	40	168	3	29	0
ADAM23_+_207308716.23-P1P2	4	0	0	5	2
ADAM28_+_24151604.23-P1P2	5	5	0	0	0
ADAM28_+_24151656.23-P1P2	11	13	0	20	0
ADAM29_-_175839539.23-P1P2	5	55	26	0	6
ADAM30_+_120439103.23-P1P2	28	87	28	8	7
ADAM32_-_38965264.23-P1P2	0	0	0	0	1
ADAM32_+_38965125.23-P1P2	11	6	0	11	23
ADAM32_+_38965299.23-P1P2	105	6	12	55	75
ADAM33_-_3662191.23-P1P2	9	3	0	22	10
ADAM7_+_24298519.23-P1P2	9	26	0	15	3
ADAM9_-_38854499.23-P1P2	8	0	0	0	0
ADAM9_+_38854489.23-P1P2	7	7	0	41	10
ADAM9_+_38854902.23-P1P2	20	0	2	15	4
ADAMDEC1_-_24242003.23-P1P2	22	3	2	7	1
ADAMDEC1_+_24242054.23-P1P2	0	0	0	0	1
ADAMDEC1_+_24242074.23-P1P2	5	16	37	32	6
ADAMTS1_-_28216131.23-P2	0	0	1	0	0
ADAMTS1_+_28216570.23-P2	0	0	0	0	1
ADAMTS1_+_28216594.23-P2	70	57	0	7	39
ADAMTS1_+_28217664.23-P1	3	0	0	0	0
ADAMTS1_+_28217696.23-P1	2	0	0	0	0
ADAMTS10_-_8675371.23-P1P2	31	71	0	80	25
ADAMTS10_+_8675521.23-P1P2	0	0	0	27	0
ADAMTS10_+_8675559.23-P1P2	7	0	0	0	6
ADAMTS10_+_8675562.23-P1P2	0	0	0	0	1
ADAMTS12_-_33891689.23-P1P2	0	0	0	0	3
ADAMTS12_+_33891838.23-P1P2	55	100	0	30	18
ADAMTS13_-_136287551.23-P1P2	13	0	1	0	0
ADAMTS13_+_136287462.23-P1P2	56	28	1	31	6
ADAMTS14_-_72432290.23-P1P2	8	0	44	0	4
ADAMTS15_+_130318578.23-P1P2	2	0	0	0	3
ADAMTS15_+_130318981.23-P1P2	9	11	0	9	0
ADAMTS16_-_5146595.23-P1	4	8	0	1	8
ADAMTS16_+_5140497.23-P2	2	0	0	0	2
ADAMTS16_+_5140760.23-P2	9	0	0	1	0
